	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
			(0.221)	(0.221)			(0.239)	(0.239)			(0.172)	(0.172)			(0.194)	(0.194)			(0.239)	(0.239)			(0.230)	(0.230)			(0.296)	(0.296)			(0.176)	(0.177)			(0.193)	(0.192)			(0.190)	(0.185)			(0.144)	(0.145)			(0.177)	(0.176)			(0.204)	(0.205)			(0.247)	(0.249)
_mother_edu5			0.996***	0.996***			0.178	0.178			0.0832	0.0832			0.716***	0.716***			0.427	0.427			0.161	0.161			-0.375	-0.375			0.603***	0.600***			0.124	0.116			0.209	0.182			0.534***	0.533***			0.433*	0.411*			0.141	0.114			-0.210	-0.181
			(0.245)	(0.245)			(0.256)	(0.256)			(0.189)	(0.189)			(0.211)	(0.211)			(0.277)	(0.277)			(0.261)	(0.261)			(0.334)	(0.334)			(0.211)	(0.211)			(0.216)	(0.217)			(0.216)	(0.213)			(0.182)	(0.183)			(0.233)	(0.231)			(0.244)	(0.242)			(0.299)	(0.302)
_inc1			-0.336***	-0.336***			-0.0839	-0.0839			-0.333***	-0.333***			-0.0519	-0.0519			0.162	0.162			0.263	0.263			-0.244**	-0.244**			-0.242*	-0.241*			-0.475***	-0.473***			-0.622***	-0.614***			-0.360***	-0.360***			-0.267*	-0.261*			0.0406	0.0480			-0.0605	-0.0687
			(0.125)	(0.125)			(0.147)	(0.147)			(0.124)	(0.124)			(0.152)	(0.152)			(0.157)	(0.157)			(0.167)	(0.167)			(0.122)	(0.122)			(0.125)	(0.125)			(0.128)	(0.128)			(0.115)	(0.115)			(0.126)	(0.126)			(0.148)	(0.148)			(0.146)	(0.145)			(0.163)	(0.161)
_inc2			-0.262**	-0.262**			-0.0811	-0.0811			-0.214*	-0.214*			-0.0976	-0.0976			0.0588	0.0588			0.245*	0.245*			-0.119	-0.119			-0.119	-0.120			-0.310***	-0.313***			-0.397***	-0.407***			-0.262**	-0.262**			-0.0393	-0.0481			0.167	0.157			-0.184	-0.173
			(0.113)	(0.113)			(0.125)	(0.125)			(0.115)	(0.115)			(0.158)	(0.158)			(0.136)	(0.136)			(0.140)	(0.140)			(0.110)	(0.110)			(0.104)	(0.104)			(0.107)	(0.107)			(0.0987)	(0.0992)			(0.125)	(0.126)			(0.129)	(0.129)			(0.125)	(0.125)			(0.141)	(0.141)
_inc3			-0.0141	-0.0141			-0.0736	-0.0736			-0.111	-0.111			0.0754	0.0754			0.0848	0.0848			0.184	0.184			-0.104	-0.104			-0.0315	-0.0334			-0.245**	-0.251***			-0.243***	-0.265***			-0.111	-0.111			0.0284	0.0112			0.224*	0.203*			-0.211	-0.189
			(0.0886)	(0.0886)			(0.104)	(0.104)			(0.0943)	(0.0943)			(0.114)	(0.114)			(0.123)	(0.123)			(0.123)	(0.123)			(0.109)	(0.109)			(0.0962)	(0.0959)			(0.0952)	(0.0959)			(0.0931)	(0.0932)			(0.105)	(0.107)			(0.120)	(0.120)			(0.118)	(0.118)			(0.131)	(0.131)
_inc4			-0.0567	-0.0567			0.0384	0.0384			0.0880	0.0880			0.161	0.161			0.0973	0.0973			0.0941	0.0941			-0.0272	-0.0272			-0.00558	-0.00572			-0.243***	-0.244***			-0.192**	-0.194**			-0.0757	-0.0757			0.0945	0.0931			0.0299	0.0284			-0.0166	-0.0148
