	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
			(0.0990)	(0.0990)			(0.114)	(0.114)			(0.104)	(0.104)			(0.112)	(0.112)			(0.125)	(0.125)			(0.119)	(0.119)			(0.136)	(0.136)			(0.115)	(0.114)			(0.131)	(0.132)			(0.133)	(0.133)			(0.131)	(0.131)			(0.143)	(0.142)			(0.131)	(0.130)			(0.147)	(0.148)
_mother_edu3			-0.368***	-0.368***			-0.348***	-0.348***			-0.357***	-0.357***			-0.423***	-0.423***			0.206**	0.206**			0.0632	0.0632			-0.165	-0.165			-0.351***	-0.338***			-0.273***	-0.279***			-0.201*	-0.187			-0.256**	-0.264**			0.0901	0.101			0.00441	0.0274			-0.0205	-0.0110
			(0.0769)	(0.0769)			(0.0898)	(0.0898)			(0.0787)	(0.0787)			(0.0906)	(0.0906)			(0.100)	(0.100)			(0.0948)	(0.0948)			(0.106)	(0.106)			(0.0957)	(0.0957)			(0.103)	(0.103)			(0.114)	(0.114)			(0.110)	(0.111)			(0.122)	(0.122)			(0.109)	(0.108)			(0.120)	(0.120)
_mother_edu4			-0.241***	-0.241***			-0.332***	-0.332***			-0.308***	-0.308***			-0.382***	-0.382***			0.189*	0.189*			0.0783	0.0783			-0.0764	-0.0764			-0.226**	-0.218**			-0.319***	-0.322***			-0.237**	-0.230**			-0.274**	-0.279**			0.247**	0.253**			0.0343	0.0469			0.136	0.142
			(0.0796)	(0.0796)			(0.0917)	(0.0917)			(0.0801)	(0.0801)			(0.0925)	(0.0925)			(0.103)	(0.103)			(0.0976)	(0.0976)			(0.111)	(0.111)			(0.1000)	(0.0996)			(0.104)	(0.104)			(0.114)	(0.115)			(0.116)	(0.116)			(0.125)	(0.124)			(0.111)	(0.110)			(0.131)	(0.132)
_mother_edu5			-0.201***	-0.201***			-0.184**	-0.184**			-0.157**	-0.157**			-0.253***	-0.253***			0.273***	0.273***			0.0553	0.0553			0.0197	0.0197			-0.122	-0.118			-0.134	-0.136			-0.0119	-0.00889			-0.135	-0.137			0.163	0.165			0.0815	0.0861			0.112	0.114
			(0.0675)	(0.0675)			(0.0831)	(0.0831)			(0.0701)	(0.0701)			(0.0808)	(0.0808)			(0.0931)	(0.0931)			(0.0862)	(0.0862)			(0.100)	(0.100)			(0.0872)	(0.0865)			(0.0926)	(0.0927)			(0.103)	(0.103)			(0.101)	(0.101)			(0.113)	(0.113)			(0.0991)	(0.0982)			(0.111)	(0.111)
_mother_edu7			-0.465***	-0.465***			-0.345**	-0.345**			-0.548***	-0.548***			-0.683***	-0.683***			0.146	0.146			0.0836	0.0836			0.236	0.236			-0.560***	-0.541***			-0.355**	-0.364**			-0.406***	-0.386**			-0.576***	-0.589***			0.282*	0.297*			0.238	0.271*			-0.00879	0.00459
			(0.150)	(0.150)			(0.141)	(0.141)			(0.159)	(0.159)			(0.146)	(0.146)			(0.168)	(0.168)			(0.165)	(0.165)			(0.229)	(0.229)			(0.146)	(0.148)			(0.150)	(0.151)			(0.152)	(0.153)			(0.150)	(0.150)			(0.165)	(0.165)			(0.161)	(0.159)			(0.172)	(0.173)
_inc1			0.285	0.285			-0.0383	-0.0383			-0.149	-0.149			0.104	0.104			-0.331	-0.331			-0.317	-0.317			0.384	0.384			-0.0171	-0.0119			-0.208	-0.211			-0.239	-0.233			0.132	0.128			-0.231	-0.226			-0.276	-0.267			0.00396	0.00785
