	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
_inc6			0.0867	0.0867			-0.0222	-0.0222			-0.0269	-0.0269			-0.0978	-0.0978			0.0515	0.0515			-0.00181	-0.00181			0.0922	0.0922			0.00363	0.00242			0.153	0.153			0.135*	0.139*			0.151	0.150			0.000502	0.00466			-0.00182	0.00447			0.00610	0.00617
			(0.0662)	(0.0662)			(0.0669)	(0.0669)			(0.0638)	(0.0638)			(0.0813)	(0.0813)			(0.0900)	(0.0900)			(0.0876)	(0.0876)			(0.0941)	(0.0941)			(0.0964)	(0.0964)			(0.0934)	(0.0935)			(0.0813)	(0.0812)			(0.0964)	(0.0964)			(0.118)	(0.118)			(0.106)	(0.106)			(0.146)	(0.146)
height		0.0177	-0.122	-0.122		0.246	0.175	0.175		0.163	0.0464	0.0464		-0.236	-0.341	-0.341		0.546	0.498	0.498		0.631	0.678	0.678		0.0304	-0.0378	-0.0378		0.0350	-0.0811	-0.0780		0.00813	-0.0559	-0.0560		0.135	0.00907	0.00305		0.455	0.381	0.383		0.265	0.212	0.203		0.157	0.175	0.162		-0.384	-0.447	-0.447
		(0.350)	(0.340)	(0.340)		(0.381)	(0.372)	(0.372)		(0.315)	(0.305)	(0.305)		(0.375)	(0.367)	(0.367)		(0.424)	(0.419)	(0.419)		(0.421)	(0.421)	(0.421)		(0.403)	(0.393)	(0.393)		(0.396)	(0.395)	(0.395)		(0.467)	(0.457)	(0.457)		(0.415)	(0.409)	(0.406)		(0.428)	(0.421)	(0.420)		(0.490)	(0.489)	(0.489)		(0.481)	(0.480)	(0.481)		(0.535)	(0.527)	(0.527)
daily_cig_before_preg		-0.00172	0.00379	0.00379		-0.00478	-0.000213	-0.000213		-0.00781**	-0.00166	-0.00166		-0.00657	-0.000655	-0.000655		0.00204	0.00285	0.00285		0.00756	0.00542	0.00542		9.34e-05	0.00450	0.00450		-0.00693	-0.00292	-0.00267		-0.0103**	-0.00571	-0.00574		-0.0141***	-0.00823*	-0.00929**		-0.0143***	-0.00962**	-0.00921*		0.000157	0.00265	0.00156		0.00496	0.00482	0.00316		0.00105	0.00381	0.00380
		(0.00401)	(0.00400)	(0.00400)		(0.00416)	(0.00426)	(0.00426)		(0.00374)	(0.00381)	(0.00381)		(0.00439)	(0.00448)	(0.00448)		(0.00467)	(0.00479)	(0.00479)		(0.00501)	(0.00517)	(0.00517)		(0.00458)	(0.00454)	(0.00454)		(0.00489)	(0.00490)	(0.00497)		(0.00512)	(0.00519)	(0.00519)		(0.00437)	(0.00443)	(0.00448)		(0.00465)	(0.00477)	(0.00478)		(0.00546)	(0.00550)	(0.00547)		(0.00559)	(0.00580)	(0.00579)		(0.00580)	(0.00589)	(0.00587)
weekly_alcohol_b_preg		-0.00789**	-0.00637*	-0.00637*		-0.00442	-0.00304	-0.00304		-0.00115	0.000873	0.000873		-0.00382	-0.00197	-0.00197		-0.00147	-0.00129	-0.00129		0.00265	0.00161	0.00161		-0.00940***	-0.00815**	-0.00815**		-0.00353	-0.00327	-0.00333		-0.00636*	-0.00663*	-0.00662*		-0.00691*	-0.00693*	-0.00662		-0.00218	-0.00169	-0.00179		-0.00242	-0.00193	-0.00159		0.00138	0.00179	0.00232		-0.00309	-0.00285	-0.00285
		(0.00346)	(0.00355)	(0.00355)		(0.00405)	(0.00397)	(0.00397)		(0.00331)	(0.00332)	(0.00332)		(0.00427)	(0.00416)	(0.00416)		(0.00383)	(0.00386)	(0.00386)		(0.00465)	(0.00477)	(0.00477)		(0.00343)	(0.00348)	(0.00348)		(0.00385)	(0.00392)	(0.00391)		(0.00382)	(0.00389)	(0.00389)		(0.00406)	(0.00403)	(0.00404)		(0.00394)	(0.00386)	(0.00385)		(0.00508)	(0.00487)	(0.00482)		(0.00579)	(0.00589)	(0.00572)		(0.00553)	(0.00564)	(0.00563)
complications_during_preg		0.0657	0.0579	0.0579		-0.0342	-0.0345	-0.0345		-0.00430	-0.00891	-0.00891		-0.0288	-0.0312	-0.0312		-0.102	-0.106*	-0.106*		0.0428	0.0508	0.0508		0.0563	0.0603	0.0603		0.0194	-0.00116	-0.000955		0.00742	0.00692	0.00688		-0.107*	-0.115*	-0.116*		0.00861	-0.0118	-0.0114		0.0158	0.0169	0.0160		0.0464	0.0551	0.0537		0.0428	0.0394	0.0394
		(0.0559)	(0.0542)	(0.0542)		(0.0544)	(0.0533)	(0.0533)		(0.0511)	(0.0500)	(0.0500)		(0.0562)	(0.0559)	(0.0559)		(0.0624)	(0.0619)	(0.0619)		(0.0632)	(0.0631)	(0.0631)		(0.0656)	(0.0653)	(0.0653)		(0.0642)	(0.0626)	(0.0626)		(0.0655)	(0.0652)	(0.0653)		(0.0633)	(0.0629)	(0.0627)		(0.0631)	(0.0624)	(0.0624)		(0.0723)	(0.0721)	(0.0723)		(0.0734)	(0.0739)	(0.0737)		(0.0820)	(0.0810)	(0.0811)
miss_height		-0.609	-0.761	-0.761		-0.128	-0.0610	-0.0610		-0.592	-0.659	-0.659		-0.834	-0.887	-0.887		0.828	0.772	0.772		1.029	1.103	1.103		-0.203	-0.385	-0.385		-0.305	-0.439	-0.436		-0.0255	-0.0849	-0.0849		-0.0359	-0.200	-0.201		0.807	0.720	0.720		0.0721	0.0240	0.0147		0.102	0.183	0.169		-0.702	-0.797	-0.797
		(0.629)	(0.611)	(0.611)		(0.652)	(0.640)	(0.640)		(0.571)	(0.558)	(0.558)		(0.663)	(0.652)	(0.652)		(0.720)	(0.707)	(0.707)		(0.743)	(0.738)	(0.738)		(0.684)	(0.675)	(0.675)		(0.696)	(0.692)	(0.691)		(0.780)	(0.761)	(0.761)		(0.714)	(0.702)	(0.699)		(0.718)	(0.708)	(0.707)		(0.820)	(0.819)	(0.816)		(0.832)	(0.829)	(0.828)		(0.922)	(0.913)	(0.913)
