	(0.000541)	(0.000543)	(0.000549)	(0.000549)	(0.000521)	(0.000520)	(0.000524)	(0.000524)	(0.000451)	(0.000449)	(0.000454)	(0.000454)	(0.000550)	(0.000547)	(0.000549)	(0.000549)	(0.000595)	(0.000595)	(0.000598)	(0.000598)	(0.000615)	(0.000613)	(0.000624)	(0.000624)	(0.000489)	(0.000489)	(0.000477)	(0.000477)	(0.000669)	(0.000653)	(0.000682)	(0.000683)	(0.000782)	(0.000779)	(0.000775)	(0.000778)	(0.000670)	(0.000659)	(0.000663)	(0.000667)	(0.000682)	(0.000659)	(0.000668)	(0.000664)	(0.000896)	(0.000899)	(0.000871)	(0.000873)	(0.000813)	(0.000813)	(0.000811)	(0.000811)	(0.000815)	(0.000820)	(0.000814)	(0.000815)
agefirstbirth	5.87e-05	0.000978	-0.00461	-0.00461	0.0221	0.0213	0.0185	0.0185	0.0178	0.0163	0.0122	0.0122	0.0131	0.0122	0.0116	0.0116	0.00701	0.00500	0.0100	0.0100	-0.0247	-0.0247	-0.0199	-0.0199	-0.0237*	-0.0232*	-0.0303**	-0.0303**	0.0404***	0.0365***	0.0248**	0.0219*	0.0466***	0.0435***	0.0295**	0.0288**	0.0547***	0.0497***	0.0353***	0.0143	0.0331***	0.0266**	0.0166	0.0253**	0.0170	0.0161	0.0116	0.00236	0.00319	0.00455	0.00201	-0.0153	0.000871	0.00161	-0.00792	-0.00846
	(0.0210)	(0.0212)	(0.0211)	(0.0211)	(0.0189)	(0.0185)	(0.0183)	(0.0183)	(0.0187)	(0.0185)	(0.0181)	(0.0181)	(0.0227)	(0.0220)	(0.0219)	(0.0219)	(0.0269)	(0.0274)	(0.0269)	(0.0269)	(0.0267)	(0.0263)	(0.0264)	(0.0264)	(0.0140)	(0.0140)	(0.0154)	(0.0154)	(0.0110)	(0.0112)	(0.0112)	(0.0131)	(0.0121)	(0.0125)	(0.0121)	(0.0137)	(0.0108)	(0.0110)	(0.0109)	(0.0122)	(0.0105)	(0.0105)	(0.0108)	(0.0120)	(0.0135)	(0.0137)	(0.0140)	(0.0161)	(0.0127)	(0.0129)	(0.0133)	(0.0150)	(0.0124)	(0.0126)	(0.0128)	(0.0145)
_mother_edu1			0.106	0.106			-0.240	-0.240			-0.172	-0.172			0.118	0.118			0.656***	0.656***			0.419	0.419			-0.453	-0.453			0.192	0.191			-0.171	-0.171			0.0751	0.0663			0.0739	0.0775			0.538***	0.534***			0.131	0.123			-0.234	-0.234
			(0.250)	(0.250)			(0.212)	(0.212)			(0.201)	(0.201)			(0.173)	(0.173)			(0.196)	(0.196)			(0.257)	(0.257)			(0.322)	(0.322)			(0.228)	(0.229)			(0.222)	(0.222)			(0.204)	(0.197)			(0.179)	(0.179)			(0.195)	(0.195)			(0.215)	(0.215)			(0.292)	(0.292)
_mother_edu2			0.110	0.110			-0.0833	-0.0833			-0.0833	-0.0833			0.135	0.135			0.603***	0.603***			0.292	0.292			-0.427	-0.427			0.308	0.306			-0.121	-0.122			0.142	0.119			0.271*	0.281*			0.386**	0.377**			-0.0391	-0.0573			-0.278	-0.278
			(0.239)	(0.239)			(0.192)	(0.192)			(0.179)	(0.179)			(0.158)	(0.158)			(0.169)	(0.169)			(0.240)	(0.240)			(0.310)	(0.310)			(0.220)	(0.222)			(0.194)	(0.195)			(0.181)	(0.174)			(0.157)	(0.156)			(0.165)	(0.164)			(0.184)	(0.184)			(0.276)	(0.277)
_mother_edu3			0.230	0.230			0.0913	0.0913			0.0832	0.0832			0.319*	0.319*			0.531***	0.531***			0.287	0.287			-0.451	-0.451			0.402*	0.400*			-0.0801	-0.0809			0.165	0.144			0.321**	0.330**			0.570***	0.561***			0.0797	0.0622			-0.141	-0.141
			(0.242)	(0.242)			(0.194)	(0.194)			(0.182)	(0.182)			(0.163)	(0.163)			(0.173)	(0.173)			(0.239)	(0.239)			(0.305)	(0.305)			(0.223)	(0.225)			(0.189)	(0.189)			(0.186)	(0.178)			(0.163)	(0.162)			(0.173)	(0.173)			(0.192)	(0.192)			(0.276)	(0.277)
_mother_edu4			0.267	0.267			0.109	0.109			0.161	0.161			0.442***	0.442***			0.613***	0.613***			0.315	0.315			-0.251	-0.251			0.418*	0.413*			0.127	0.126			0.270	0.231			0.337**	0.353**			0.362**	0.345**			0.108	0.0756			-0.102	-0.103
			(0.242)	(0.242)			(0.189)	(0.189)			(0.182)	(0.182)			(0.166)	(0.166)			(0.171)	(0.171)			(0.241)	(0.241)			(0.314)	(0.314)			(0.222)	(0.225)			(0.185)	(0.186)			(0.180)	(0.173)			(0.153)	(0.152)			(0.166)	(0.167)			(0.185)	(0.186)			(0.276)	(0.278)
_mother_edu5			0.527**	0.527**			0.329	0.329			0.254	0.254			0.572***	0.572***			0.377*	0.377*			0.311	0.311			-0.146	-0.146			0.738***	0.732***			0.301	0.299			0.389*	0.338*			0.408**	0.429**			0.409*	0.387*			0.0707	0.0290			-0.186	-0.188
			(0.255)	(0.255)			(0.208)	(0.208)			(0.196)	(0.196)			(0.183)	(0.183)			(0.212)	(0.212)			(0.265)	(0.265)			(0.346)	(0.346)			(0.250)	(0.253)			(0.208)	(0.211)			(0.207)	(0.203)			(0.189)	(0.189)			(0.223)	(0.223)			(0.225)	(0.223)			(0.321)	(0.323)
_inc1			-0.493***	-0.493***			-0.0360	-0.0360			-0.189*	-0.189*			-0.109	-0.109			-0.134	-0.134			0.106	0.106			-0.275**	-0.275**			-0.220*	-0.217*			-0.287**	-0.287**			-0.465***	-0.445***			-0.301**	-0.310**			-0.490***	-0.481***			-0.0249	-0.00910			-0.112	-0.111
			(0.112)	(0.112)			(0.120)	(0.120)			(0.106)	(0.106)			(0.131)	(0.131)			(0.130)	(0.130)			(0.141)	(0.141)			(0.121)	(0.121)			(0.129)	(0.129)			(0.135)	(0.135)			(0.117)	(0.117)			(0.131)	(0.130)			(0.153)	(0.153)			(0.153)	(0.153)			(0.182)	(0.180)
_inc2			-0.393***	-0.393***			-0.0455	-0.0455			-0.200**	-0.200**			-0.148	-0.148			-0.109	-0.109			0.136	0.136			-0.275***	-0.275***			-0.218**	-0.217*			-0.255**	-0.255**			-0.397***	-0.382***			-0.314***	-0.320***			-0.171	-0.165			-0.0568	-0.0450			-0.324**	-0.324**
			(0.101)	(0.101)			(0.103)	(0.103)			(0.0957)	(0.0957)			(0.127)	(0.127)			(0.118)	(0.118)			(0.121)	(0.121)			(0.106)	(0.106)			(0.111)	(0.111)			(0.112)	(0.112)			(0.102)	(0.103)			(0.121)	(0.120)			(0.139)	(0.139)			(0.129)	(0.129)			(0.145)	(0.144)
_inc3			-0.185**	-0.185**			-0.0535	-0.0535			-0.0818	-0.0818			0.0225	0.0225			-0.0260	-0.0260			-0.00758	-0.00758			-0.110	-0.110			-0.101	-0.101			-0.247**	-0.247**			-0.207**	-0.209**			-0.211**	-0.211**			-0.0980	-0.0989			-0.0243	-0.0260			-0.216	-0.216
			(0.0827)	(0.0827)			(0.0774)	(0.0774)			(0.0775)	(0.0775)			(0.0936)	(0.0936)			(0.103)	(0.103)			(0.0998)	(0.0998)			(0.118)	(0.118)			(0.0993)	(0.0992)			(0.101)	(0.101)			(0.0967)	(0.0963)			(0.107)	(0.107)			(0.122)	(0.121)			(0.120)	(0.120)			(0.149)	(0.149)
_inc4			-0.102	-0.102			0.0170	0.0170			0.0418	0.0418			0.115	0.115			-0.0200	-0.0200			0.0317	0.0317			-0.0706	-0.0706			-0.0266	-0.0277			-0.186**	-0.186**			-0.138*	-0.145*			-0.150	-0.147			-0.00215	-0.00501			-0.0264	-0.0318			-0.0376	-0.0378
			(0.0656)	(0.0656)			(0.0678)	(0.0678)			(0.0650)	(0.0650)			(0.0827)	(0.0827)			(0.0918)	(0.0918)			(0.0889)	(0.0889)			(0.0945)	(0.0945)			(0.0962)	(0.0959)			(0.0930)	(0.0931)			(0.0809)	(0.0810)			(0.0958)	(0.0959)			(0.118)	(0.118)			(0.106)	(0.106)			(0.145)	(0.146)
height		-0.0279	-0.0673	-0.0673		0.274	0.259	0.259		0.150	0.108	0.108		-0.500	-0.525	-0.525		0.904*	0.924**	0.924**		0.712	0.757*	0.757*		0.112	0.0259	0.0259		-0.0282	-0.0683	-0.0766		-0.515	-0.561	-0.562		-0.201	-0.270	-0.313		-0.253	-0.270	-0.252		0.531	0.559	0.538		-0.0378	-0.0408	-0.0808		-0.307	-0.383	-0.384
		(0.351)	(0.339)	(0.339)		(0.407)	(0.396)	(0.396)		(0.322)	(0.314)	(0.314)		(0.385)	(0.385)	(0.385)		(0.464)	(0.459)	(0.459)		(0.455)	(0.454)	(0.454)		(0.458)	(0.453)	(0.453)		(0.447)	(0.445)	(0.447)		(0.513)	(0.494)	(0.494)		(0.441)	(0.435)	(0.432)		(0.457)	(0.454)	(0.453)		(0.571)	(0.562)	(0.561)		(0.537)	(0.533)	(0.534)		(0.611)	(0.608)	(0.610)
daily_cig_before_preg		-0.000771	0.00439	0.00439		-0.00570	-0.00176	-0.00176		-0.00747**	-0.00214	-0.00214		-0.00820*	-0.00277	-0.00277		-0.000899	-0.000540	-0.000540		0.00635	0.00467	0.00467		-0.00158	0.00269	0.00269		-0.0142***	-0.0110**	-0.0113**		-0.0136***	-0.00976*	-0.00983*		-0.0154***	-0.0105**	-0.0123***		-0.0211***	-0.0175***	-0.0167***		0.000229	0.00399	0.00323		0.00368	0.00480	0.00337		-0.000823	0.00162	0.00157
		(0.00435)	(0.00433)	(0.00433)		(0.00441)	(0.00460)	(0.00460)		(0.00371)	(0.00382)	(0.00382)		(0.00445)	(0.00467)	(0.00467)		(0.00502)	(0.00517)	(0.00517)		(0.00534)	(0.00548)	(0.00548)		(0.00424)	(0.00429)	(0.00429)		(0.00513)	(0.00520)	(0.00526)		(0.00520)	(0.00526)	(0.00525)		(0.00467)	(0.00461)	(0.00468)		(0.00449)	(0.00462)	(0.00469)		(0.00589)	(0.00586)	(0.00589)		(0.00597)	(0.00625)	(0.00630)		(0.00569)	(0.00586)	(0.00580)
weekly_alcohol_b_preg		-0.00808**	-0.00749*	-0.00749*		-0.00560	-0.00478	-0.00478		-0.00261	-0.00140	-0.00140		-0.00456	-0.00364	-0.00364		0.00338	0.00296	0.00296		0.00508	0.00421	0.00421		-0.00500	-0.00399	-0.00399		-0.00396	-0.00414	-0.00406		-0.00360	-0.00418	-0.00415		-0.00887**	-0.00913**	-0.00851**		-0.00146	-0.00131	-0.00157		0.00282	0.00274	0.00304		0.00363	0.00356	0.00411		-0.000943	-0.000932	-0.000914
		(0.00383)	(0.00394)	(0.00394)		(0.00438)	(0.00421)	(0.00421)		(0.00357)	(0.00351)	(0.00351)		(0.00430)	(0.00410)	(0.00410)		(0.00396)	(0.00401)	(0.00401)		(0.00483)	(0.00486)	(0.00486)		(0.00347)	(0.00348)	(0.00348)		(0.00408)	(0.00411)	(0.00412)		(0.00382)	(0.00387)	(0.00389)		(0.00408)	(0.00389)	(0.00394)		(0.00407)	(0.00396)	(0.00391)		(0.00526)	(0.00500)	(0.00498)		(0.00572)	(0.00590)	(0.00574)		(0.00608)	(0.00610)	(0.00609)
complications_during_preg		0.0618	0.0569	0.0569		-0.0472	-0.0363	-0.0363		-0.0134	-0.00659	-0.00659		-0.0468	-0.0394	-0.0394		-0.121*	-0.129**	-0.129**		0.00912	0.0107	0.0107		0.0491	0.0510	0.0510		-0.0190	-0.0429	-0.0434		0.0128	0.0216	0.0215		-0.120*	-0.125**	-0.129**		0.00113	-0.0129	-0.0114		0.0669	0.0577	0.0563		0.0493	0.0589	0.0563		0.0321	0.0440	0.0439
		(0.0557)	(0.0541)	(0.0541)		(0.0560)	(0.0550)	(0.0550)		(0.0533)	(0.0522)	(0.0522)		(0.0576)	(0.0574)	(0.0574)		(0.0651)	(0.0647)	(0.0647)		(0.0646)	(0.0647)	(0.0647)		(0.0682)	(0.0682)	(0.0682)		(0.0654)	(0.0636)	(0.0637)		(0.0657)	(0.0653)	(0.0653)		(0.0637)	(0.0625)	(0.0622)		(0.0626)	(0.0631)	(0.0631)		(0.0780)	(0.0779)	(0.0782)		(0.0756)	(0.0764)	(0.0764)		(0.0876)	(0.0882)	(0.0884)
Constant	-2.770	-3.485	-5.561	-5.561	-5.459	-6.043	-7.854	-7.854	-2.886	-2.801	-4.937	-4.937	1.710	2.807	0.671	0.671	2.937	9.393	10.35	10.35	16.00	20.32	20.36	20.36	3.702	3.614	1.055	1.055	16.45	18.94	15.16	15.64	26.34*	28.54*	23.13	23.18	41.50***	43.53***	38.46***	39.88***	24.09*	26.52*	22.81	22.17	-13.13	-15.14	-18.78	-18.31	-11.28	-12.45	-10.82	-9.987	-1.252	-0.264	0.674	0.684
	(9.528)	(9.567)	(9.651)	(9.651)	(14.19)	(14.20)	(14.31)	(14.31)	(8.724)	(8.756)	(8.812)	(8.812)	(9.897)	(9.964)	(10.15)	(10.15)	(10.42)	(15.13)	(15.20)	(15.20)	(10.93)	(15.82)	(16.08)	(16.08)	(8.912)	(12.18)	(11.71)	(11.71)	(14.25)	(13.97)	(14.30)	(14.31)	(15.28)	(15.30)	(15.19)	(15.24)	(14.44)	(14.28)	(14.36)	(14.40)	(14.15)	(13.90)	(13.97)	(13.92)	(15.86)	(16.06)	(15.46)	(15.51)	(14.65)	(14.75)	(14.58)	(14.64)	(16.07)	(16.22)	(16.26)	(16.21)
																																																								
Observations	1,556	1,556	1,556	1,556	1,476	1,476	1,476	1,476	1,455	1,455	1,455	1,455	1,471	1,471	1,471	1,471	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,097	1,097	1,097	1,097	1,032	1,032	1,032	1,032	1,017	1,017	1,017	1,017	1,028	1,028	1,028	1,028	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042
R-squared	0.118	0.121	0.159	0.159	0.079	0.083	0.103	0.103	0.113	0.118	0.148	0.148	0.083	0.089	0.119	0.119	0.047	0.054	0.064	0.064	0.068	0.073	0.077	0.077	0.041	0.043	0.060	0.060	0.141	0.153	0.178	0.179	0.159	0.170	0.199	0.199	0.209	0.230	0.261	0.269	0.133	0.157	0.178	0.179	0.086	0.089	0.118	0.119	0.125	0.126	0.131	0.135	0.049	0.050	0.065	0.065
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
