	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
			(0.110)	(0.110)			(0.108)	(0.108)			(0.125)	(0.125)			(0.101)	(0.101)			(0.110)	(0.110)			(0.125)	(0.125)			(0.128)	(0.128)			(0.127)	(0.127)
_inc3			-0.138	-0.138			-0.0688	-0.0688			-0.214**	-0.214**			-0.151	-0.151			-0.416***	-0.423***			-0.206*	-0.204*			-0.387***	-0.392***			-0.151	-0.149
			(0.0933)	(0.0933)			(0.0959)	(0.0959)			(0.106)	(0.106)			(0.100)	(0.100)			(0.100)	(0.100)			(0.120)	(0.120)			(0.118)	(0.118)			(0.120)	(0.120)
_inc4			-0.0625	-0.0625			-0.0190	-0.0190			0.0194	0.0194			-0.0376	-0.0376			-0.282***	-0.286***			-0.114	-0.112			-0.132	-0.136			-0.0600	-0.0581
			(0.0813)	(0.0813)			(0.0763)	(0.0763)			(0.0809)	(0.0809)			(0.0821)	(0.0821)			(0.0928)	(0.0925)			(0.107)	(0.107)			(0.105)	(0.105)			(0.110)	(0.109)
_inc6			0.0889	0.0889			0.201***	0.201***			0.0689	0.0689			0.00417	0.00417			0.0165	-0.00216			0.222**	0.227**			0.216**	0.204*			0.0347	0.0405
			(0.0689)	(0.0689)			(0.0743)	(0.0743)			(0.0757)	(0.0757)			(0.0796)	(0.0796)			(0.0937)	(0.0927)			(0.0981)	(0.0982)			(0.105)	(0.106)			(0.114)	(0.113)
height		1.055**	0.814**	0.814**		0.544	0.245	0.245		1.488***	1.130**	1.130**		1.355***	1.024**	1.024**		1.228**	0.780*	0.827*		0.458	0.00581	-0.0168		1.545***	1.086**	1.130**		0.954*	0.505	0.483
		(0.425)	(0.408)	(0.408)		(0.402)	(0.395)	(0.395)		(0.514)	(0.479)	(0.479)		(0.425)	(0.407)	(0.407)		(0.500)	(0.469)	(0.467)		(0.513)	(0.504)	(0.507)		(0.550)	(0.539)	(0.538)		(0.502)	(0.485)	(0.483)
daily_cig_before_preg		-0.00171	0.00269	0.00269		-0.000305	0.00462	0.00462		0.00152	0.00674	0.00674		0.00161	0.00656	0.00656		-0.00434	0.00493	0.00502		0.000488	0.00716	0.00718		-0.00659	0.00182	0.00178		-0.000701	0.00509	0.00512
		(0.00404)	(0.00423)	(0.00423)		(0.00413)	(0.00405)	(0.00405)		(0.00481)	(0.00468)	(0.00468)		(0.00400)	(0.00406)	(0.00406)		(0.00479)	(0.00506)	(0.00506)		(0.00557)	(0.00556)	(0.00557)		(0.00536)	(0.00557)	(0.00555)		(0.00494)	(0.00499)	(0.00500)
weekly_alcohol_b_preg		-0.00491	-0.00427	-0.00427		0.00101	0.00169	0.00169		-0.00332	-0.00133	-0.00133		-0.00851	-0.00688	-0.00688		0.00299	0.00449	0.00457		0.00565	0.00623	0.00614		0.000468	0.000354	0.000519		0.00127	0.00203	0.00193
		(0.00425)	(0.00409)	(0.00409)		(0.00349)	(0.00364)	(0.00364)		(0.00422)	(0.00410)	(0.00410)		(0.00593)	(0.00567)	(0.00567)		(0.00370)	(0.00347)	(0.00355)		(0.00381)	(0.00383)	(0.00384)		(0.00428)	(0.00442)	(0.00438)		(0.00604)	(0.00556)	(0.00555)
complications_during_preg		-0.0866	-0.0921*	-0.0921*		-0.0393	-0.0370	-0.0370		-0.00823	-0.0170	-0.0170		-0.0375	-0.0468	-0.0468		-0.0787	-0.0888	-0.0904		-0.0536	-0.0542	-0.0534		-0.0111	-0.0170	-0.0184		-0.122*	-0.128*	-0.127*
