	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
			(0.0788)	(0.0788)			(0.0868)	(0.0868)			(0.0828)	(0.0828)			(0.101)	(0.101)			(0.0925)	(0.0925)			(0.0903)	(0.0903)			(0.0948)	(0.0948)			(0.0750)	(0.0750)			(0.0794)	(0.0795)			(0.0819)	(0.0822)			(0.0888)	(0.0889)			(0.0915)	(0.0919)			(0.0858)	(0.0855)			(0.0925)	(0.0924)
_inc3			-0.111*	-0.111*			-0.146**	-0.146**			-0.0874	-0.0874			-0.0607	-0.0607			0.184**	0.184**			0.132*	0.132*			-0.0819	-0.0819			-0.156**	-0.159**			-0.352***	-0.352***			-0.283***	-0.286***			-0.110	-0.106			0.138	0.130			0.0871	0.0757			-0.104	-0.104
			(0.0650)	(0.0650)			(0.0722)	(0.0722)			(0.0691)	(0.0691)			(0.0778)	(0.0778)			(0.0817)	(0.0817)			(0.0793)	(0.0793)			(0.0850)	(0.0850)			(0.0681)	(0.0681)			(0.0714)	(0.0716)			(0.0757)	(0.0759)			(0.0781)	(0.0782)			(0.0851)	(0.0850)			(0.0824)	(0.0819)			(0.0901)	(0.0903)
_inc4			-0.121**	-0.121**			-0.0734	-0.0734			-0.0736	-0.0736			-0.00110	-0.00110			0.172**	0.172**			0.115	0.115			-0.0151	-0.0151			-0.0669	-0.0668			-0.259***	-0.259***			-0.225***	-0.225***			-0.0736	-0.0740			0.111	0.112			-0.0113	-0.0101			0.0454	0.0455
			(0.0600)	(0.0600)			(0.0674)	(0.0674)			(0.0636)	(0.0636)			(0.0707)	(0.0707)			(0.0787)	(0.0787)			(0.0717)	(0.0717)			(0.0838)	(0.0838)			(0.0696)	(0.0695)			(0.0688)	(0.0688)			(0.0705)	(0.0706)			(0.0778)	(0.0776)			(0.0833)	(0.0834)			(0.0774)	(0.0772)			(0.0933)	(0.0933)
height		0.771**	0.657**	0.657**		0.294	0.186	0.186		0.403	0.280	0.280		0.385	0.356	0.356		0.351	0.386	0.386		-0.123	-0.0933	-0.0933		0.722**	0.718**	0.718**		0.314	0.121	0.136		0.0124	-0.162	-0.167		0.182	-0.00257	0.0201		0.567*	0.469	0.443		0.697*	0.658*	0.723**		0.422	0.408	0.495		-0.164	-0.159	-0.156
		(0.304)	(0.294)	(0.294)		(0.347)	(0.336)	(0.336)		(0.307)	(0.298)	(0.298)		(0.337)	(0.332)	(0.332)		(0.372)	(0.368)	(0.368)		(0.359)	(0.360)	(0.360)		(0.352)	(0.351)	(0.351)		(0.330)	(0.324)	(0.324)		(0.354)	(0.351)	(0.351)		(0.329)	(0.328)	(0.328)		(0.338)	(0.333)	(0.333)		(0.366)	(0.365)	(0.366)		(0.347)	(0.346)	(0.348)		(0.366)	(0.362)	(0.364)
daily_cig_before_preg		-0.00648**	-0.000439	-0.000439		-0.00644*	-0.00119	-0.00119		-0.00971***	-0.00305	-0.00305		-0.00380	0.000991	0.000991		-0.00289	-0.00278	-0.00278		0.00391	0.00285	0.00285		0.00129	0.00200	0.00200		-0.00876***	-0.00336	-0.00366		-0.00810**	-0.00278	-0.00267		-0.0146***	-0.00807**	-0.00856**		-0.0103***	-0.00618*	-0.00560		0.00345	0.00506	0.00370		0.00650*	0.00610*	0.00426		0.00340	0.00475	0.00469
		(0.00318)	(0.00327)	(0.00327)		(0.00336)	(0.00336)	(0.00336)		(0.00329)	(0.00328)	(0.00328)		(0.00333)	(0.00346)	(0.00346)		(0.00356)	(0.00369)	(0.00369)		(0.00360)	(0.00377)	(0.00377)		(0.00371)	(0.00383)	(0.00383)		(0.00338)	(0.00343)	(0.00345)		(0.00351)	(0.00345)	(0.00348)		(0.00340)	(0.00329)	(0.00332)		(0.00340)	(0.00348)	(0.00350)		(0.00351)	(0.00358)	(0.00360)		(0.00341)	(0.00353)	(0.00359)		(0.00378)	(0.00387)	(0.00386)
weekly_alcohol_b_preg		-0.00103	-0.000812	-0.000812		-0.00224	-0.00154	-0.00154		0.00144	0.00199	0.00199		-0.00216	-0.00211	-0.00211		-0.00423	-0.00464	-0.00464		-0.00279	-0.00326	-0.00326		-0.00177	-0.00182	-0.00182		0.00442*	0.00428*	0.00432*		-0.000452	-0.000982	-0.00101		-0.00304	-0.00365	-0.00355		0.00278	0.00231	0.00218		-0.00298	-0.00223	-0.00190		-0.00179	-0.00149	-0.00104		0.00173	0.00164	0.00166
