="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0317)",="(0.254)",="(0.251)",="(0.252)",="",="(0.255)",="(0.249)",="(0.246)",=""

="_yb32",="0.0127",="-0.416",="-0.389",="-0.385",="",="-0.411",="-0.406",="-0.378",=""
="",="(0.0310)",="(0.254)",="(0.251)",="(0.252)",="",="(0.254)",="(0.248)",="(0.246)",=""

="_yb33",="0.0172",="-0.413",="-0.386",="-0.380",="",="-0.408",="-0.403",="-0.373",=""
="",="(0.0316)",="(0.255)",="(0.252)",="(0.253)",="",="(0.255)",="(0.250)",="(0.247)",=""

="_yb34",="0.0284",="-0.406",="-0.379",="-0.372",="",="-0.401",="-0.396",="-0.365",=""
="",="(0.0368)",="(0.254)",="(0.251)",="(0.252)",="",="(0.255)",="(0.249)",="(0.246)",=""

="_yb35",="0.00641",="-0.436*",="-0.408",="-0.398",="",="-0.428*",="-0.422*",="-0.390",=""
="",="(0.0309)",="(0.258)",="(0.256)",="(0.257)",="",="(0.259)",="(0.253)",="(0.250)",=""

="_yb36",="0.00878",="-0.451*",="-0.421",="-0.410",="",="-0.441*",="-0.437*",="-0.405",=""
="",="(0.0308)",="(0.262)",="(0.259)",="(0.260)",="",="(0.262)",="(0.256)",="(0.254)",=""

="_yb37",="0.0102",="-0.455*",="-0.423",="-0.409",="",="-0.443*",="-0.436*",="-0.401",=""
="",="(0.0313)",="(0.266)",="(0.263)",="(0.264)",="",="(0.266)",="(0.260)",="(0.258)",=""

="_yb38",="0.0248",="-0.291*",="-0.274*",="-0.278*",="",="-0.299*",="-0.317**",="-0.292*",=""
="",="(0.0320)",="(0.155)",="(0.153)",="(0.154)",="",="(0.154)",="(0.152)",="(0.152)",=""

="_dob_m1",="-0.0173",="-0.0162",="-0.0147",="-0.0157",="",="-0.0173",="-0.00144",="-0.00165",=""
="",="(0.0151)",="(0.0153)",="(0.0152)",="(0.0153)",="",="(0.0152)",="(0.00950)",="(0.00949)",=""

="_dob_m2",="-0.00426",="-0.00335",="-0.00255",="-0.00449",="",="-0.00511",="0.0120",="0.0107",=""
="",="(0.0166)",="(0.0165)",="(0.0164)",="(0.0163)",="",="(0.0164)",="(0.0119)",="(0.0116)",=""

="_dob_m3",="-0.00840",="-0.00750",="-0.00705",="-0.00864",="",="-0.00878",="0.00835",="0.00650",=""
="",="(0.0165)",="(0.0164)",="(0.0163)",="(0.0163)",="",="(0.0163)",="(0.0107)",="(0.0106)",=""

="_dob_m4",="0.00369",="0.00380",="0.00432",="0.00252",="",="0.00190",="0.0192",="0.0178",=""
="",="(0.0165)",="(0.0169)",="(0.0168)",="(0.0169)",="",="(0.0169)",="(0.0128)",="(0.0128)",=""

="_dob_m5",="-0.00221",="-0.00190",="-0.000779",="-0.00260",="",="-0.00365",="0.0136",="0.0127",=""
="",="(0.0162)",="(0.0162)",="(0.0162)",="(0.0162)",="",="(0.0162)",="(0.0114)",="(0.0113)",=""

="_dob_m6",="-0.00893",="-0.00780",="-0.00778",="-0.00956",="",="-0.00939",="0.00782",="0.00571",=""
="",="(0.0162)",="(0.0161)",="(0.0159)",="(0.0160)",="",="(0.0161)",="(0.0107)",="(0.0105)",=""

="_dob_m7",="0.00150",="0.00219",="0.00331",="0.00161",="",="0.000582",="0.0177",="0.0168",=""
="",="(0.0168)",="(0.0165)",="(0.0165)",="(0.0165)",="",="(0.0165)",="(0.0121)",="(0.0121)",=""

="_dob_m8",="-0.0156",="-0.0154",="-0.0136",="-0.0148",="",="-0.0167",="0",="0",=""
="",="(0.0151)",="(0.0150)",="(0.0149)",="(0.0150)",="",="(0.0150)",="(.)",="(.)",=""

="_dob_m9",="-0.00137",="-0.000958",="-0.000619",="-0.00233",="",="-0.00239",="0.00751",="0.00570",=""
="",="(0.0118)",="(0.0115)",="(0.0113)",="(0.0114)",="",="(0.0116)",="(0.0109)",="(0.0106)",=""

="_dob_m10",="-0.0131",="-0.0133",="-0.0119",="-0.0118",="",="-0.0129",="-0.00420",="-0.00493",=""
="",="(0.00934)",="(0.00932)",="(0.00927)",="(0.00922)",="",="(0.00924)",="(0.00908)",="(0.00908)",=""

="_dob_m11",="-0.0105",="-0.0112",="-0.0104",="-0.0107",="",="-0.0112",="-0.00311",="-0.00438",=""
="",="(0.00929)",="(0.00923)",="(0.00920)",="(0.00925)",="",="(0.00926)",="(0.00894)",="(0.00895)",=""

="_dob_m12",="0",="0",="0",="0",="",="0",="0.00757",="0.00570",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(0.0106)",="(0.0105)",=""

="_dob_y1",="0",="0",="0",="0",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="",="",=""

="_dob_y2",="0.0100",="0.00865",="0.00861",="0.0102",="",="0.0104",="",="",=""
="",="(0.0123)",="(0.0126)",="(0.0126)",="(0.0126)",="",="(0.0126)",="",="",=""

="_dob_y3",="-0.0142",="-0.0171",="-0.0169",="-0.0144",="",="-0.0152",="",="",=""
="",="(0.0180)",="(0.0194)",="(0.0195)",="(0.0195)",="",="(0.0194)",="",="",=""

="_eth1",="0.0452***",="0.0469***",="0.0470***",="0.128**",="",="0.123**",="",="",=""
="",="(0.0147)",="(0.0140)",="(0.0154)",="(0.0621)",="",="(0.0617)",="",="",=""

="_eth2",="0.0360***",="0.0394***",="0.0440***",="0.0406***",="",="0.0341***",="",="",=""
="",="(0.00604)",="(0.00662)",="(0.00953)",="(0.0103)",="",="(0.00807)",="",="",=""

="_eth3",="0.0323",="0.0359*",="0.0386*",="0.0349",="",="0.0311",="",="",=""
="",="(0.0200)",="(0.0202)",="(0.0216)",="(0.0221)",="",="(0.0211)",="",="",=""

="_eth4",="0.0151**",="0.0175**",="0.0219**",="0.0238**",="",="0.0193**",="",="",=""
="",="(0.00619)",="(0.00693)",="(0.00947)",="(0.0104)",="",="(0.00842)",="",="",=""

="_eth5",="0.0339***",="0.0387***",="0.0385***",="0.0390***",="",="0.0367***",="",="",=""
="",="(0.0118)",="(0.0121)",="(0.0135)",="(0.0144)",="",="(0.0132)",="",="",=""

="_eth6",="0.0354*",="0.0417**",="0.0424**",="0.0425**",="",="0.0382**",="",="",=""
="",="(0.0197)",="(0.0200)",="(0.0213)",="(0.0202)",="",="(0.0192)",="",="",=""

="_eth7",="0.0470",="0.0515",="0.0534",="0.0542",="",="0.0508",="",="",=""
="",="(0.0356)",="(0.0356)",="(0.0359)",="(0.0368)",="",="(0.0364)",="",="",=""

="_eth8",="0.0467",="0.0544*",="0.0572*",="0.0512*",="",="0.0468",="",="",=""
="",="(0.0301)",="(0.0303)",="(0.0305)",="(0.0305)",="",="(0.0304)",="",="",=""

="_eth9",="0.0573*",="0.0602*",="0.0606*",="0.0596*",="",="0.0580*",="",="",=""
="",="(0.0304)",="(0.0310)",="(0.0321)",="(0.0332)",="",="(0.0322)",="",="",=""

="_eth10",="0.0145*",="0.0159*",="0.0222*",="0.0199",="",="0.0128",="",="",=""
="",="(0.00876)",="(0.00848)",="(0.0114)",="(0.0130)",="",="(0.0107)",="",="",=""

="_eth11",="0",="0",="0",="0",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="",="",=""

="_eth12",="0.0127**",="0.0146**",="0.0208**",="0.0203*",="",="0.0134",="",="",=""
="",="(0.00572)",="(0.00629)",="(0.00946)",="(0.0105)",="",="(0.00818)",="",="",=""

="motherage",="",="-0.125",="-0.130",="-0.127",="0.0129",="-0.125",="-0.127",="-0.129",="0.0132"
="",="",="(0.0809)",="(0.0795)",="(0.0796)",="(0.0416)",="(0.0806)",="(0.0804)",="(0.0795)",="(0.0416)"

="motheragesq",="",="0.00505*",="0.00523*",="0.00519*",="-0.000448",="0.00511*",="0.00515*",="0.00525*",="-0.000456"
="",="",="(0.00303)",="(0.00297)",="(0.00298)",="(0.00153)",="(0.00302)",="(0.00301)",="(0.00297)",="(0.00153)"

="motheragecub",="",="-0.0000642*",="-0.0000664*",="-0.0000663*",="0.00000532",="-0.0000653*",="-0.0000655*",="-0.0000667*",="0.00000541"
="",="",="(0.0000357)",="(0.0000350)",="(0.0000350)",="(0.0000181)",="(0.0000355)",="(0.0000355)",="(0.0000349)",="(0.0000181)"

="agefirstbirth",="",="0.00154**",="0.00229***",="0.00232***",="0.00244***",="0.00182**",="0.00178**",="0.00229***",="0.00246***"
="",="",="(0.000675)",="(0.000758)",="(0.000761)",="(0.000771)",="(0.000736)",="(0.000731)",="(0.000754)",="(0.000771)"

="miss_motherage",="",="-0.915",="-0.977",="-0.949",="0.0708",="-0.916",="-0.914",="-0.953",="0.112"
="",="",="(0.668)",="(0.660)",="(0.663)",="(0.363)",="(0.667)",="(0.666)",="(0.662)",="(0.364)"

="miss_agefirstbirth",="",="0.135",="0.161",="0.189",="0.198",="0.164",="0.127",="0.153",="0.160"
="",="",="(0.129)",="(0.124)",="(0.131)",="(0.143)",="(0.137)",="(0.130)",="(0.127)",="(0.127)"

="_mother_edu1",="",="",="0.0176",="0.0177",="0.0171",="0.0313***",="0.0321***",="0.0181",="0.0175"
="",="",="",="(0.0113)",="(0.0114)",="(0.0114)",="(0.0110)",="(0.0109)",="(0.0113)",="(0.0113)"

="_mother_edu2",="",="",="0.0136",="0.0128",="0.0120",="0.0269**",="0.0270**",="0.0132",="0.0127"
="",="",="",="(0.0122)",="(0.0123)",="(0.0125)",="(0.0125)",="(0.0125)",="(0.0123)",="(0.0124)"

="_mother_edu3",="",="",="0.0138",="0.0136",="0.0135",="0.0250***",="0.0249***",="0.0138",="0.0138"
="",="",="",="(0.00908)",="(0.00906)",="(0.00923)",="(0.00913)",="(0.00912)",="(0.00908)",="(0.00912)"

="_mother_edu4",="",="",="0.0199*",="0.0195*",="0.0182*",="0.0292***",="0.0293***",="0.0199*",="0.0182*"
="",="",="",="(0.0108)",="(0.0108)",="(0.0108)",="(0.0107)",="(0.0107)",="(0.0108)",="(0.0108)"

="_mother_edu5",="",="",="0.0190**",="0.0187**",="0.0180**",="0.0237***",="0.0236***",="0.0189**",="0.0182**"
="",="",="",="(0.00860)",="(0.00861)",="(0.00860)",="(0.00881)",="(0.00876)",="(0.00855)",="(0.00853)"

="_mother_edu7",="",="",="0.00478",="0.00431",="0.000873",="0.0162",="0.0159",="0.00337",="0.00174"
="",="",="",="(0.0143)",="(0.0143)",="(0.0141)",="(0.0138)",="(0.0132)",="(0.0140)",="(0.0141)"

="_inc1",="",="",="0.104",="0.102",="0.0762",="",="",="0.103",="0.103"
="",="",="",="(0.0648)",="(0.0638)",="(0.0540)",="",="",="(0.0643)",="(0.0648)"

="_inc2",="",="",="0.00814",="0.00780",="0.00582",="",="",="0.00776",="0.00588"
="",="",="",="(0.00816)",="(0.00820)",="(0.00821)",="",="",="(0.00810)",="(0.00820)"

="_inc3",="",="",="0.0276***",="0.0275***",="0.0252***",="",="",="0.0273***",="0.0249**"
="",="",="",="(0.00972)",="(0.00973)",="(0.00976)",="",="",="(0.00955)",="(0.00980)"

="_inc4",="",="",="0.00710",="0.00716",="0.00481",="",="",="0.00673",="0.00476"
="",="",="",="(0.00730)",="(0.00729)",="(0.00758)",="",="",="(0.00730)",="(0.00759)"

="_inc6",="",="",="-0.0118",="-0.0118",="-0.0126*",="",="",="-0.0119*",="-0.0127*"
="",="",="",="(0.00726)",="(0.00722)",="(0.00735)",="",="",="(0.00723)",="(0.00735)"

="height",="",="",="",="0.0374",="0.0415",="0.0343",="0.0382",="0.0423",="0.0419"
="",="",="",="",="(0.0366)",="(0.0368)",="(0.0371)",="(0.0371)",="(0.0365)",="(0.0368)"

="daily_cig_before_preg",="",="",="",="0.000145",="0.000178",="0.000238",="0.000242",="0.000171",="0.000175"
="",="",="",="",="(0.000327)",="(0.000324)",="(0.000325)",="(0.000321)",="(0.000321)",="(0.000321)"

="weekly_alcohol_b_preg",="",="",="",="0.000299",="0.000262",="0.000295",="0.000286",="0.000303",="0.000260"
="",="",="",="",="(0.000361)",="(0.000357)",="(0.000361)",="(0.000358)",="(0.000357)",="(0.000356)"

="complications_during_preg",="",="",="",="0.0151***",="0.0157***",="0.0155***",="0.0154***",="0.0150***",="0.0157***"
="",="",="",="",="(0.00510)",="(0.00513)",="(0.00515)",="(0.00517)",="(0.00512)",="(0.00513)"

="miss_height",="",="",="",="0.0783",="0.0870",="0.0780",="0.0856",="0.0865",="0.0838"
="",="",="",="",="(0.0655)",="(0.0649)",="(0.0661)",="(0.0654)",="(0.0647)",="(0.0652)"

="miss_daily_cig_before_preg",="",="",="",="-0.0168",="-0.0134",="-0.0199**",="-0.0208**",="-0.0174",="-0.0151"
="",="",="",="",="(0.0119)",="(0.0104)",="(0.00912)",="(0.00910)",="(0.0117)",="(0.0106)"

="miss_weekly_alcohol_b_preg",="",="",="",="-0.0680",="0.0146",="-0.0607",="0.0271*",="0.0189",="0.0155"
="",="",="",="",="(0.0627)",="(0.0155)",="(0.0620)",="(0.0144)",="(0.0163)",="(0.0159)"

="miss_complications_during_preg",="",="",="",="0",="0",="0",="0",="0",="0"
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="_cons",="-0.0935",="1.344",="1.232",="1.055",="-0.263",="1.144",="1.269",="1.170",="-0.336"
="",="(0.0629)",="(0.819)",="(0.804)",="(0.820)",="(0.374)",="(0.827)",="(0.822)",="(0.814)",="(0.381)"

="N",="12200",="12200",="12200",="12200",="12200",="12200",="12200",="12200",="12200"
="R-sq",="0.022",="0.025",="0.033",="0.037",="0.018",="0.030",="0.028",="0.035",="0.019"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
