="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0233)",="(0.0229)",="(0.0230)",="(0.0229)",="",="(0.0229)",="(0.0141)",="(0.0140)",=""

="_dob_m8",="-0.0289",="-0.0277",="-0.0250",="-0.0255",="",="-0.0286",="0.00156",="0.00173",=""
="",="(0.0205)",="(0.0203)",="(0.0200)",="(0.0200)",="",="(0.0202)",="(0.00991)",="(0.00984)",=""

="_dob_m9",="-0.00259",="-0.00173",="-0.000160",="-0.00212",="",="-0.00332",="0.0162",="0.0151",=""
="",="(0.0173)",="(0.0168)",="(0.0166)",="(0.0168)",="",="(0.0170)",="(0.0153)",="(0.0149)",=""

="_dob_m10",="-0.0137",="-0.0131",="-0.0116",="-0.0120",="",="-0.0128",="0.00487",="0.00346",=""
="",="(0.0128)",="(0.0128)",="(0.0126)",="(0.0126)",="",="(0.0126)",="(0.0103)",="(0.0104)",=""

="_dob_m11",="-0.0107",="-0.0116",="-0.00991",="-0.00975",="",="-0.0109",="0.00624",="0.00513",=""
="",="(0.0132)",="(0.0131)",="(0.0130)",="(0.0131)",="",="(0.0131)",="(0.0109)",="(0.0108)",=""

="_dob_m12",="0",="0",="0",="0",="",="0",="0.0157",="0.0135",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(0.0123)",="(0.0122)",=""

="_dob_y1",="0.000370",="-0.000771",="-0.00449",="-0.00491",="",="-0.00235",="",="",=""
="",="(0.0253)",="(0.0263)",="(0.0264)",="(0.0263)",="",="(0.0260)",="",="",=""

="_dob_y2",="0.0152",="0.0136",="0.00943",="0.0103",="",="0.0138",="",="",=""
="",="(0.0124)",="(0.0133)",="(0.0137)",="(0.0137)",="",="(0.0132)",="",="",=""

="_dob_y3",="0",="0",="0",="0",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="",="",=""

="_eth1",="0.0264",="0.0264",="0.0251",="0.145*",="",="0.142*",="",="",=""
="",="(0.0192)",="(0.0183)",="(0.0179)",="(0.0817)",="",="(0.0822)",="",="",=""

="_eth2",="0.00847",="0.0104",="0.0129",="0.0129",="",="0.00852",="",="",=""
="",="(0.00722)",="(0.00757)",="(0.00817)",="(0.0121)",="",="(0.0114)",="",="",=""

="_eth3",="-0.0150",="-0.0126",="-0.0103",="-0.00916",="",="-0.0120",="",="",=""
="",="(0.00956)",="(0.00958)",="(0.00949)",="(0.0132)",="",="(0.0130)",="",="",=""

="_eth4",="-0.0158**",="-0.0131",="-0.0128",="-0.0112",="",="-0.0119",="",="",=""
="",="(0.00780)",="(0.00825)",="(0.00882)",="(0.0121)",="",="(0.0116)",="",="",=""

="_eth5",="0.00442",="0.00936",="0.00563",="0.00877",="",="0.00875",="",="",=""
="",="(0.0173)",="(0.0174)",="(0.0170)",="(0.0176)",="",="(0.0172)",="",="",=""

="_eth6",="-0.00167",="0.00310",="0.00241",="0.00377",="",="-0.00169",="",="",=""
="",="(0.00745)",="(0.00791)",="(0.00946)",="(0.0109)",="",="(0.0102)",="",="",=""

="_eth7",="-0.0135",="-0.00872",="-0.0130",="-0.0134",="",="-0.0131",="",="",=""
="",="(0.00913)",="(0.00938)",="(0.0103)",="(0.0127)",="",="(0.0122)",="",="",=""

="_eth8",="0.00265",="0.0100",="0.00877",="0.00756",="",="0.00836",="",="",=""
="",="(0.0179)",="(0.0176)",="(0.0180)",="(0.0195)",="",="(0.0195)",="",="",=""

="_eth9",="0.0202",="0.0215",="0.0181",="0.0246",="",="0.0255",="",="",=""
="",="(0.0307)",="(0.0324)",="(0.0333)",="(0.0318)",="",="(0.0309)",="",="",=""

="_eth10",="0",="0",="0",="0",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="",="",=""

="_eth11",="-0.0348**",="-0.0376**",="-0.0447*",="-0.0436*",="",="-0.0367*",="",="",=""
="",="(0.0155)",="(0.0171)",="(0.0231)",="(0.0250)",="",="(0.0220)",="",="",=""

="_eth12",="-0.0141*",="-0.0160*",="-0.0146",="-0.0148",="",="-0.0168",="",="",=""
="",="(0.00822)",="(0.00892)",="(0.00987)",="(0.0121)",="",="(0.0114)",="",="",=""

="motherage",="",="-0.171",="-0.171",="-0.171",="0.0180",="-0.175",="-0.173",="-0.170",="0.0178"
="",="",="(0.120)",="(0.115)",="(0.116)",="(0.0417)",="(0.119)",="(0.119)",="(0.116)",="(0.0417)"

="motheragesq",="",="0.00659",="0.00656",="0.00657",="-0.000648",="0.00675",="0.00669",="0.00652",="-0.000643"
="",="",="(0.00454)",="(0.00436)",="(0.00442)",="(0.00154)",="(0.00454)",="(0.00452)",="(0.00440)",="(0.00154)"

="motheragecub",="",="-0.0000815",="-0.0000807",="-0.0000812",="0.00000784",="-0.0000836",="-0.0000824",="-0.0000800",="0.00000780"
="",="",="(0.0000538)",="(0.0000517)",="(0.0000524)",="(0.0000183)",="(0.0000539)",="(0.0000536)",="(0.0000521)",="(0.0000183)"

="agefirstbirth",="",="0.00166**",="0.00263***",="0.00267***",="0.00287***",="0.00201**",="0.00204**",="0.00270***",="0.00286***"
="",="",="(0.000833)",="(0.000974)",="(0.000969)",="(0.000977)",="(0.000909)",="(0.000906)",="(0.000968)",="(0.000979)"

="miss_motherage",="",="-1.318",="-1.358",="-1.373",="0.147",="-1.381",="-1.335",="-1.334",="0.207"
="",="",="(0.949)",="(0.910)",="(0.921)",="(0.364)",="(0.942)",="(0.935)",="(0.913)",="(0.368)"

="miss_agefirstbirth",="",="0.140",="0.161",="0.228",="0.235",="0.210",="0.149",="0.167",="0.172"
="",="",="(0.158)",="(0.148)",="(0.154)",="(0.181)",="(0.164)",="(0.159)",="(0.152)",="(0.155)"

="_mother_edu1",="",="",="0.0148",="0.0129",="0.0143",="0.0307*",="0.0322*",="0.0151",="0.0143"
="",="",="",="(0.0177)",="(0.0178)",="(0.0174)",="(0.0175)",="(0.0174)",="(0.0177)",="(0.0171)"

="_mother_edu2",="",="",="0.00518",="0.00318",="0.00635",="0.0219",="0.0246",="0.00719",="0.00661"
="",="",="",="(0.0184)",="(0.0187)",="(0.0183)",="(0.0189)",="(0.0187)",="(0.0183)",="(0.0179)"

="_mother_edu3",="",="",="0.00132",="0.000497",="0.00181",="0.0157",="0.0172",="0.00299",="0.00192"
="",="",="",="(0.0147)",="(0.0146)",="(0.0144)",="(0.0150)",="(0.0149)",="(0.0144)",="(0.0142)"

="_mother_edu4",="",="",="0.0120",="0.0111",="0.0101",="0.0251",="0.0266",="0.0134",="0.0100"
="",="",="",="(0.0169)",="(0.0170)",="(0.0163)",="(0.0179)",="(0.0179)",="(0.0170)",="(0.0163)"

="_mother_edu5",="",="",="0.0101",="0.00906",="0.0104",="0.0165",="0.0182",="0.0114",="0.0105"
="",="",="",="(0.0143)",="(0.0143)",="(0.0142)",="(0.0148)",="(0.0146)",="(0.0141)",="(0.0141)"

="_mother_edu7",="",="",="-0.00650",="-0.00754",="-0.00618",="0.00760",="0.00737",="-0.00743",="-0.00603"
="",="",="",="(0.0179)",="(0.0179)",="(0.0174)",="(0.0175)",="(0.0170)",="(0.0176)",="(0.0172)"

="_inc1",="",="",="0.0717",="0.0754",="0.0357",="",="",="0.0741",="0.0753"
="",="",="",="(0.0669)",="(0.0642)",="(0.0613)",="",="",="(0.0670)",="(0.0690)"

="_inc2",="",="",="0.00523",="0.00540",="0.000726",="",="",="0.00391",="0.000622"
="",="",="",="(0.0114)",="(0.0117)",="(0.0115)",="",="",="(0.0113)",="(0.0115)"

