="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_dob_m6",="-0.00820",="-0.00795",="-0.00742",="-0.0274",="",="-0.0225",="-0.0226",="-0.0276",=""
="",="(0.0209)",="(0.0203)",="(0.0215)",="(0.0212)",="",="(0.0216)",="(0.0214)",="(0.0210)",=""

="_dob_m7",="0.000922",="0.00132",="0.000360",="-0.0185",="",="-0.0185",="-0.0189",="-0.0188",=""
="",="(0.0229)",="(0.0225)",="(0.0240)",="(0.0221)",="",="(0.0222)",="(0.0222)",="(0.0221)",=""

="_dob_m8",="-0.0158",="-0.0154",="-0.0127",="-0.0319",="",="-0.0321",="-0.0320",="-0.0316",=""
="",="(0.0201)",="(0.0196)",="(0.0209)",="(0.0206)",="",="(0.0208)",="(0.0207)",="(0.0205)",=""

="_dob_m9",="0.000778",="0.000844",="0.00432",="-0.0138",="",="-0.0131",="-0.0156",="-0.0167",=""
="",="(0.0195)",="(0.0189)",="(0.0213)",="(0.0273)",="",="(0.0277)",="(0.0244)",="(0.0238)",=""

="_dob_m10",="-0.0126",="-0.0130",="-0.0175",="-0.0356",="",="-0.0350",="-0.0368*",="-0.0377*",=""
="",="(0.0142)",="(0.0141)",="(0.0138)",="(0.0266)",="",="(0.0266)",="(0.0194)",="(0.0193)",=""

="_dob_m11",="-0.0137",="-0.0150",="-0.0127",="-0.0314",="",="-0.0311",="-0.0328",="-0.0335*",=""
="",="(0.0142)",="(0.0140)",="(0.0154)",="(0.0260)",="",="(0.0259)",="(0.0202)",="(0.0202)",=""

="_dob_m12",="0",="0",="0",="-0.0186",="",="-0.0168",="-0.0189",="-0.0210",=""
="",="(.)",="(.)",="(.)",="(0.0275)",="",="(0.0275)",="(0.0220)",="(0.0218)",=""

="_dob_y1",="0",="0",="0.0128",="0.0123",="",="0.0166",="",="",=""
="",="(.)",="(.)",="(0.0268)",="(0.0273)",="",="(0.0270)",="",="",=""

="_dob_y2",="0.000834",="0.000582",="0.0140",="0.0147",="",="0.0186",="",="",=""
="",="(0.0162)",="(0.0159)",="(0.0149)",="(0.0152)",="",="(0.0147)",="",="",=""

="_dob_y3",="-0.0174",="-0.0166",="0",="0",="",="0",="",="",=""
="",="(0.0238)",="(0.0247)",="(.)",="(.)",="",="(.)",="",="",=""

="_eth1",="0.0429***",="0.0474***",="0.0374**",="0.0199*",="",="0.0267*",="",="",=""
="",="(0.0144)",="(0.0155)",="(0.0161)",="(0.0113)",="",="(0.0145)",="",="",=""

="_eth2",="0.0199",="0.0252",="0.0179",="0.00227",="",="0.00886",="",="",=""
="",="(0.0143)",="(0.0154)",="(0.0176)",="(0.0122)",="",="(0.0170)",="",="",=""

="_eth3",="0.0195",="0.0244*",="0.0158",="-0.00298",="",="0.00717",="",="",=""
="",="(0.0134)",="(0.0143)",="(0.0148)",="(0.0119)",="",="(0.0140)",="",="",=""

="_eth4",="0.0410**",="0.0477**",="0.0247",="0.00579",="",="0.0200",="",="",=""
="",="(0.0206)",="(0.0218)",="(0.0162)",="(0.0120)",="",="(0.0156)",="",="",=""

="_eth5",="0.0313**",="0.0388**",="0.0341**",="0.0156",="",="0.0245",="",="",=""
