="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_yb33",="0.00233",="0.0197",="-0.0309",="-1.913***",="",="0.00673",="-1.795***",="0.00131",=""
="",="(0.0289)",="(0.0561)",="(0.0607)",="(0.488)",="",="(0.0524)",="(0.458)",="(0.0499)",=""

="_yb34",="-0.0251",="-0.00364",="-0.0221",="-1.914***",="",="0.0101",="-1.791***",="0.00266",=""
="",="(0.0168)",="(0.0293)",="(0.0414)",="(0.493)",="",="(0.0385)",="(0.461)",="(0.0374)",=""

="_yb35",="-0.0236",="-0.00229",="-0.00779",="-1.910***",="",="0.00861",="-1.790***",="0.00889",=""
="",="(0.0188)",="(0.0136)",="(0.0239)",="(0.504)",="",="(0.0191)",="(0.470)",="(0.0194)",=""

="_yb36",="-0.0188",="0",="0",="-1.920***",="",="0",="-1.798***",="0",=""
="",="(0.0155)",="(.)",="(.)",="(0.505)",="",="(.)",="(0.470)",="(.)",=""

="_yb37",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_dob_m1",="-0.0182",="-0.0144",="-0.00148",="0.0112",="",="0.00315",="0.00981",="0.0101",=""
="",="(0.0153)",="(0.0163)",="(0.0242)",="(0.0129)",="",="(0.0246)",="(0.0127)",="(0.0127)",=""

="_dob_m2",="-0.0264*",="-0.0238",="-0.0127",="0",="",="-0.00801",="0",="0",=""
="",="(0.0152)",="(0.0159)",="(0.0230)",="(.)",="",="(0.0236)",="(.)",="(.)",=""

="_dob_m3",="0.00273",="0.00485",="0.0169",="0.0285",="",="0.0210",="0.0292",="0.0286",=""
="",="(0.0196)",="(0.0196)",="(0.0279)",="(0.0187)",="",="(0.0284)",="(0.0188)",="(0.0187)",=""

="_dob_m4",="0.0104",="0.0114",="0.0279",="0.0410**",="",="0.0321",="0.0401**",="0.0409**",=""
="",="(0.0197)",="(0.0200)",="(0.0264)",="(0.0187)",="",="(0.0266)",="(0.0187)",="(0.0188)",=""

="_dob_m5",="0.000788",="0.00131",="0.00295",="0.0164",="",="0.00694",="0.0142",="0.0154",=""
="",="(0.0181)",="(0.0182)",="(0.0253)",="(0.0148)",="",="(0.0256)",="(0.0147)",="(0.0148)",=""

="_dob_m6",="-0.0105",="-0.00952",="-0.000603",="0.0118",="",="0.00799",="0.0148",="0.0105",=""
="",="(0.0167)",="(0.0167)",="(0.0254)",="(0.0151)",="",="(0.0262)",="(0.0154)",="(0.0150)",=""

="_dob_m7",="0",="0",="0.0117",="0.0194",="",="0.0101",="0.0180",="0.0190",=""
="",="(.)",="(.)",="(0.0243)",="(0.0166)",="",="(0.0239)",="(0.0162)",="(0.0161)",=""

="_dob_m8",="-0.0103",="-0.0119",="-0.00791",="0.00530",="",="-0.00399",="0.00390",="0.00490",=""
="",="(0.0165)",="(0.0163)",="(0.0228)",="(0.0142)",="",="(0.0232)",="(0.0139)",="(0.0139)",=""

="_dob_m9",="-0.00227",="-0.00268",="0.00251",="0.0150",="",="0.0123",="0.0168",="0.00645",=""
="",="(0.0213)",="(0.0211)",="(0.0126)",="(0.0208)",="",="(0.0153)",="(0.0151)",="(0.0127)",=""

="_dob_m10",="-0.0168",="-0.0189",="-0.00779",="0.00592",="",="-0.00718",="-0.000828",="-0.00110",=""
="",="(0.0213)",="(0.0213)",="(0.0108)",="(0.0214)",="",="(0.0108)",="(0.0107)",="(0.0108)",=""

="_dob_m11",="-0.0136",="-0.0151",="-0.00185",="0.0102",="",="-0.00369",="0.00248",="0.00284",=""
="",="(0.0216)",="(0.0214)",="(0.0115)",="(0.0215)",="",="(0.0115)",="(0.0119)",="(0.0120)",=""

="_dob_m12",="-0.0101",="-0.0124",="0",="0.0135",="",="0",="0.00581",="0.00533",=""
="",="(0.0228)",="(0.0226)",="(.)",="(0.0232)",="",="(.)",="(0.0121)",="(0.0122)",=""

="_dob_y1",="0",="0",="0.0281",="0.0283",="",="0",="",="",=""
="",="(.)",="(.)",="(0.0338)",="(0.0337)",="",="(.)",="",="",=""

="_dob_y2",="0.00859",="0.00277",="0.0357**",="0.0368**",="",="0.00209",="",="",=""
="",="(0.0184)",="(0.0197)",="(0.0171)",="(0.0171)",="",="(0.0219)",="",="",=""

="_dob_y3",="-0.0159",="-0.0306",="0",="0",="",="-0.0381",="",="",=""
="",="(0.0268)",="(0.0305)",="(.)",="(.)",="",="(0.0341)",="",="",=""

="_eth1",="0.0293***",="0.0348***",="0.0313**",="0.0279**",="",="0.0268**",="",="",=""
="",="(0.00896)",="(0.00974)",="(0.0131)",="(0.0134)",="",="(0.0132)",="",="",=""

="_eth2",="0.0361",="0.0416",="0.0462",="0.0454",="",="0.0429",="",="",=""
="",="(0.0388)",="(0.0391)",="(0.0463)",="(0.0484)",="",="(0.0467)",="",="",=""

="_eth3",="0.0119",="0.0176",="0.0117",="0.0136",="",="0.0131",="",="",=""
="",="(0.0113)",="(0.0115)",="(0.0132)",="(0.0137)",="",="(0.0134)",="",="",=""

="_eth4",="0.0287*",="0.0349**",="0.0253",="0.0279",="",="0.0301*",="",="",=""
="",="(0.0153)",="(0.0158)",="(0.0166)",="(0.0179)",="",="(0.0178)",="",="",=""

="_eth5",="0.0387",="0.0455",="0.0761",="0.0170",="",="0.0189",="",="",=""
="",="(0.0320)",="(0.0317)",="(0.0587)",="(0.0144)",="",="(0.0143)",="",="",=""

="_eth6",="0.0639",="0.0694",="0.0913",="0.0951",="",="0.0978",="",="",=""
="",="(0.0582)",="(0.0579)",="(0.0789)",="(0.0810)",="",="(0.0821)",="",="",=""

="_eth7",="0.0624",="0.0705",="0.0778",="0.0694",="",="0.0677",="",="",=""
="",="(0.0476)",="(0.0484)",="(0.0546)",="(0.0541)",="",="(0.0547)",="",="",=""

="_eth8",="0.0584*",="0.0645*",="0.0766*",="0.0778",="",="0.0816*",="",="",=""
="",="(0.0347)",="(0.0349)",="(0.0451)",="(0.0483)",="",="(0.0486)",="",="",=""

="_eth9",="0",="0",="0",="0",="",="0",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="",="",=""

="_eth10",="-0.00575",="-0.00256",="-0.0102",="-0.0106",="",="-0.00544",="",="",=""
="",="(0.0122)",="(0.0130)",="(0.0162)",="(0.0170)",="",="(0.0173)",="",="",=""

="_eth11",="0.00763",="0.0134",="0.0102",="0.00858",="",="0.00657",="",="",=""
="",="(0.0107)",="(0.0111)",="(0.0151)",="(0.0157)",="",="(0.0157)",="",="",=""

="motherage",="",="-0.0998",="-0.0817",="-0.147",="0.0266",="-0.158",="-0.146",="-0.137",="0.0279"
="",="",="(0.100)",="(0.117)",="(0.101)",="(0.0515)",="(0.101)",="(0.100)",="(0.0999)",="(0.0517)"

="motheragesq",="",="0.00461",="0.00427",="0.00648*",="-0.000874",="0.00692*",="0.00650*",="0.00614*",="-0.000913"
="",="",="(0.00364)",="(0.00402)",="(0.00353)",="(0.00187)",="(0.00356)",="(0.00354)",="(0.00352)",="(0.00187)"

="motheragecub",="",="-0.0000619",="-0.0000619",="-0.0000860**",="0.00000955",="-0.0000907**",="-0.0000858**",="-0.0000818**",="0.00000993"
="",="",="(0.0000425)",="(0.0000450)",="(0.0000403)",="(0.0000218)",="(0.0000407)",="(0.0000403)",="(0.0000399)",="(0.0000218)"

="agefirstbirth",="",="0.00124",="0.00206*",="0.00196*",="0.00209*",="0.00175",="0.00160",="0.00187*",="0.00212*"
="",="",="(0.000905)",="(0.00112)",="(0.00115)",="(0.00117)",="(0.00116)",="(0.00113)",="(0.00112)",="(0.00117)"

="_mother_edu1",="",="",="0.0119",="0.00920",="0.00939",="0.00857",="0.00396",="0.00609",="0.00975"
="",="",="",="(0.0194)",="(0.0197)",="(0.0184)",="(0.0196)",="(0.0181)",="(0.0183)",="(0.0184)"

="_mother_edu2",="",="",="0.0123",="0.00830",="0.0104",="0.00996",="0.00560",="0.00570",="0.0101"
="",="",="",="(0.0171)",="(0.0168)",="(0.0155)",="(0.0165)",="(0.0147)",="(0.0153)",="(0.0155)"
