="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0318)",="(0.279)",="(0.0184)",="(0.270)",="",="(0.275)",="(0.0192)",="(0.260)",=""

="_yb36",="0.0172",="-0.411",="0",="-0.491*",="",="-0.522*",="0",="-0.496*",=""
="",="(0.0324)",="(0.283)",="(.)",="(0.276)",="",="(0.280)",="(.)",="(0.265)",=""

="_yb37",="0.0288",="-0.276*",="0.191",="-0.279*",="",="-0.318*",="0.182",="-0.311*",=""
="",="(0.0332)",="(0.164)",="(0.145)",="(0.165)",="",="(0.167)",="(0.137)",="(0.161)",=""

="_dob_m1",="-0.0127",="-0.0121",="-0.0114",="-0.0121",="",="-0.0102",="-0.0141",="-0.00114",=""
="",="(0.0107)",="(0.0107)",="(0.0167)",="(0.0168)",="",="(0.0169)",="(0.0121)",="(0.0109)",=""

="_dob_m2",="0",="0",="0.00202",="0.00111",="",="0.00289",="0",="0.0130",=""
="",="(.)",="(.)",="(0.0185)",="(0.0186)",="",="(0.0187)",="(.)",="(0.0133)",=""

="_dob_m3",="0.00189",="0.00143",="0.000485",="-0.000797",="",="0.00236",="-0.0000975",="0.0114",=""
="",="(0.0130)",="(0.0131)",="(0.0187)",="(0.0188)",="",="(0.0189)",="(0.0146)",="(0.0129)",=""

="_dob_m4",="0.0128",="0.0119",="0.0123",="0.0110",="",="0.0129",="0.0104",="0.0231",=""
="",="(0.0143)",="(0.0141)",="(0.0189)",="(0.0190)",="",="(0.0191)",="(0.0158)",="(0.0151)",=""

="_dob_m5",="0.000153",="-0.000680",="-0.0102",="-0.0112",="",="-0.0101",="-0.0131",="0.000454",=""
="",="(0.0124)",="(0.0123)",="(0.0170)",="(0.0171)",="",="(0.0171)",="(0.0126)",="(0.0111)",=""

="_dob_m6",="-0.00508",="-0.00556",="-0.00795",="-0.00922",="",="-0.00298",="-0.00570",="0.00281",=""
="",="(0.0121)",="(0.0123)",="(0.0172)",="(0.0173)",="",="(0.0178)",="(0.0139)",="(0.0114)",=""

="_dob_m7",="0.00666",="0.00578",="0.00411",="0.000670",="",="0.00206",="-0.000849",="0.0124",=""
="",="(0.0137)",="(0.0141)",="(0.0182)",="(0.0181)",="",="(0.0181)",="(0.0152)",="(0.0131)",=""

="_dob_m8",="-0.00732",="-0.00861",="-0.0111",="-0.0121",="",="-0.0109",="-0.0135",="0",=""
="",="(0.0117)",="(0.0121)",="(0.0164)",="(0.0166)",="",="(0.0167)",="(0.0134)",="(.)",=""

="_dob_m9",="0.00484",="0.00391",="0.00166",="0.00174",="",="0.00668",="-0.000764",="0.00629",=""
="",="(0.0160)",="(0.0166)",="(0.0128)",="(0.0128)",="",="(0.0137)",="(0.0147)",="(0.0123)",=""

="_dob_m10",="-0.00913",="-0.0109",="-0.0142",="-0.0137",="",="-0.0142",="-0.0206*",="-0.00823",=""
="",="(0.0160)",="(0.0163)",="(0.00983)",="(0.00986)",="",="(0.00985)",="(0.0115)",="(0.0104)",=""

="_dob_m11",="-0.00835",="-0.0103",="-0.00931",="-0.00969",="",="-0.0104",="-0.0167",="-0.00428",=""
="",="(0.0158)",="(0.0161)",="(0.0102)",="(0.0103)",="",="(0.0103)",="(0.0119)",="(0.0105)",=""

="_dob_m12",="0.00122",="-0.000326",="0",="0",="",="0",="-0.00682",="0.00467",=""
="",="(0.0170)",="(0.0172)",="(.)",="(.)",="",="(.)",="(0.0131)",="(0.0119)",=""

="_dob_y1",="0.0185",="0.0232",="0",="0",="",="0.0240",="",="",=""
="",="(0.0190)",="(0.0208)",="(.)",="(.)",="",="(0.0225)",="",="",=""

="_dob_y2",="0.0232**",="0.0261**",="0.00662",="0.00799",="",="0.0284**",="",="",=""
="",="(0.00939)",="(0.0108)",="(0.0138)",="(0.0139)",="",="(0.0118)",="",="",=""

="_dob_y3",="0",="0",="-0.0186",="-0.0176",="",="0",="",="",=""
="",="(.)",="(.)",="(0.0222)",="(0.0224)",="",="(.)",="",="",=""

="_eth1",="0.0203***",="0.0244***",="0.0261***",="0.0296***",="",="0.0256***",="",="",=""
="",="(0.00700)",="(0.00715)",="(0.00897)",="(0.00931)",="",="(0.00700)",="",="",=""

="_eth2",="0.0161",="0.0204",="0.0266",="0.0307",="",="0.0254",="",="",=""
="",="(0.0208)",="(0.0209)",="(0.0244)",="(0.0252)",="",="(0.0240)",="",="",=""

="_eth3",="-0.000260",="0.00402",="0.00465",="0.00955",="",="0.00805",="",="",=""
="",="(0.00750)",="(0.00752)",="(0.00851)",="(0.00876)",="",="(0.00662)",="",="",=""

="_eth4",="0.0186",="0.0236*",="0.0143",="0.0200*",="",="0.0215**",="",="",=""
="",="(0.0122)",="(0.0124)",="(0.0104)",="(0.0115)",="",="(0.00979)",="",="",=""

="_eth5",="0.0193",="0.0260",="0.0495",="0.0192*",="",="0.0180**",="",="",=""
="",="(0.0199)",="(0.0199)",="(0.0360)",="(0.00995)",="",="(0.00775)",="",="",=""

="_eth6",="0.0315",="0.0365",="0.0560",="0.0608",="",="0.0611",="",="",=""
="",="(0.0361)",="(0.0360)",="(0.0534)",="(0.0552)",="",="(0.0553)",="",="",=""

="_eth7",="0.0301",="0.0382",="0.0456",="0.0470",="",="0.0446",="",="",=""
