	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
	(1.410)	(1.401)	(2.216)	(0.565)	(0.568)	(0.568)	(4.218)	(4.202)	(4.053)	(3.400)	(3.402)	(3.356)	(0.412)	(0.415)	(0.407)	(0.368)	(0.369)	(0.369)	(0.0693)	(0.0689)	(0.0683)	(2.440)	(2.421)	(2.416)	(0.494)	(0.496)	(0.513)	(4.852)	(4.789)	(4.697)	(2.838)	(2.818)	(2.832)	(0.456)	(0.454)	(0.449)	(0.387)	(0.384)	(0.383)	(0.0634)	(0.0626)	(0.0626)	(3.784)	(3.604)	(2.218)	(1.273)	(1.332)	(1.292)	(10.97)	(11.64)	(11.10)	(6.155)	(6.196)	(6.049)	(0.546)	(0.691)	(0.702)	(0.443)	(0.588)	(0.603)	(0.0767)	(0.106)	(0.101)
_dob_m2			-3.376	0.478	0.429	0.560				0.263	-0.302	0.311	0.367	0.424	0.398	-0.155	-0.131	-0.137	-0.0191	-0.0175	-0.0156	-0.691	-0.973	-0.329										-0.532	-0.536	-0.583	-0.408	-0.418	-0.501	0.0521	0.0571	0.0543	2.738	1.589		-0.795	-0.859	-0.721	-6.306	-9.033	-6.166	2.688	2.211	2.529		-0.545	-0.409		-0.873	-0.914		0.117	0.108
			(2.200)	(0.593)	(0.594)	(0.586)				(3.487)	(3.474)	(3.401)	(0.422)	(0.422)	(0.412)	(0.369)	(0.370)	(0.370)	(0.0688)	(0.0692)	(0.0684)	(2.490)	(2.478)	(2.482)										(0.484)	(0.482)	(0.480)	(0.396)	(0.396)	(0.395)	(0.0667)	(0.0668)	(0.0661)	(3.607)	(3.405)		(1.331)	(1.401)	(1.383)	(10.51)	(11.28)	(10.48)	(6.420)	(6.443)	(6.251)		(0.718)	(0.741)		(0.604)	(0.615)		(0.108)	(0.107)
_dob_m3	2.416	2.211	-1.165	1.243**	1.191**	1.376**	5.010	4.904	5.966	2.442	1.863	2.482	0.235	0.336	0.350	-0.382	-0.330	-0.320	-0.0443	-0.0403	-0.0304	0.346	0.0475	0.367	0.0222	0.0524	-0.0291	-2.175	-1.066	-1.280	-1.327	-1.219	-2.099	-0.610	-0.610	-0.668	-0.329	-0.334	-0.377	0.0607	0.0619	0.0582	-3.156	-4.308	-6.685**	-2.089*	-2.195*	-2.180*	-21.90**	-23.84**	-21.14**	0.336	-0.284	-0.598	0.394	-0.0654	0.0801	0.774	-0.0563	-0.0681	0.0734	0.192	0.180
	(1.531)	(1.508)	(2.174)	(0.569)	(0.570)	(0.566)	(4.557)	(4.495)	(4.186)	(3.293)	(3.279)	(3.228)	(0.407)	(0.410)	(0.403)	(0.359)	(0.360)	(0.361)	(0.0649)	(0.0648)	(0.0652)	(2.513)	(2.509)	(2.494)	(0.489)	(0.487)	(0.495)	(4.878)	(4.827)	(4.596)	(2.399)	(2.415)	(2.432)	(0.459)	(0.458)	(0.454)	(0.394)	(0.395)	(0.394)	(0.0619)	(0.0610)	(0.0630)	(4.274)	(4.152)	(2.665)	(1.264)	(1.323)	(1.279)	(10.88)	(11.56)	(10.69)	(6.447)	(6.264)	(6.127)	(0.561)	(0.692)	(0.708)	(0.490)	(0.628)	(0.641)	(0.0881)	(0.117)	(0.117)
_dob_m4	2.536*	2.459*	-0.953	0.606	0.570	0.713	2.129	2.226	2.400	3.208	2.825	3.598	0.330	0.387	0.343	0.0720	0.0861	0.0912	-0.0511	-0.0495	-0.0460	1.667	1.357	1.486	-0.709	-0.740	-0.843*	1.036	1.478	0.822	-2.374	-2.417	-2.898	-0.497	-0.465	-0.543	-0.307	-0.290	-0.361	0.0243	0.0279	0.0269	-0.527	-1.688	-4.823**	-0.319	-0.489	-0.522	-3.126	-6.205	-3.683	1.486	0.182	0.137	-0.0734	-0.517	-0.296	0.190	-0.593	-0.642	-0.0580	0.0629	0.0530
	(1.458)	(1.438)	(2.150)	(0.546)	(0.546)	(0.543)	(4.147)	(4.146)	(3.976)	(3.308)	(3.288)	(3.265)	(0.410)	(0.412)	(0.404)	(0.363)	(0.363)	(0.362)	(0.0649)	(0.0647)	(0.0640)	(2.387)	(2.383)	(2.404)	(0.485)	(0.494)	(0.495)	(5.031)	(5.017)	(4.877)	(2.386)	(2.378)	(2.380)	(0.451)	(0.453)	(0.451)	(0.383)	(0.385)	(0.383)	(0.0593)	(0.0597)	(0.0596)	(3.637)	(3.442)	(2.198)	(1.100)	(1.150)	(1.105)	(10.08)	(10.83)	(10.10)	(5.749)	(5.688)	(5.584)	(0.540)	(0.678)	(0.705)	(0.446)	(0.553)	(0.568)	(0.0745)	(0.102)	(0.100)
_dob_m5	4.100***	3.970***	0.315	0.672	0.635	0.713	-0.544	-0.161	-0.501	4.551	4.169	4.588	0.115	0.157	0.168	-0.0833	-0.0626	-0.0361	-0.0114	-0.00836	-0.00589	1.375	0.992	0.957	-0.182	-0.169	-0.308	-9.193*	-8.610*	-10.63**	-1.822	-1.810	-2.377	-0.556	-0.554	-0.599	-0.196	-0.189	-0.242	0.0464	0.0494	0.0407	-1.630	-2.907	-5.814***	-1.239	-1.401	-1.508	-13.91	-15.63	-15.06	0.850	-0.427	-0.891	0.188	-0.230	-0.0689	0.0587	-0.760	-0.782	0.0421	0.169	0.163
	(1.461)	(1.447)	(2.072)	(0.528)	(0.528)	(0.527)	(4.420)	(4.397)	(4.214)	(3.230)	(3.227)	(3.189)	(0.406)	(0.408)	(0.402)	(0.352)	(0.352)	(0.355)	(0.0642)	(0.0640)	(0.0638)	(2.374)	(2.370)	(2.373)	(0.468)	(0.473)	(0.487)	(4.851)	(4.777)	(4.711)	(2.530)	(2.557)	(2.625)	(0.448)	(0.448)	(0.443)	(0.389)	(0.388)	(0.384)	(0.0613)	(0.0612)	(0.0608)	(3.620)	(3.261)	(2.176)	(1.160)	(1.210)	(1.155)	(10.47)	(10.95)	(10.40)	(5.708)	(5.673)	(5.518)	(0.563)	(0.672)	(0.687)	(0.428)	(0.537)	(0.550)	(0.0881)	(0.109)	(0.107)
_dob_m6	0.294	0.0422	-3.523*	0.512	0.452	0.512	-4.645	-4.687	-5.023	2.413	1.924	2.328	0.209	0.272	0.226	-0.146	-0.108	-0.100	-0.0388	-0.0315	-0.0314	-0.833	-1.276	-1.302	-0.382	-0.360	-0.532	-3.382	-3.190	-4.889	-4.042*	-3.938*	-4.593*	-0.579	-0.571	-0.623	-0.263	-0.260	-0.305	0.0876	0.0946	0.0913	-2.939	-3.997	-6.726***	-1.041	-1.260	-1.379	-15.29	-17.61	-17.09	-1.969	-3.233	-3.585	0.498	0.118	0.189	0.0830	-0.675	-0.712	0.0248	0.141	0.135
	(1.492)	(1.475)	(2.110)	(0.532)	(0.533)	(0.537)	(4.517)	(4.452)	(4.220)	(3.192)	(3.180)	(3.170)	(0.401)	(0.406)	(0.399)	(0.351)	(0.355)	(0.356)	(0.0633)	(0.0635)	(0.0625)	(2.391)	(2.373)	(2.368)	(0.465)	(0.463)	(0.475)	(5.099)	(5.093)	(4.800)	(2.343)	(2.331)	(2.356)	(0.435)	(0.434)	(0.430)	(0.370)	(0.368)	(0.367)	(0.0642)	(0.0638)	(0.0631)	(3.856)	(3.535)	(2.400)	(1.170)	(1.224)	(1.181)	(10.58)	(11.37)	(10.50)	(6.149)	(6.025)	(5.727)	(0.582)	(0.671)	(0.671)	(0.428)	(0.546)	(0.560)	(0.0855)	(0.100)	(0.0960)
_dob_m7	0.289	0.310	-3.236	0.0689	0.0261	0.147	-7.330	-7.219	-7.338*	-0.458	-0.929	-0.335	0.115	0.153	0.110	-0.219	-0.203	-0.211	-0.0471	-0.0450	-0.0415	-0.421	-0.784	-0.650	-0.603	-0.599	-0.820*	-8.695	-8.677*	-10.47**	-7.210**	-7.232***	-8.421***	-0.512	-0.514	-0.515	-0.463	-0.463	-0.476	0.0289	0.0356	0.0337	-2.616	-3.795	-6.938***	-1.379	-1.498	-1.539	-15.46	-18.58	-17.57	-2.750	-3.677	-4.356	0.0956	-0.327	-0.296	0.275	-0.490	-0.520	-0.0180	0.0993	0.0824
	(1.637)	(1.575)	(2.202)	(0.529)	(0.527)	(0.519)	(4.804)	(4.688)	(4.416)	(3.267)	(3.245)	(3.188)	(0.398)	(0.402)	(0.394)	(0.337)	(0.340)	(0.339)	(0.0624)	(0.0622)	(0.0617)	(2.619)	(2.601)	(2.599)	(0.460)	(0.463)	(0.476)	(5.336)	(5.240)	(5.002)	(2.829)	(2.800)	(2.784)	(0.444)	(0.443)	(0.441)	(0.380)	(0.379)	(0.382)	(0.0605)	(0.0602)	(0.0602)	(4.111)	(3.903)	(2.635)	(1.253)	(1.305)	(1.265)	(11.09)	(11.79)	(11.24)	(6.349)	(6.225)	(6.042)	(0.595)	(0.693)	(0.685)	(0.485)	(0.608)	(0.617)	(0.0812)	(0.103)	(0.0978)
_dob_m8	2.645*	2.431	-1.178	0.279	0.240	0.375	-3.667	-3.597	-3.654	2.644	2.094	2.896	0.420	0.462	0.433	-0.203	-0.188	-0.203	-0.0665	-0.0655	-0.0674	1.914	1.694	1.161	0.0996	0.0654	-0.146	-6.357	-5.682	-7.827	-5.091*	-5.094*	-6.080**	-0.417	-0.386	-0.398	-0.231	-0.222	-0.289	0.0294	0.0310	0.0208	1.010	-0.519	-3.826	-0.612	-0.673	-0.817	-0.707	-1.417	-1.630	-4.975	-5.408	-6.096	1.028*	0.615	0.775	0.319	-0.524	-0.520	-0.0854	0.0523	0.0365
	(1.605)	(1.578)	(2.112)	(0.539)	(0.538)	(0.527)	(4.702)	(4.652)	(4.395)	(3.147)	(3.149)	(3.105)	(0.405)	(0.409)	(0.396)	(0.349)	(0.350)	(0.346)	(0.0651)	(0.0650)	(0.0623)	(2.504)	(2.518)	(2.553)	(0.508)	(0.515)	(0.519)	(5.116)	(5.096)	(4.777)	(2.722)	(2.743)	(2.698)	(0.468)	(0.468)	(0.465)	(0.392)	(0.394)	(0.397)	(0.0612)	(0.0610)	(0.0610)	(3.609)	(3.264)	(2.552)	(1.119)	(1.151)	(1.098)	(10.58)	(10.98)	(10.36)	(5.617)	(5.662)	(5.352)	(0.610)	(0.691)	(0.703)	(0.507)	(0.525)	(0.543)	(0.0800)	(0.0896)	(0.0911)
_dob_m9	2.498	2.348	-1.478	0.673*	0.662*	0.630*	-3.090	-2.254	-3.454	3.047	2.729	2.595	0.201	0.230	0.272	0.0257	0.0420	0.0740	-0.0263	-0.0239	-0.0160	-0.789	-0.935	-1.336	-0.380	-0.264	-0.554	-7.166	-6.646	-9.651	0.458	0.877	-0.666	0.00868	-0.0261	2.62e-05	0.231	0.192	0.141	0.0156	0.0218	0.0202		-0.238	-3.016										0.597	0.238	0.405	0.667	-0.146	-0.184	-0.193**	-0.0554	-0.0559
	(2.222)	(2.210)	(1.213)	(0.368)	(0.372)	(0.368)	(5.320)	(5.331)	(5.249)	(2.191)	(2.212)	(2.162)	(0.258)	(0.256)	(0.252)	(0.225)	(0.222)	(0.220)	(0.0443)	(0.0439)	(0.0433)	(1.475)	(1.489)	(1.467)	(0.587)	(0.581)	(0.587)	(6.137)	(6.158)	(6.101)	(3.529)	(3.527)	(3.558)	(0.311)	(0.304)	(0.304)	(0.257)	(0.254)	(0.257)	(0.0533)	(0.0523)	(0.0523)		(2.749)	(3.537)										(0.736)	(0.529)	(0.517)	(0.658)	(0.429)	(0.430)	(0.0970)	(0.0837)	(0.0786)
_dob_m10	1.656	1.828	-1.907*	0.282	0.286	0.301	-1.840	-0.708	-1.128	0.627	0.545	0.675	-0.0283	-0.00915	0.0536	-0.128	-0.124	-0.0867	-0.0214	-0.0236	-0.0178	-1.146	-1.136	-1.289	-0.813	-0.781	-1.066*	-14.82**	-13.55**	-16.62***	-5.758	-5.596	-6.917*	-0.306	-0.307	-0.277	-0.243	-0.237	-0.239	-0.0305	-0.0282	-0.0295	-2.772	-3.748	-7.091**	-0.675	-0.724	-0.791	-14.43	-14.15	-16.90**	1.255	0.687	0.694	0.159	-0.225	-0.100	0.417	-0.433	-0.403	-0.0224	0.117	0.115
	(2.102)	(2.090)	(1.132)	(0.390)	(0.388)	(0.364)	(5.546)	(5.502)	(5.270)	(2.395)	(2.363)	(2.216)	(0.259)	(0.257)	(0.256)	(0.222)	(0.220)	(0.225)	(0.0451)	(0.0451)	(0.0448)	(1.582)	(1.574)	(1.524)	(0.631)	(0.635)	(0.632)	(6.508)	(6.537)	(6.344)	(3.736)	(3.755)	(3.785)	(0.305)	(0.305)	(0.300)	(0.236)	(0.236)	(0.239)	(0.0479)	(0.0478)	(0.0469)	(2.959)	(2.772)	(3.269)	(0.871)	(0.919)	(0.858)	(9.069)	(9.436)	(8.479)	(4.822)	(4.815)	(4.636)	(0.723)	(0.464)	(0.460)	(0.587)	(0.362)	(0.354)	(0.0992)	(0.0903)	(0.0845)
_dob_m11	2.075	2.126	-1.776	-0.538	-0.544	-0.671*	-8.052	-6.984	-8.900	-1.151	-1.339	-1.958	0.112	0.108	0.112	0.263	0.268	0.269	-0.0248	-0.0253	-0.0242	0.502	0.678	0.340	-0.707	-0.643	-0.917	-11.96*	-10.99*	-13.88**	-6.859	-6.430	-7.831*	-0.174	-0.194	-0.175	0.0603	0.0433	0.0453	0.0544	0.0579	0.0547	0.409		-2.780	-0.508	-0.647	-0.512	-5.211	-7.461	-6.701	-1.432	-2.521	-0.860	0.380			0.752			-0.117		
	(2.183)	(2.162)	(1.133)	(0.349)	(0.350)	(0.353)	(6.309)	(6.196)	(6.271)	(2.199)	(2.193)	(2.153)	(0.258)	(0.253)	(0.251)	(0.225)	(0.221)	(0.226)	(0.0430)	(0.0427)	(0.0434)	(1.431)	(1.411)	(1.341)	(0.621)	(0.624)	(0.630)	(6.555)	(6.563)	(6.368)	(4.180)	(4.156)	(4.177)	(0.298)	(0.297)	(0.296)	(0.244)	(0.241)	(0.243)	(0.0588)	(0.0588)	(0.0577)	(2.844)		(3.457)	(0.816)	(0.833)	(0.793)	(9.009)	(9.485)	(8.265)	(4.430)	(4.478)	(4.533)	(0.736)			(0.614)			(0.111)		
_dob_y2	2.026	2.299	1.797	3.400***	3.318***	3.819***	11.67	8.557	12.20	-2.745	-2.236	-3.316	0.544	0.696	0.672	-0.430	-0.369	-0.356	0.0264	0.0168	0.0344	0.401	0.807	0.375	0.303	0.253	0.583	-5.391	-6.253	-1.123	6.365	6.016	6.471	0.404	0.393	0.446	0.401	0.391	0.423	-0.0759*	-0.0805*	-0.0751	-5.341	-5.501	0.314	2.628	2.890	2.588	21.57	21.60	16.13	-3.616	-3.561	-2.822	0.161	0.292	0.140	0.789	0.815	0.792	-0.104	-0.0977	-0.0924
	(2.004)	(1.993)	(2.012)	(1.237)	(1.213)	(1.158)	(12.93)	(12.68)	(11.83)	(2.838)	(2.830)	(2.811)	(0.721)	(0.732)	(0.730)	(0.854)	(0.778)	(0.811)	(0.121)	(0.122)	(0.128)	(2.134)	(2.130)	(2.113)	(0.883)	(0.911)	(0.875)	(16.62)	(16.61)	(14.97)	(4.630)	(4.694)	(4.511)	(0.370)	(0.370)	(0.364)	(0.320)	(0.318)	(0.317)	(0.0458)	(0.0464)	(0.0458)	(3.502)	(3.666)	(2.860)	(2.118)	(2.168)	(2.349)	(22.90)	(22.45)	(22.56)	(5.011)	(5.142)	(4.985)	(0.601)	(0.601)	(0.609)	(0.498)	(0.499)	(0.512)	(0.0778)	(0.0812)	(0.0798)
_dob_y3	8.638*	9.822**	8.140*							-15.05***	-12.52**	-14.71***										13.18**	13.85***	11.97***										0.888	0.872	0.931	0.711	0.725	0.820	0.122	0.118	0.0931			6.101							-19.66**	-21.11**	-20.58**	2.966***	3.392***	3.371***	4.561***	4.806***	4.999***	-0.194	-0.191	-0.191
	(4.520)	(4.383)	(4.250)							(5.208)	(5.217)	(5.307)										(5.466)	(5.130)	(4.314)										(0.927)	(0.911)	(0.876)	(0.857)	(0.842)	(0.894)	(0.212)	(0.206)	(0.216)			(4.745)							(8.374)	(8.868)	(9.266)	(1.087)	(1.050)	(1.153)	(0.824)	(0.835)	(0.865)	(0.140)	(0.145)	(0.150)
_eth1	-19.45***	-15.35***	-15.62***	-3.483***	-3.414**	-2.843*	4.489	12.80	13.72	-14.43*	-15.39	-15.66	-2.952***	-3.117***	-2.820***	-1.717***	-1.279	-1.040	0.245***	0.157	0.241	0.810	-0.418	-0.787	3.156	-0.116	0.396	24.09**	15.64	21.95	-7.575	-16.87	-16.34	-0.424	0.368	0.705	-0.349	-0.0359	0.0245	0.143*	-0.0883	-0.108	8.470***		-2.638	4.712***	2.195	1.951	10.48	74.29*	41.86	32.37***			-1.959**			-1.749**			0.364**		
	(2.200)	(4.474)	(4.783)	(0.654)	(1.450)	(1.462)	(11.85)	(16.27)	(14.51)	(7.943)	(11.48)	(12.58)	(0.410)	(0.918)	(1.063)	(0.365)	(0.779)	(0.951)	(0.0787)	(0.100)	(0.151)	(7.789)	(7.893)	(7.788)	(2.100)	(2.255)	(2.283)	(11.53)	(14.94)	(15.87)	(14.46)	(15.02)	(14.64)	(1.450)	(1.893)	(1.868)	(1.206)	(1.462)	(1.424)	(0.0735)	(0.0981)	(0.108)	(2.742)		(11.61)	(1.752)	(3.989)	(3.680)	(14.31)	(41.06)	(38.67)	(8.026)			(0.860)			(0.886)			(0.155)		
_eth2	-18.78***	-20.05***	-21.40***	-2.792***	-2.976***	-2.864***	7.983	4.563	-2.133	-13.11*	-15.36*	-18.75*	-2.847***	-2.459***	-2.135***	-1.784***	-1.508***	-1.169**	0.199**	0.217***	0.325**	0.453	-1.893	-4.041	3.838*	3.468*	3.267*	25.31**	23.51**	20.32*	-0.713	-3.079	-5.533	-0.259	-0.170	0.0678	-0.375	-0.303	-0.209	0.0795	0.0481	0.0265	6.827***	0.653	-0.382	5.021***	3.963**	2.146	8.601	14.43	-1.896	33.91***	1.240	-5.867	-2.213***	-9.006***	-8.764***	-1.833**	-5.094**	-5.505***	0.288*	-0.369	-0.525
	(1.910)	(2.090)	(3.188)	(0.555)	(0.561)	(0.716)	(11.54)	(10.84)	(10.51)	(7.716)	(8.031)	(10.04)	(0.364)	(0.409)	(0.606)	(0.343)	(0.362)	(0.563)	(0.0772)	(0.0809)	(0.131)	(7.648)	(7.470)	(7.219)	(2.025)	(1.965)	(1.844)	(10.39)	(9.394)	(10.49)	(14.08)	(12.27)	(11.72)	(1.421)	(1.405)	(1.302)	(1.187)	(1.110)	(1.007)	(0.0493)	(0.0633)	(0.0569)	(2.060)	(12.36)	(5.655)	(1.732)	(2.022)	(2.390)	(13.31)	(18.09)	(18.08)	(8.025)	(19.99)	(20.98)	(0.776)	(2.440)	(2.459)	(0.914)	(2.152)	(2.135)	(0.149)	(0.424)	(0.420)
_eth3	-14.95***	-16.60***	-16.46***	-2.259**	-2.466**	-1.955*	-0.805	-4.080	-6.267	-16.50*	-18.92**	-20.20*	-1.625**	-1.162*	-0.800	-1.196	-0.834	-0.418	0.303**	0.328**	0.457**	-0.965	-2.941	-2.510	3.892*	3.599*	3.542*	26.48*	25.70*	26.40*	-7.280	-9.313	-9.352	-0.161	-0.0932	-0.0121	-0.235	-0.163	-0.316	0.0405	0.00935	0.0189	12.09**	6.309	8.351	4.915**	3.916	2.515	28.58	33.27	32.28	22.86***	-9.251	-14.73	-0.474	-7.322***	-7.180***	-1.302**	-4.533**	-5.219**	-0.0391	-0.711	-0.840*
	(4.052)	(4.059)	(4.910)	(0.992)	(0.960)	(1.171)	(14.08)	(13.35)	(14.25)	(8.937)	(8.980)	(11.20)	(0.641)	(0.686)	(0.874)	(0.756)	(0.780)	(0.953)	(0.142)	(0.143)	(0.183)	(8.214)	(8.077)	(7.950)	(2.125)	(2.080)	(1.956)	(14.85)	(14.40)	(14.39)	(15.31)	(13.65)	(12.95)	(1.493)	(1.486)	(1.399)	(1.230)	(1.156)	(1.057)	(0.0569)	(0.0688)	(0.0705)	(5.974)	(12.55)	(5.667)	(2.238)	(2.488)	(2.477)	(22.67)	(26.39)	(25.09)	(8.864)	(20.80)	(22.10)	(0.790)	(2.458)	(2.499)	(0.575)	(2.142)	(2.115)	(0.139)	(0.434)	(0.431)
_eth4	-9.983***	-11.16***	-12.70***	-2.297***	-2.469***	-2.411***	18.17	16.27	10.55	-18.15**	-20.00**	-23.91**	-2.087***	-1.774***	-1.371**	-0.992**	-0.686	-0.334	0.274**	0.302***	0.404**	7.047	4.769	3.316	3.688*	3.334	3.205	31.93**	30.41***	30.87**	-3.591	-5.892	-6.790	0.986	1.087	1.134	0.816	0.950	0.919	0.0974	0.0735	0.0762		-5.846	-1.984	3.440*	2.387	2.414	11.53	18.79	17.77	17.18*	-13.99	-16.89	-0.312	-7.079**	-6.804**	-1.094	-4.345*	-4.994**	0.493	-0.169	-0.271
	(2.493)	(2.652)	(3.560)	(0.745)	(0.752)	(0.909)	(13.05)	(12.53)	(12.35)	(8.201)	(8.552)	(10.52)	(0.477)	(0.515)	(0.698)	(0.477)	(0.487)	(0.675)	(0.110)	(0.115)	(0.157)	(8.040)	(7.862)	(7.565)	(2.113)	(2.052)	(1.974)	(12.43)	(11.55)	(12.39)	(14.98)	(13.29)	(12.63)	(1.475)	(1.455)	(1.371)	(1.273)	(1.195)	(1.118)	(0.101)	(0.108)	(0.104)		(12.40)	(5.732)	(1.764)	(2.084)	(2.358)	(13.44)	(18.61)	(18.45)	(9.973)	(21.26)	(22.29)	(1.511)	(2.865)	(2.904)	(1.138)	(2.362)	(2.339)	(0.335)	(0.569)	(0.555)
_eth5	-22.68***	-23.68***	-23.65***	-5.135***	-5.315***	-4.757***	2.908	0.538	1.132	-24.31***	-26.18***	-25.84**	-2.472***	-2.200***	-1.768***	-1.572***	-1.303***	-0.895	0.206**	0.229**	0.326**	-2.064	-3.474	-2.591	2.287	2.066	2.290	31.79***	31.34***	34.86***	-10.37	-11.66	-10.54	0.147	0.201	0.387	0.133	0.200	0.0701	0.0699	0.0453	0.0564	4.881*	-0.459	1.092	4.257**	3.105	1.945	11.45	17.00	9.188	25.64***	-6.714	-11.17	-1.960**	-8.541***	-8.401***	-1.299	-4.326**	-4.918**	0.294*	-0.382	-0.513
	(2.028)	(2.153)	(3.123)	(0.718)	(0.716)	(0.842)	(12.55)	(11.91)	(11.90)	(7.899)	(8.225)	(10.07)	(0.443)	(0.486)	(0.657)	(0.416)	(0.440)	(0.624)	(0.0952)	(0.0990)	(0.147)	(7.695)	(7.496)	(7.274)	(2.062)	(1.997)	(1.884)	(10.73)	(9.745)	(10.80)	(14.09)	(12.29)	(11.81)	(1.433)	(1.412)	(1.318)	(1.194)	(1.111)	(1.015)	(0.0488)	(0.0627)	(0.0612)	(2.596)	(12.07)	(5.897)	(1.742)	(1.971)	(2.404)	(13.44)	(17.31)	(17.59)	(8.105)	(19.71)	(20.97)	(0.799)	(2.396)	(2.429)	(0.939)	(2.120)	(2.116)	(0.152)	(0.415)	(0.411)
_eth6	-23.11***	-23.66***	-24.18***	-3.823***	-3.941***	-3.691***	8.074	7.850	3.653	-8.205	-9.129	-11.02	-2.336***	-2.122***	-1.753**	-2.147***	-1.882***	-1.464**	0.110	0.137*	0.241*	-3.869	-4.614	-4.499	2.993	2.814	3.064	48.35***	47.99***	49.62***	-0.679	-2.072	-1.517	0.280	0.329	0.539	-0.141	-0.0280	-0.0883	0.0167	0.0117	-0.000347	3.521	-1.318	0.533	3.443**	2.614	1.784	34.36**	41.80**	37.84**	31.67***	1.873	-3.061	-1.464*	-8.145***	-7.632***	-1.667**	-4.701**	-5.159**	0.241	-0.450	-0.592
	(3.255)	(3.356)	(4.051)	(0.674)	(0.686)	(0.845)	(14.39)	(14.01)	(13.51)	(8.645)	(8.854)	(10.37)	(0.473)	(0.509)	(0.683)	(0.576)	(0.580)	(0.715)	(0.0730)	(0.0775)	(0.129)	(7.937)	(7.719)	(7.439)	(2.131)	(2.059)	(1.947)	(12.71)	(11.51)	(12.36)	(14.38)	(12.67)	(12.14)	(1.484)	(1.455)	(1.362)	(1.295)	(1.217)	(1.125)	(0.0588)	(0.0702)	(0.0708)	(3.020)	(12.29)	(5.551)	(1.587)	(1.798)	(2.065)	(15.93)	(18.15)	(17.87)	(6.878)	(19.91)	(21.11)	(0.771)	(2.438)	(2.474)	(0.794)	(2.135)	(2.113)	(0.147)	(0.429)	(0.431)
_eth7	-20.89***	-21.52***	-21.32***	-3.431***	-3.593***	-2.883***	14.42	12.82	13.07	-13.29	-14.22	-13.35	-2.033**	-1.776**	-1.148	-1.979***	-1.720**	-1.214	0.290	0.321	0.436*	-6.250	-7.579	-7.054	4.449**	4.354**	4.855**	31.70**	34.07***	37.97***	-2.909	-3.185	0.406	0.410	0.471	0.589	-0.368	-0.300	-0.390	0.0364	0.0104	0.0357	3.505	-1.728	-0.995	6.533***	5.467**	5.330**	30.28	36.86	35.91	39.35***	7.628	5.183	-1.261	-7.913***	-7.817***	-1.814	-4.851**	-5.633**	0.179	-0.501	-0.661
	(3.033)	(3.153)	(3.775)	(0.987)	(1.008)	(1.070)	(13.02)	(12.70)	(12.27)	(8.685)	(8.986)	(10.80)	(0.792)	(0.802)	(0.960)	(0.758)	(0.740)	(0.854)	(0.226)	(0.221)	(0.240)	(7.903)	(7.714)	(7.371)	(2.238)	(2.187)	(2.036)	(13.58)	(12.57)	(13.07)	(14.86)	(13.26)	(12.70)	(1.557)	(1.544)	(1.427)	(1.311)	(1.235)	(1.145)	(0.0499)	(0.0640)	(0.0600)	(3.622)	(12.80)	(6.383)	(2.266)	(2.471)	(2.515)	(22.07)	(24.26)	(24.13)	(7.967)	(20.25)	(21.16)	(1.255)	(2.640)	(2.618)	(1.164)	(2.274)	(2.246)	(0.152)	(0.432)	(0.424)
