			(0.722)			(0.228)			(2.212)			(1.835)			(0.161)			(0.144)			(0.0273)			(0.936)			(0.255)			(2.736)			(1.799)			(0.202)			(0.175)			(0.0336)			(1.137)			(0.364)			(4.002)			(2.355)			(0.260)			(0.199)			(0.0373)
_inc4			-0.423			-0.218			-2.209			-0.301			0.122			0.0276			-0.0115			-2.135***			-0.369*			-3.426*			-1.235			0.214			0.164			-0.0330			-0.678			0.00316			-1.171			0.424			0.141			0.213			-0.00887
			(0.563)			(0.145)			(1.515)			(0.983)			(0.120)			(0.103)			(0.0179)			(0.685)			(0.189)			(1.995)			(1.137)			(0.146)			(0.118)			(0.0222)			(1.171)			(0.382)			(4.049)			(1.957)			(0.266)			(0.201)			(0.0412)
_inc6			1.418***			0.324**			2.179			0.429			-0.169			-0.154			0.0189			0.633			0.676***			5.943***			1.676			-0.126			0.0161			-0.00598			2.354*			0.904**			8.267*			2.606			-0.0793			0.189			-0.0115
			(0.460)			(0.137)			(1.423)			(0.919)			(0.114)			(0.0958)			(0.0172)			(0.640)			(0.182)			(1.976)			(1.215)			(0.154)			(0.125)			(0.0247)			(1.375)			(0.426)			(4.458)			(2.393)			(0.315)			(0.240)			(0.0524)
Constant	171.6***	169.4***	162.8***	32.95**	32.50**	31.74**	263.6*	249.9	208.8	199.7**	196.7**	188.6**	1.559	2.327	1.642	-6.549	-6.845	-5.982	2.390	2.445	2.294	217.0***	218.2***	216.2***	16.18	17.48	14.51	260.4	276.3	253.4	-41.35	-39.90	-49.34	33.60**	32.37**	32.71**	-5.600	-6.995	-6.309	2.406	2.446	2.701	70.79***	74.16***	90.81***	2.564	1.656	5.853	515.8	562.2	659.6	105.0**	96.89*	129.5***	0.633	-0.580	0.208	2.929	2.530	1.870	0.303	0.272	0.396
	(59.81)	(57.12)	(55.09)	(13.27)	(13.24)	(13.05)	(154.7)	(152.9)	(154.7)	(82.01)	(82.91)	(84.73)	(9.910)	(9.863)	(9.900)	(8.944)	(8.961)	(8.987)	(1.526)	(1.500)	(1.494)	(79.23)	(76.17)	(72.27)	(22.49)	(22.37)	(21.32)	(224.1)	(221.2)	(214.6)	(123.3)	(124.2)	(122.8)	(15.17)	(15.19)	(14.93)	(13.69)	(13.72)	(13.45)	(2.500)	(2.478)	(2.432)	(15.27)	(16.31)	(14.64)	(3.837)	(4.415)	(4.152)	(444.7)	(441.7)	(436.1)	(43.06)	(50.55)	(44.61)	(2.277)	(2.806)	(2.820)	(2.642)	(2.852)	(2.724)	(0.224)	(0.300)	(0.284)
																																																															
Observations	4,579	4,579	4,579	4,247	4,247	4,247	4,190	4,190	4,190	4,233	4,233	4,233	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	3,437	3,437	3,437	3,157	3,157	3,157	3,110	3,110	3,110	3,141	3,141	3,141	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	1,581	1,581	1,581	1,407	1,407	1,407	1,390	1,390	1,390	1,401	1,401	1,401	1,442	1,442	1,442	1,442	1,442	1,442	1,442	1,442	1,442
R-squared	0.098	0.108	0.143	0.084	0.088	0.132	0.122	0.128	0.174	0.020	0.021	0.053	0.014	0.016	0.018					0.001	0.004	0.103	0.111	0.159	0.042	0.041	0.099	0.150	0.161	0.205	0.063	0.076	0.102	0.007	0.005	0.003	0.029	0.028	0.030	0.021	0.021	0.026	0.080	0.092	0.136	0.096	0.108	0.147	0.050	0.062	0.098	0.034	0.045	0.095					0.011	0.025	0.044	0.048	0.044
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
