	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
_mother_edu7			-6.383***	-6.383***			-0.970*	-0.970*			-9.021	-9.021			-11.36***	-11.36***			-6.958***	-7.030***			-1.862***	-1.871***			-14.74***	-13.92**			-12.67***	-12.93***
			(2.218)	(2.218)			(0.501)	(0.501)			(5.687)	(5.687)			(2.967)	(2.967)			(2.078)	(2.090)			(0.489)	(0.495)			(5.592)	(5.620)			(3.069)	(3.056)
height		-0.550	-1.359	-1.359		0.855	0.575	0.575		1.295	-0.884	-0.884		2.150	-0.279	-0.279		-0.385	-1.654	-1.605		-0.126	-0.321	-0.316		-4.777	-5.769	-6.238		12.24	10.14	10.28
		(3.540)	(3.475)	(3.475)		(1.169)	(1.138)	(1.138)		(9.464)	(9.301)	(9.301)		(7.039)	(6.533)	(6.533)		(4.067)	(4.013)	(4.012)		(1.406)	(1.383)	(1.385)		(12.21)	(12.11)	(12.05)		(7.801)	(7.302)	(7.292)
miss_height		-7.418	-7.577	-7.577		-0.203	-0.106	-0.106		-18.31	-17.12	-17.12		-6.854	-6.975	-6.975		-4.286	-5.545	-5.471		-0.239	-0.335	-0.330		-11.85	-11.63	-12.19		18.07	16.54	16.71
		(6.336)	(6.186)	(6.186)		(2.004)	(1.974)	(1.974)		(16.81)	(16.71)	(16.71)		(12.52)	(11.86)	(11.86)		(7.109)	(7.008)	(6.999)		(2.391)	(2.342)	(2.345)		(20.81)	(20.61)	(20.52)		(13.30)	(12.45)	(12.43)
Constant	60.44	60.03	59.94	59.94	27.18	25.44	27.40	27.40	345.2	337.1	341.8	341.8	305.8	299.7	300.6	300.6	188.4	194.7*	192.0	194.9*	58.33	58.57	52.87	53.56	656.4*	667.0*	617.1*	617.0*	38.53	14.11	27.18	11.50
	(85.45)	(85.12)	(85.68)	(85.68)	(24.11)	(23.94)	(23.44)	(23.44)	(229.4)	(230.3)	(230.4)	(230.4)	(218.1)	(218.9)	(212.9)	(212.9)	(117.1)	(116.7)	(117.4)	(117.6)	(36.44)	(36.59)	(37.13)	(37.12)	(337.7)	(340.2)	(345.2)	(348.1)	(251.7)	(251.1)	(237.1)	(209.5)
																																
Observations	1,796	1,796	1,796	1,796	1,686	1,686	1,686	1,686	1,664	1,664	1,664	1,664	1,680	1,680	1,680	1,680	1,365	1,365	1,365	1,365	1,268	1,268	1,268	1,268	1,251	1,251	1,251	1,251	1,263	1,263	1,263	1,263
R-squared	0.110	0.116	0.136	0.136	0.090	0.096	0.128	0.128	0.119	0.128	0.155	0.155	0.090	0.095	0.127	0.127	0.133	0.137	0.161	0.161	0.118	0.118	0.147	0.147	0.169	0.170	0.189	0.193	0.109	0.113	0.143	0.144
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
