	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(1.009)	(1.009)			(0.289)	(0.289)			(2.643)	(2.643)			(1.624)	(1.624)			(0.268)	(0.268)			(0.227)	(0.227)			(0.0460)	(0.0460)			(1.263)	(1.272)			(0.340)	(0.340)			(3.958)	(3.973)			(2.251)	(2.251)			(0.324)	(0.319)			(0.269)	(0.265)			(0.0485)	(0.0486)
_mother_edu4			-4.626***	-4.626***			-0.868***	-0.868***			-7.527***	-7.527***			-3.970**	-3.970**			0.112	0.112			-0.0875	-0.0875			-0.0978**	-0.0978**			-3.823***	-3.873***			-1.471***	-1.479***			-10.83***	-10.73**			-4.819**	-4.891**			0.326	0.364			0.162	0.192			-0.0145	-0.0181
			(1.084)	(1.084)			(0.300)	(0.300)			(2.754)	(2.754)			(1.712)	(1.712)			(0.280)	(0.280)			(0.236)	(0.236)			(0.0469)	(0.0469)			(1.349)	(1.357)			(0.344)	(0.345)			(4.171)	(4.193)			(2.393)	(2.394)			(0.337)	(0.333)			(0.283)	(0.278)			(0.0520)	(0.0521)
_mother_edu5			-2.852***	-2.852***			-0.629**	-0.629**			-3.257	-3.257			-2.216	-2.216			0.208	0.208			-0.121	-0.121			-0.0498	-0.0498			-3.147***	-3.192***			-0.804***	-0.811***			-5.695	-5.612			-2.728	-2.788			-0.00681	0.0265			0.0588	0.0850			0.00713	0.00400
			(0.960)	(0.960)			(0.269)	(0.269)			(2.476)	(2.476)			(1.530)	(1.530)			(0.259)	(0.259)			(0.218)	(0.218)			(0.0457)	(0.0457)			(1.174)	(1.182)			(0.304)	(0.304)			(3.702)	(3.720)			(2.106)	(2.104)			(0.312)	(0.307)			(0.259)	(0.255)			(0.0480)	(0.0483)
_mother_edu7			-8.223***	-8.223***			-0.706	-0.706			-6.362	-6.362			-10.09***	-10.09***			-0.717*	-0.717*			-0.478	-0.478			-0.0177	-0.0177			-7.172***	-7.272***			-1.585***	-1.596***			-10.52*	-10.37*			-11.59***	-11.70***			-0.277	-0.217			0.0846	0.131			0.0373	0.0317
			(2.194)	(2.194)			(0.495)	(0.495)			(5.318)	(5.318)			(2.497)	(2.497)			(0.384)	(0.384)			(0.397)	(0.397)			(0.0747)	(0.0747)			(1.989)	(1.990)			(0.492)	(0.497)			(5.807)	(5.829)			(2.761)	(2.755)			(0.420)	(0.418)			(0.370)	(0.366)			(0.0783)	(0.0785)
height		0.835	-0.401	-0.401		1.408	0.916	0.916		5.249	0.0966	0.0966		3.683	0.278	0.278		0.715	0.701	0.701		0.829	0.890	0.890		-0.0353	-0.0283	-0.0283		-0.0684	-1.456	-1.592		1.446	1.162	1.152		2.659	-0.294	-0.156		16.54**	14.28**	14.18**		0.195	0.281	0.337		0.0415	0.129	0.174		-0.0551	-0.0615	-0.0668
		(3.175)	(3.092)	(3.092)		(0.998)	(0.952)	(0.952)		(8.652)	(8.376)	(8.376)		(5.730)	(5.516)	(5.516)		(0.745)	(0.743)	(0.743)		(0.656)	(0.659)	(0.659)		(0.101)	(0.101)	(0.101)		(3.746)	(3.696)	(3.694)		(1.232)	(1.197)	(1.195)		(10.74)	(10.55)	(10.54)		(6.683)	(6.351)	(6.343)		(0.867)	(0.873)	(0.866)		(0.749)	(0.754)	(0.757)		(0.120)	(0.120)	(0.120)
miss_height		-5.050	-5.685	-5.685		0.268	0.0358	0.0358		-9.831	-12.57	-12.57		-4.739	-6.480	-6.480		0.690	0.690	0.690		1.311	1.351	1.351		-0.104	-0.104	-0.104		-4.277	-5.420	-5.723		1.937	1.745	1.719		-2.916	-5.224	-4.874		24.71**	23.19**	22.94**		-0.290	-0.130	0.00613		-0.0339	0.0877	0.195		-0.0962	-0.103	-0.116
		(5.698)	(5.501)	(5.501)		(1.736)	(1.653)	(1.653)		(15.43)	(15.20)	(15.20)		(10.23)	(9.835)	(9.835)		(1.306)	(1.299)	(1.299)		(1.161)	(1.161)	(1.161)		(0.170)	(0.169)	(0.169)		(6.637)	(6.506)	(6.494)		(2.092)	(2.024)	(2.018)		(18.80)	(18.36)	(18.32)		(11.38)	(10.78)	(10.76)		(1.466)	(1.475)	(1.465)		(1.301)	(1.306)	(1.309)		(0.210)	(0.211)	(0.210)
Constant	67.79	67.23	64.45	64.45	9.165	7.295	8.431	8.431	123.6	118.5	121.4	121.4	126.6	122.6	131.5	131.5	-4.697	-5.639	-5.480	-5.480	-0.750	-1.970	-2.257	-2.257	2.240	2.304	1.949	1.949	118.7	127.4	125.2	127.0	35.47	35.29	32.07	31.27	690.8**	705.7**	688.2**	689.0**	-43.57	-49.43	-71.72	-71.56	-12.95	-11.96	-11.37	-11.95	-22.11	-21.95	-22.43	-22.88	0.945	0.998	1.079	1.133
	(61.71)	(61.84)	(61.72)	(61.72)	(16.43)	(16.24)	(16.02)	(16.02)	(149.6)	(149.5)	(149.1)	(149.1)	(97.22)	(98.78)	(99.04)	(99.04)	(11.54)	(11.60)	(11.70)	(11.70)	(10.46)	(10.50)	(10.51)	(10.51)	(1.529)	(1.539)	(1.513)	(1.513)	(86.77)	(86.84)	(86.67)	(86.86)	(32.80)	(32.66)	(32.03)	(32.01)	(304.6)	(305.9)	(310.9)	(311.5)	(182.6)	(181.0)	(174.2)	(174.1)	(19.18)	(19.32)	(19.12)	(19.13)	(17.63)	(17.65)	(17.41)	(17.22)	(3.240)	(3.245)	(3.264)	(3.261)
																																																								
Observations	2,249	2,249	2,249	2,249	2,110	2,110	2,110	2,110	2,081	2,081	2,081	2,081	2,103	2,103	2,103	2,103	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	1,677	1,677	1,677	1,677	1,559	1,559	1,559	1,559	1,538	1,538	1,538	1,538	1,553	1,553	1,553	1,553	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579
R-squared	0.114	0.120	0.148	0.148	0.077	0.085	0.124	0.124	0.127	0.132	0.170	0.170	0.074	0.080	0.115	0.115	0.036	0.037	0.041	0.041	0.044	0.045	0.047	0.047	0.039	0.039	0.048	0.048	0.115	0.119	0.148	0.149	0.105	0.106	0.137	0.138	0.157	0.159	0.183	0.183	0.093	0.099	0.133	0.133	0.054	0.056	0.062	0.068	0.069	0.070	0.072	0.077	0.032	0.032	0.039	0.041
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
