	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
_mother_edu5			-2.573***	-2.573***			-0.615***	-0.615***			-5.745***	-5.745***			-4.193***	-4.193***			-1.976**	-1.920**			-0.615**	-0.618**			-4.430	-4.319			-2.797*	-2.844*
			(0.663)	(0.663)			(0.223)	(0.223)			(2.103)	(2.103)			(1.313)	(1.313)			(0.834)	(0.826)			(0.255)	(0.255)			(3.038)	(3.051)			(1.652)	(1.646)
_mother_edu7			-5.323***	-5.323***			-1.311***	-1.311***			-17.00***	-17.00***			-13.28***	-13.28***			-6.659***	-6.430***			-1.641***	-1.656***			-16.92***	-16.36***			-13.21***	-13.46***
			(1.562)	(1.562)			(0.385)	(0.385)			(4.782)	(4.782)			(2.447)	(2.447)			(1.454)	(1.477)			(0.428)	(0.429)			(4.350)	(4.374)			(2.488)	(2.482)
height		4.746	3.590	3.590		1.252	0.842	0.842		20.85**	16.27*	16.27*		11.78**	8.384*	8.384*		6.460**	3.466	3.468		1.104	0.329	0.323		16.63	10.40	10.66		16.82***	11.17**	11.06**
		(2.887)	(2.790)	(2.790)		(0.799)	(0.784)	(0.784)		(9.178)	(8.631)	(8.631)		(4.997)	(4.727)	(4.727)		(3.218)	(3.130)	(3.132)		(0.970)	(0.969)	(0.969)		(10.83)	(10.65)	(10.64)		(5.784)	(5.504)	(5.478)
miss_height		2.988	1.936	1.936		1.196	0.889	0.889		29.78*	26.18*	26.18*		12.33	9.684	9.684		5.784	2.295	2.426		1.080	0.142	0.121		24.33	16.60	17.45		23.73**	17.13*	16.78*
		(5.023)	(4.890)	(4.890)		(1.391)	(1.365)	(1.365)		(16.20)	(15.50)	(15.50)		(8.866)	(8.357)	(8.357)		(5.594)	(5.432)	(5.437)		(1.681)	(1.652)	(1.652)		(18.50)	(18.22)	(18.19)		(9.893)	(9.379)	(9.327)
Constant	200.0*	194.9*	177.8**	177.8**	55.27***	54.07***	53.64***	53.64***	894.8***	873.2***	868.6***	868.6***	375.7**	365.9**	373.8**	373.8**	275.7**	264.5**	265.6**	260.6**	47.18	45.36	42.65	42.83	696.1*	664.4*	631.3	623.7	143.3	111.5	113.8	114.6
	(107.0)	(105.4)	(72.15)	(72.15)	(17.28)	(17.23)	(16.98)	(16.98)	(335.5)	(327.4)	(313.7)	(313.7)	(151.4)	(150.2)	(145.1)	(145.1)	(113.6)	(109.4)	(108.9)	(109.7)	(30.60)	(30.72)	(30.35)	(30.38)	(396.4)	(385.6)	(391.2)	(392.6)	(182.3)	(179.4)	(170.5)	(170.2)
																																
Observations	3,664	3,664	3,664	3,664	3,394	3,394	3,394	3,394	3,352	3,352	3,352	3,352	3,384	3,384	3,384	3,384	2,793	2,793	2,793	2,793	2,561	2,561	2,561	2,561	2,524	2,524	2,524	2,524	2,550	2,550	2,550	2,550
R-squared	0.091	0.096	0.117	0.117	0.083	0.085	0.117	0.117	0.128	0.131	0.160	0.160	0.081	0.086	0.123	0.123	0.100	0.108	0.140	0.143	0.087	0.089	0.117	0.117	0.149	0.151	0.171	0.174	0.082	0.088	0.123	0.125
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
