	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
		(2.538)	(2.440)	(2.440)		(0.731)	(0.712)	(0.712)		(8.199)	(7.695)	(7.695)		(4.563)	(4.384)	(4.384)		(3.029)	(2.869)	(2.872)		(0.890)	(0.886)	(0.884)		(9.877)	(9.623)	(9.614)		(5.331)	(5.079)	(5.068)
miss_height		2.246	0.741	0.741		0.870	0.436	0.436		28.40**	23.58*	23.58*		6.219	3.028	3.028		5.786	2.095	2.358		2.193	1.188	1.101		29.17*	20.73	20.16		23.97***	17.48**	16.70*
		(4.503)	(4.326)	(4.326)		(1.286)	(1.244)	(1.244)		(14.47)	(13.77)	(13.77)		(8.053)	(7.653)	(7.653)		(5.296)	(5.023)	(5.030)		(1.543)	(1.513)	(1.507)		(17.00)	(16.55)	(16.54)		(9.121)	(8.636)	(8.614)
Constant	117.4	112.5	103.1	103.1	37.20*	36.28	32.53	32.53	622.5**	601.4**	555.9*	555.9*	121.7	116.0	101.8	101.8	231.1**	223.0**	216.4**	210.7**	16.52	14.33	10.73	12.34	622.3	594.5	559.2	570.1	-74.28	-97.19	-114.8	-101.5
	(90.14)	(89.29)	(85.29)	(85.29)	(22.59)	(22.53)	(21.95)	(21.95)	(305.2)	(299.4)	(284.3)	(284.3)	(126.6)	(126.1)	(121.9)	(121.9)	(108.9)	(105.8)	(101.6)	(101.0)	(29.54)	(29.49)	(28.25)	(28.30)	(387.4)	(377.6)	(370.1)	(369.8)	(174.4)	(170.8)	(158.1)	(159.0)
																																
Observations	4,579	4,579	4,579	4,579	4,247	4,247	4,247	4,247	4,190	4,190	4,190	4,190	4,233	4,233	4,233	4,233	3,437	3,437	3,437	3,437	3,157	3,157	3,157	3,157	3,110	3,110	3,110	3,110	3,141	3,141	3,141	3,141
R-squared	0.090	0.093	0.119	0.119	0.072	0.075	0.114	0.114	0.131	0.133	0.168	0.168	0.070	0.073	0.112	0.112	0.094	0.100	0.138	0.139	0.077	0.079	0.113	0.114	0.143	0.145	0.171	0.171	0.072	0.077	0.115	0.117
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
