	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
		(0.0611)	(0.0602)		(0.0646)	(0.0628)		(0.0674)	(0.0648)		(0.0704)	(0.0691)		(0.0666)	(0.0653)		(0.0649)	(0.0640)		(0.0795)	(0.0803)		(0.0713)	(0.0674)		(0.0753)	(0.0721)		(0.0791)	(0.0771)		(0.0814)	(0.0771)		(0.0860)	(0.0835)		(0.0908)	(0.0893)		(0.0750)	(0.0744)		(0.105)	(0.0999)		(0.112)	(0.109)		(0.105)	(0.0996)		(0.110)	(0.110)		(0.104)	(0.101)		(0.102)	(0.102)		(0.0994)	(0.0963)
_mother_edu1			-0.321			-0.348			-0.00642			0.213			0.143			0.166			-0.0425			-0.0865			-0.0687			0.128			0.174			-0.225			-0.129			0.263			0.0135			-0.0566			0.387			0.157			-0.441*			-0.0613			-0.195
			(0.252)			(0.215)			(0.279)			(0.228)			(0.219)			(0.229)			(0.326)			(0.195)			(0.233)			(0.254)			(0.251)			(0.237)			(0.292)			(0.185)			(0.307)			(0.283)			(0.292)			(0.302)			(0.249)			(0.299)			(0.276)
_mother_edu2			0.0270			0.0676			0.252			0.302*			-0.238			-0.150			-0.0321			0.302*			0.307			0.301			0.205			-0.240			-0.235			0.246			0.290			0.238			0.501*			0.230			-0.286			-0.148			-0.212
			(0.218)			(0.176)			(0.239)			(0.183)			(0.195)			(0.196)			(0.274)			(0.173)			(0.212)			(0.227)			(0.230)			(0.206)			(0.258)			(0.155)			(0.274)			(0.255)			(0.262)			(0.291)			(0.237)			(0.266)			(0.231)
_mother_edu3			0.243			-0.0500			0.288			0.436**			-0.201			-0.144			0.310			0.487***			0.218			0.337			0.284			-0.0170			-0.269			0.387**			0.484			0.269			0.837***			0.120			0.209			-0.190			-0.333
			(0.222)			(0.184)			(0.245)			(0.188)			(0.205)			(0.207)			(0.286)			(0.181)			(0.213)			(0.224)			(0.233)			(0.205)			(0.251)			(0.162)			(0.296)			(0.261)			(0.268)			(0.290)			(0.260)			(0.277)			(0.236)
_mother_edu4			0.182			0.295			0.561**			0.484**			-0.0516			-0.159			-0.115			0.617***			0.437**			0.634***			0.551**			-0.113			-0.287			0.196			0.515**			0.0555			0.802***			0.237			-0.141			-0.0931			-0.210
			(0.226)			(0.181)			(0.243)			(0.194)			(0.204)			(0.205)			(0.300)			(0.176)			(0.207)			(0.219)			(0.227)			(0.184)			(0.219)			(0.158)			(0.261)			(0.262)			(0.235)			(0.268)			(0.240)			(0.267)			(0.226)
_mother_edu5			0.242			0.341			0.508*			0.641***			-0.435*			-0.268			-0.141			0.473**			0.248			0.453			0.704***			-0.282			-0.318			0.315			0.459			-0.0156			1.179***			-0.175			-0.691*			-0.624			-0.629**
