	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
_inc3		-0.156*	-0.151*		-0.230***	-0.232***		-0.0741	-0.0776		-0.0492	-0.0433		-0.315***	-0.302***		-0.386***	-0.385***		-0.328***	-0.326***		-0.151	-0.134		-0.298	-0.286		-0.513**	-0.520**		-0.642***	-0.665***		-0.204	-0.237
		(0.0879)	(0.0882)		(0.0832)	(0.0847)		(0.0936)	(0.0943)		(0.0862)	(0.0880)		(0.0992)	(0.0983)		(0.102)	(0.102)		(0.109)	(0.109)		(0.113)	(0.113)		(0.191)	(0.187)		(0.225)	(0.228)		(0.234)	(0.238)		(0.211)	(0.211)
_inc4		-0.0662	-0.0630		-0.192**	-0.191**		-0.0288	-0.0370		-0.0128	-0.00698		-0.0484	-0.0296		-0.227**	-0.218**		-0.207**	-0.207**		-0.0696	-0.0470		-0.216	-0.229		-0.503**	-0.524**		-0.597***	-0.607***		-0.295	-0.293
		(0.0707)	(0.0697)		(0.0774)	(0.0769)		(0.0798)	(0.0781)		(0.0804)	(0.0802)		(0.0924)	(0.0915)		(0.0986)	(0.0984)		(0.102)	(0.103)		(0.108)	(0.109)		(0.212)	(0.209)		(0.254)	(0.254)		(0.222)	(0.222)		(0.207)	(0.209)
height			0.541			0.0513			0.440			0.923**			0.136			-0.129			0.643			0.445			-0.127			-0.381			0.0229			1.316*
			(0.400)			(0.419)			(0.441)			(0.442)			(0.486)			(0.569)			(0.542)			(0.493)			(0.767)			(1.033)			(0.746)			(0.740)
daily_cig_before_preg			0.00357			0.00590			0.00733			0.00587			0.00438			0.00722			-0.000406			0.00316			0.00946			0.00450			-0.00525			-0.00218
			(0.00458)			(0.00457)			(0.00516)			(0.00427)			(0.00587)			(0.00604)			(0.00575)			(0.00532)			(0.00684)			(0.00794)			(0.00748)			(0.00623)
weekly_alcohol_b_preg			-0.000446			0.000320			0.00369			-0.00318			0.00820**			0.00153			-0.000209			0.00614			0.00705			-0.00740			-0.0132**			-0.0114
			(0.00471)			(0.00402)			(0.00478)			(0.00508)			(0.00399)			(0.00453)			(0.00498)			(0.00388)			(0.00574)			(0.00761)			(0.00556)			(0.00804)
complications_during_preg			-0.0290			-0.0209			0.0750			-0.0308			-0.0559			-0.0410			0.0142			-0.0907			-0.164			-0.0225			0.0396			0.0959
			(0.0608)			(0.0583)			(0.0669)			(0.0560)			(0.0640)			(0.0725)			(0.0719)			(0.0725)			(0.110)			(0.130)			(0.119)			(0.112)
Constant	0.0558	21.90**	21.41**	0.198	27.97**	28.13**	-1.696	-2.856	-2.078	1.487*	11.61	10.95	1.199	4.241	2.452	0.0197	13.87	13.05	1.815*	0.192	-0.534	0.133	-4.599	-5.542	3.849*	17.24	17.80	3.332	-29.19	-26.19	4.561***	29.48	29.89	2.270	-60.43**	-65.65***
	(0.710)	(9.388)	(9.328)	(1.215)	(13.61)	(13.52)	(1.671)	(15.92)	(15.72)	(0.785)	(10.88)	(10.85)	(1.255)	(12.76)	(12.94)	(1.025)	(17.08)	(16.97)	(0.931)	(15.42)	(15.56)	(1.035)	(13.80)	(14.00)	(2.224)	(21.55)	(21.80)	(2.984)	(31.97)	(32.42)	(1.681)	(29.47)	(28.26)	(1.730)	(25.25)	(24.70)
																																				
Observations	1,628	1,628	1,628	1,514	1,514	1,514	1,494	1,494	1,494	1,509	1,509	1,509	1,182	1,182	1,182	1,090	1,090	1,090	1,070	1,070	1,070	1,083	1,083	1,083	501	501	501	450	450	450	447	447	447	449	449	449
R-squared	0.093	0.109	0.117	0.086	0.110	0.110	0.058	0.075	0.085	0.115	0.146	0.153	0.086	0.147	0.157	0.110	0.145	0.148	0.142	0.191	0.190	0.122	0.143	0.152	0.016	0.108	0.146			0.005	0.002	0.124	0.110	0.117	0.169	0.174
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
