	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
		(0.00318)	(0.00328)		(0.00365)	(0.00355)		(0.00304)	(0.00300)		(0.00440)	(0.00433)		(0.00375)	(0.00378)		(0.00467)	(0.00479)		(0.00405)	(0.00398)		(0.00444)	(0.00443)		(0.00509)	(0.00517)		(0.00475)	(0.00486)		(0.00452)	(0.00430)		(0.00535)	(0.00534)		(0.00591)	(0.00604)		(0.00526)	(0.00521)		(0.00447)	(0.00458)		(0.00501)	(0.00509)		(0.00528)	(0.00591)		(0.00538)	(0.00558)		(0.00572)	(0.00553)		(0.00646)	(0.00656)		(0.00699)	(0.00684)
complications_during_preg		0.00967	0.00584		-0.0355	-0.0401		-0.0110	-0.0238		-0.0283	-0.0302		-0.0939*	-0.0907*		0.0337	0.0442		0.0350	0.0396		0.0179	0.00171		0.0209	0.0276		-0.0880	-0.0943*		0.0240	-0.00317		0.0234	0.0388		0.0705	0.0809		-0.0181	-0.0145		0.0480	0.0104		0.0420	0.0253		-0.0992	-0.100		0.0661	0.0398		0.119	0.0892		0.0933	0.0867		-0.0697	-0.0461
		(0.0483)	(0.0466)		(0.0511)	(0.0500)		(0.0453)	(0.0444)		(0.0572)	(0.0567)		(0.0551)	(0.0549)		(0.0603)	(0.0604)		(0.0539)	(0.0537)		(0.0601)	(0.0580)		(0.0705)	(0.0709)		(0.0560)	(0.0570)		(0.0603)	(0.0603)		(0.0659)	(0.0677)		(0.0694)	(0.0710)		(0.0702)	(0.0713)		(0.0919)	(0.0879)		(0.0906)	(0.0907)		(0.0953)	(0.0949)		(0.0998)	(0.0951)		(0.0992)	(0.0989)		(0.0978)	(0.0974)		(0.112)	(0.113)
miss_height		-0.221	-0.438		0.217	0.185		-0.358	-0.628		0.0823	0.0532		0.529	0.547		1.175	1.431*		-0.377	-0.581		0.102	0.00358		1.423	1.390		0.174	-0.0786		1.100	0.832		0.347	0.498		0.684	1.017		-0.486	-0.664		-1.922*	-2.004**		0.304	0.170		-0.750	-0.922		0.945	0.691		0.557	0.520		-0.0896	-0.00112		0.0472	-0.0390
		(0.610)	(0.620)		(0.657)	(0.656)		(0.532)	(0.521)		(0.808)	(0.882)		(0.676)	(0.687)		(0.742)	(0.759)		(0.623)	(0.645)		(0.789)	(0.816)		(0.899)	(0.903)		(0.683)	(0.696)		(0.793)	(0.876)		(0.917)	(1.001)		(1.004)	(1.084)		(0.927)	(0.997)		(0.986)	(0.972)		(1.034)	(0.977)		(1.067)	(1.043)		(1.212)	(1.096)		(1.164)	(1.110)		(1.161)	(1.123)		(1.195)	(1.225)
miss_daily_cig_before_preg		-0.634***	-0.812***		-0.182	-0.301		0.795***	0.565***		-0.588**	-0.682***		-1.491***	-1.519***		-1.746***	-1.615***		-0.564**	-0.656**		-0.0577	0.0564		-0.249	-0.0885		-0.133	-0.00162		-0.961**	-0.861*		0.577	0.551		0.228	0.195		0.278	0.285		0.164	0.245		-0.792	-0.681		0.194	0.239		-1.322**	-1.333***		0.322	0.325		0.335	0.225		0.653***	0.708**
		(0.196)	(0.188)		(0.356)	(0.299)		(0.174)	(0.161)		(0.274)	(0.232)		(0.197)	(0.193)		(0.224)	(0.225)		(0.272)	(0.265)		(0.369)	(0.391)		(0.460)	(0.478)		(0.208)	(0.276)		(0.480)	(0.466)		(0.397)	(0.380)		(0.412)	(0.332)		(0.213)	(0.229)		(0.392)	(0.408)		(0.539)	(0.625)		(0.311)	(0.350)		(0.520)	(0.474)		(0.408)	(0.455)		(0.536)	(0.561)		(0.249)	(0.307)
miss_weekly_alcohol_b_preg		-0.0798	0.354		-0.340	-0.213		-1.337***	-0.962***		-0.0299	0.250		2.316***	2.208***		2.495***	2.133***		0.713**	1.075***																																										
		(0.289)	(0.332)		(0.560)	(0.587)		(0.355)	(0.347)		(0.671)	(0.736)		(0.405)	(0.451)		(0.594)	(0.556)		(0.344)	(0.350)																																										
_mother_edu1			-0.575***			-0.692***			-0.559***			-0.629***			0.121			-0.0448			-0.157			-0.560***			-0.315			-0.400**			-0.512**			0.184			0.108			-0.224			-0.545			-0.585			-0.127			-0.929***			-0.302			0.452			0.347
