	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
		(0.140)	(0.140)		(0.126)	(0.126)		(0.146)	(0.147)		(0.137)	(0.137)		(0.137)	(0.138)		(0.169)	(0.170)		(0.157)	(0.157)		(0.159)	(0.159)		(0.249)	(0.248)		(0.259)	(0.262)		(0.314)	(0.314)		(0.258)	(0.259)
_inc1		0.178	0.185		-0.183	-0.206		-0.209	-0.233		0.324	0.316		-0.0626	0.0461		-0.0656	0.0187		-0.0214	0.0455		0.0814	0.0750		0.0477	0.104		0.614	0.690*		0.695**	0.729**		-0.573	-0.497
		(0.283)	(0.282)		(0.333)	(0.337)		(0.238)	(0.237)		(0.418)	(0.414)		(0.265)	(0.266)		(0.363)	(0.357)		(0.295)	(0.300)		(0.306)	(0.303)		(0.282)	(0.278)		(0.433)	(0.396)		(0.324)	(0.323)		(0.454)	(0.463)
_inc2		-0.252***	-0.248***		-0.166*	-0.163		-0.309***	-0.300***		-0.0796	-0.0772		-0.280***	-0.275***		-0.124	-0.114		-0.334***	-0.304***		-0.232*	-0.212		-0.223*	-0.214*		-0.199	-0.202		-0.224	-0.212		-0.141	-0.141
		(0.0744)	(0.0756)		(0.0973)	(0.0991)		(0.0820)	(0.0832)		(0.156)	(0.160)		(0.104)	(0.105)		(0.105)	(0.108)		(0.104)	(0.107)		(0.137)	(0.142)		(0.119)	(0.118)		(0.136)	(0.137)		(0.146)	(0.148)		(0.164)	(0.170)
_inc3		-0.198***	-0.191***		-0.140	-0.137		-0.289***	-0.281***		-0.110	-0.105		-0.282***	-0.275***		-0.140	-0.131		-0.308***	-0.288***		-0.266**	-0.254**		-0.145	-0.142		-0.200	-0.204		-0.244*	-0.231*		-0.100	-0.102
		(0.0715)	(0.0717)		(0.0883)	(0.0897)		(0.0775)	(0.0774)		(0.129)	(0.132)		(0.0923)	(0.0929)		(0.0897)	(0.0919)		(0.0913)	(0.0928)		(0.108)	(0.113)		(0.113)	(0.113)		(0.130)	(0.130)		(0.132)	(0.134)		(0.137)	(0.142)
_inc4		-0.0437	-0.0416		-0.0737	-0.0723		-0.0720	-0.0709		-0.0125	-0.0118		-0.214***	-0.212***		-0.133*	-0.131*		-0.129*	-0.124*		-0.0930	-0.0890		-0.0780	-0.0673		-0.0114	-0.0212		-0.0415	-0.0390		0.0243	0.0187
		(0.0561)	(0.0559)		(0.0537)	(0.0534)		(0.0509)	(0.0508)		(0.0644)	(0.0637)		(0.0677)	(0.0680)		(0.0680)	(0.0682)		(0.0670)	(0.0673)		(0.0686)	(0.0687)		(0.117)	(0.116)		(0.139)	(0.139)		(0.134)	(0.134)		(0.116)	(0.117)
_inc6		0.138***	0.140***		0.114**	0.111**		0.0814*	0.0746		0.0157	0.0150		0.0626	0.0630		0.238***	0.238***		0.202***	0.195***		0.105	0.0955		0.228*	0.234*		0.340**	0.339**		0.296**	0.295**		0.158	0.160
		(0.0457)	(0.0457)		(0.0493)	(0.0497)		(0.0474)	(0.0477)		(0.0555)	(0.0559)		(0.0634)	(0.0636)		(0.0650)	(0.0653)		(0.0663)	(0.0663)		(0.0723)	(0.0725)		(0.136)	(0.136)		(0.150)	(0.151)		(0.148)	(0.149)		(0.143)	(0.143)
height			0.241			0.158			0.477*			0.300			0.313			0.420			0.648**			0.519			-0.297			0.173			0.454			0.280
			(0.246)			(0.254)			(0.260)			(0.292)			(0.304)			(0.331)			(0.329)			(0.322)			(0.390)			(0.453)			(0.466)			(0.460)
daily_cig_before_preg			0.00151			0.000187			0.000204			0.00108			6.19e-05			1.00e-04			-0.00480			-0.00122			0.000700			-0.00286			-0.00308			-0.00103
			(0.00234)			(0.00256)			(0.00249)			(0.00278)			(0.00281)			(0.00325)			(0.00292)			(0.00298)			(0.00421)			(0.00402)			(0.00443)			(0.00404)
weekly_alcohol_b_preg			-0.00427*			-0.000222			-0.00164			-0.00484			0.00111			-0.000365			-0.00325			-0.000935			0.00487			-0.00596			-0.000772			-0.00239
			(0.00256)			(0.00255)			(0.00268)			(0.00343)			(0.00225)			(0.00249)			(0.00281)			(0.00322)			(0.00318)			(0.00371)			(0.00435)			(0.00554)
complications_during_preg			-0.0464			-0.0493			-0.0303			-0.0514			-0.00669			-0.0162			-0.0632			-0.0705			-0.00364			0.0555			-0.0152			0.0616
			(0.0351)			(0.0358)			(0.0367)			(0.0387)			(0.0411)			(0.0460)			(0.0440)			(0.0445)			(0.0606)			(0.0694)			(0.0729)			(0.0716)
miss_height			0.00168			0.202			0.664			0.508			0.147			0.634			0.867			0.834			-0.759			-0.0407			0.640			0.219
			(0.443)			(0.459)			(0.469)			(0.597)			(0.543)			(0.559)			(0.558)			(0.550)			(0.664)			(0.752)			(0.785)			(0.764)
miss_daily_cig_before_preg			-0.822***			-0.584***			0.305**			-0.669**			0.0827			0.773*			0.109			-0.162			-3.363***			-0.158			0.272			-1.293***
			(0.140)			(0.200)			(0.151)			(0.327)			(0.251)			(0.432)			(0.230)			(0.474)			(0.325)			(0.480)			(0.361)			(0.463)
miss_weekly_alcohol_b_preg			0.369			0.276			-0.729**			0.499															3.638***									
			(0.278)			(0.428)			(0.312)			(0.531)															(0.609)									
Constant	-0.311	4.596	4.803	-0.729	8.959	8.854	1.550**	10.94	10.47	0.573	2.461	2.197	1.374	17.16*	16.97*	1.159	6.168	5.666	0.886	15.20	14.76	-1.573	-12.70	-13.24	1.392	21.61*	22.06*	0.0334	0.145	-0.145	3.021*	3.350*	2.639	0.662	-20.31	-21.09
	(0.446)	(8.418)	(8.272)	(0.892)	(7.812)	(7.769)	(0.656)	(7.530)	(7.344)	(0.746)	(7.617)	(7.619)	(1.146)	(10.17)	(10.05)	(0.754)	(9.502)	(9.494)	(1.450)	(10.97)	(10.60)	(1.739)	(9.412)	(9.363)	(1.182)	(11.31)	(11.34)	(1.214)	(1.144)	(1.400)	(1.793)	(1.779)	(1.998)	(2.078)	(15.10)	(15.19)
																																				
Observations	4,579	4,579	4,579	4,247	4,247	4,247	4,190	4,190	4,190	4,233	4,233	4,233	3,437	3,437	3,437	3,157	3,157	3,157	3,110	3,110	3,110	3,141	3,141	3,141	1,581	1,581	1,581	1,407	1,407	1,407	1,390	1,390	1,390	1,401	1,401	1,401
R-squared	0.070	0.138	0.143	0.075	0.129	0.129	0.095	0.188	0.191		0.006	0.006	0.069	0.155	0.159	0.039	0.096	0.092	0.115	0.209	0.213		0.099	0.107	0.067	0.130	0.136	0.080	0.140	0.145	0.005	0.076	0.077	0.062	0.116	0.120
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
