	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
		(0.0572)	(0.0553)		(0.0552)	(0.0541)		(0.0524)	(0.0511)		(0.0585)	(0.0581)		(0.0639)	(0.0632)		(0.0645)	(0.0642)		(0.0680)	(0.0678)		(0.0701)	(0.0680)		(0.0752)	(0.0750)		(0.0638)	(0.0634)		(0.0608)	(0.0612)		(0.0760)	(0.0760)		(0.0730)	(0.0735)		(0.0870)	(0.0899)		(0.0960)	(0.0949)		(0.103)	(0.107)		(0.0960)	(0.0984)		(0.146)	(0.150)		(0.114)	(0.110)		(0.116)	(0.116)		(0.134)	(0.134)
_mother_edu1			0.0146			-0.268			-0.162			0.0572			0.658***			0.370			-0.416			0.0914			-0.237			0.109			0.0819			0.539***			0.123			-0.200			-0.337			-0.338			0.0431			0.525			0.803***			0.620**			-0.380
			(0.245)			(0.209)			(0.202)			(0.166)			(0.194)			(0.258)			(0.306)			(0.262)			(0.237)			(0.215)			(0.172)			(0.191)			(0.205)			(0.290)			(0.248)			(0.273)			(0.275)			(0.391)			(0.270)			(0.282)			(0.369)
_mother_edu2			0.0216			-0.105			-0.0758			0.0907			0.605***			0.251			-0.396			0.196			-0.272			0.214			0.290*			0.388**			-0.0542			-0.210			-0.0242			-0.258			0.115			0.313			0.416**			0.310			-0.378
			(0.233)			(0.190)			(0.178)			(0.153)			(0.167)			(0.243)			(0.294)			(0.259)			(0.205)			(0.198)			(0.153)			(0.169)			(0.178)			(0.287)			(0.222)			(0.236)			(0.262)			(0.378)			(0.209)			(0.233)			(0.349)
_mother_edu3			0.109			0.0493			0.0973			0.232			0.535***			0.209			-0.392			0.289			-0.244			0.243			0.342**			0.571***			0.0631			-0.0664			0.191			-0.289			0.206			0.0924			0.389*			0.0535			-0.309
			(0.237)			(0.194)			(0.189)			(0.164)			(0.177)			(0.244)			(0.295)			(0.264)			(0.209)			(0.201)			(0.161)			(0.180)			(0.185)			(0.293)			(0.239)			(0.257)			(0.283)			(0.377)			(0.217)			(0.244)			(0.377)
_mother_edu4			0.244			0.111			0.161			0.446***			0.612***			0.323			-0.257			0.317			-0.0267			0.343*			0.356**			0.363**			0.0923			-0.0344			0.351			-0.165			0.257			0.110			0.370			0.202			-0.490
			(0.233)			(0.186)			(0.178)			(0.158)			(0.167)			(0.244)			(0.294)			(0.262)			(0.202)			(0.194)			(0.149)			(0.171)			(0.178)			(0.293)			(0.253)			(0.280)			(0.303)			(0.389)			(0.228)			(0.248)			(0.376)
_mother_edu5			0.555**			0.360*			0.244			0.638***			0.374*			0.375			-0.194			0.610**			0.112			0.477**			0.431**			0.411*			0.0520			-0.103			0.381			0.392			0.331			0.837			0.578			-0.465			-1.057**
