	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
		(0.0396)	(0.0390)		(0.0393)	(0.0391)		(0.0400)	(0.0396)		(0.0408)	(0.0403)		(0.0444)	(0.0443)		(0.0433)	(0.0434)		(0.0500)	(0.0504)		(0.0461)	(0.0450)		(0.0529)	(0.0523)		(0.0481)	(0.0473)		(0.0481)	(0.0480)		(0.0524)	(0.0529)		(0.0505)	(0.0509)		(0.0578)	(0.0582)		(0.0763)	(0.0749)		(0.0883)	(0.0865)		(0.0858)	(0.0822)		(0.0948)	(0.0943)		(0.0793)	(0.0789)		(0.0760)	(0.0750)		(0.0877)	(0.0865)
_mother_edu1			-0.0718			-0.247*			-0.0154			0.0462			0.183			0.186			-0.322			0.0902			-0.205			0.0894			0.153			-0.133			-0.232			0.109			-0.327			-0.431*			-0.0324			-0.00400			0.0912			-0.0256			-0.328
			(0.162)			(0.148)			(0.172)			(0.139)			(0.170)			(0.169)			(0.246)			(0.153)			(0.176)			(0.146)			(0.147)			(0.158)			(0.162)			(0.171)			(0.214)			(0.232)			(0.257)			(0.276)			(0.208)			(0.194)			(0.252)
_mother_edu2			0.0717			0.0130			0.157			0.228*			0.116			0.0230			-0.373			0.211			-0.0416			0.193			0.323**			-0.163			-0.345**			0.0434			-0.0495			-0.198			0.0889			0.0840			-0.0104			-0.275			-0.353
			(0.152)			(0.131)			(0.162)			(0.129)			(0.155)			(0.158)			(0.236)			(0.144)			(0.157)			(0.135)			(0.138)			(0.148)			(0.152)			(0.153)			(0.200)			(0.236)			(0.260)			(0.274)			(0.206)			(0.169)			(0.255)
_mother_edu3			0.216			0.0304			0.233			0.294**			0.0607			0.0151			-0.308			0.340**			-0.108			0.161			0.330**			-0.0436			-0.335**			0.209			0.0686			-0.176			0.240			-0.0170			0.0438			-0.384**			-0.346
			(0.154)			(0.132)			(0.161)			(0.133)			(0.156)			(0.159)			(0.237)			(0.148)			(0.160)			(0.138)			(0.144)			(0.153)			(0.158)			(0.163)			(0.213)			(0.244)			(0.272)			(0.281)			(0.232)			(0.186)			(0.269)
_mother_edu4			0.258*			0.168			0.372**			0.453***			0.161			0.0256			-0.297			0.470***			0.102			0.376***			0.458***			-0.110			-0.281*			0.142			0.366*			-0.113			0.398			0.247			-0.0699			-0.205			-0.251
			(0.152)			(0.130)			(0.160)			(0.134)			(0.156)			(0.159)			(0.240)			(0.145)			(0.157)			(0.135)			(0.139)			(0.149)			(0.154)			(0.157)			(0.200)			(0.224)			(0.256)			(0.248)			(0.206)			(0.179)			(0.250)
_mother_edu5			0.454***			0.336**			0.526***			0.717***			-0.120			-0.0516			-0.288			0.604***			0.207			0.390**			0.598***			-0.280			-0.364**			0.0457			0.354			0.181			0.778**			0.432			-0.332			-0.608***			-0.736***
			(0.164)			(0.151)			(0.172)			(0.154)			(0.177)			(0.176)			(0.257)			(0.163)			(0.179)			(0.162)			(0.165)			(0.182)			(0.180)			(0.191)			(0.266)			(0.299)			(0.333)			(0.348)			(0.268)			(0.234)			(0.268)
_inc1			-0.340***			-0.243***			-0.291***			-0.117			-0.0158			0.0900			-0.164			-0.286***			-0.310***			-0.507***			-0.195*			-0.113			0.0653			-0.130			-0.335**			-0.478**			-0.379**			-0.158			-0.00211			0.0586			-0.277
			(0.0849)			(0.0888)			(0.0901)			(0.0911)			(0.0974)			(0.0993)			(0.113)			(0.0990)			(0.109)			(0.101)			(0.0999)			(0.112)			(0.109)			(0.128)			(0.151)			(0.192)			(0.187)			(0.218)			(0.184)			(0.163)			(0.199)
_inc2			-0.284***			-0.161**			-0.226***			-0.0750			0.00543			0.141			-0.244**			-0.268***			-0.268***			-0.437***			-0.184**			0.0348			0.00825			-0.256**			-0.361**			-0.383**			-0.453**			-0.0367			0.203			0.0561			-0.113
			(0.0770)			(0.0811)			(0.0858)			(0.0924)			(0.0905)			(0.0878)			(0.103)			(0.0826)			(0.0943)			(0.0901)			(0.0903)			(0.102)			(0.0962)			(0.106)			(0.141)			(0.175)			(0.182)			(0.205)			(0.167)			(0.155)			(0.187)
_inc3			-0.160***			-0.135**			-0.0797			0.00581			0.117			0.0336			-0.110			-0.206***			-0.327***			-0.277***			-0.152*			0.0913			-0.0279			-0.0993			-0.170			-0.197			-0.168			-0.122			0.0109			-0.0132			-0.0563
			(0.0610)			(0.0579)			(0.0611)			(0.0659)			(0.0718)			(0.0689)			(0.0843)			(0.0679)			(0.0737)			(0.0740)			(0.0782)			(0.0849)			(0.0803)			(0.0941)			(0.136)			(0.161)			(0.164)			(0.173)			(0.158)			(0.153)			(0.198)
_inc4			-0.101**			-0.0965*			-0.0110			0.0306			0.109*			0.128**			-0.0270			-0.0318			-0.212***			-0.153**			-0.0791			0.0756			-0.0217			0.0137			-0.206			-0.280*			-0.249			-0.184			-0.117			-0.255*			0.0913
			(0.0477)			(0.0503)			(0.0488)			(0.0574)			(0.0615)			(0.0576)			(0.0664)			(0.0666)			(0.0695)			(0.0671)			(0.0746)			(0.0812)			(0.0745)			(0.0930)			(0.145)			(0.169)			(0.154)			(0.170)			(0.162)			(0.145)			(0.215)
Constant	14.80	14.26	12.13	15.40	15.03	13.23	1.488	1.151	0.0291	8.864	8.269	7.270	0.0867	-0.200	-0.191	7.069	6.736	6.983	-2.242	-2.748	-3.862	7.709	7.586	5.895	22.15	22.87	18.27	15.01	15.35	13.18	7.803	8.236	6.802	11.58	10.63	10.38	-10.80	-11.59	-12.18	3.195	3.788	6.170	22.50	23.70	28.33*	10.93	10.57	12.24	8.711	8.854	15.16	4.169	3.054	1.894	2.085	0.859	-2.401	-1.500	-1.817	-3.107	-5.708	-5.791	-2.658
	(9.730)	(9.723)	(9.584)	(10.00)	(10.01)	(9.861)	(7.067)	(6.986)	(7.169)	(9.258)	(9.255)	(9.185)	(7.547)	(7.543)	(7.529)	(7.417)	(7.405)	(7.424)	(7.333)	(7.271)	(7.233)	(8.894)	(8.960)	(8.864)	(14.57)	(14.60)	(14.17)	(9.750)	(9.743)	(9.820)	(8.868)	(8.915)	(8.706)	(12.38)	(12.46)	(12.14)	(10.91)	(11.01)	(10.99)	(12.44)	(12.62)	(12.43)	(15.88)	(15.79)	(15.26)	(25.13)	(24.76)	(23.89)	(19.67)	(19.42)	(18.57)	(26.90)	(27.53)	(27.00)	(20.18)	(20.19)	(20.24)	(16.20)	(16.29)	(15.47)	(23.76)	(23.76)	(23.89)
																																																															
Observations	3,184	3,184	3,184	2,990	2,990	2,990	2,949	2,949	2,949	2,980	2,980	2,980	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	2,279	2,279	2,279	2,122	2,122	2,122	2,087	2,087	2,087	2,111	2,111	2,111	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	946	946	946	851	851	851	840	840	840	846	846	846	868	868	868	868	868	868	868	868	868
R-squared	0.096	0.096	0.127	0.078	0.080	0.103	0.096	0.099	0.128	0.061	0.062	0.089	0.027	0.028	0.036	0.042	0.044	0.049				0.091	0.096	0.138	0.019	0.022	0.063	0.150	0.157	0.196	0.105	0.111	0.127	0.047	0.049	0.057	0.063	0.066	0.071	0.028	0.029	0.038	0.048	0.063	0.132	0.074	0.092	0.122	0.042	0.072	0.147				0.076	0.077	0.093	0.089	0.087	0.108	0.096	0.096	0.120
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
