	(0.00566)	(0.00543)	(0.00516)	(0.00516)	(0.00144)	(0.00143)	(0.00138)	(0.00138)	(0.0173)	(0.0170)	(0.0172)	(0.0172)	(0.00809)	(0.00805)	(0.00768)	(0.00768)	(0.00116)	(0.00117)	(0.00119)	(0.00119)	(0.000935)	(0.000927)	(0.000934)	(0.000934)	(0.000171)	(0.000172)	(0.000175)	(0.000175)	(0.00775)	(0.00722)	(0.00706)	(0.00701)	(0.00205)	(0.00201)	(0.00197)	(0.00197)	(0.0232)	(0.0229)	(0.0233)	(0.0233)	(0.0121)	(0.0120)	(0.0117)	(0.0117)	(0.00139)	(0.00138)	(0.00137)	(0.00137)	(0.00111)	(0.00112)	(0.00113)	(0.00112)	(0.000239)	(0.000237)	(0.000235)	(0.000232)
agefirstbirth	-0.0914	-0.0990	-0.0839	-0.0839	0.0475	0.0439	0.0391	0.0391	0.328	0.218	0.156	0.156	0.414	0.391	0.344	0.344	0.0232	0.0221	0.0107	0.0107	-0.00405	-0.00665	-0.0118	-0.0118	-0.00433	-0.00362	-0.00340	-0.00340	0.334***	0.286**	0.0236	-0.217*	0.0947***	0.0930***	0.0469	0.0703**	1.209***	1.031***	0.366	0.00875	0.430**	0.388**	0.138	0.237	0.0320	0.0305	0.0347	0.0312	0.0344*	0.0378*	0.0473**	0.0221	0.000916	0.00214	0.00108	-0.00373
	(0.179)	(0.171)	(0.168)	(0.168)	(0.0379)	(0.0365)	(0.0345)	(0.0345)	(0.435)	(0.447)	(0.428)	(0.428)	(0.269)	(0.263)	(0.259)	(0.259)	(0.0366)	(0.0362)	(0.0364)	(0.0364)	(0.0263)	(0.0266)	(0.0265)	(0.0265)	(0.00658)	(0.00665)	(0.00651)	(0.00651)	(0.107)	(0.111)	(0.112)	(0.124)	(0.0301)	(0.0299)	(0.0304)	(0.0338)	(0.337)	(0.352)	(0.386)	(0.431)	(0.180)	(0.177)	(0.175)	(0.200)	(0.0230)	(0.0234)	(0.0249)	(0.0291)	(0.0202)	(0.0207)	(0.0220)	(0.0266)	(0.00402)	(0.00397)	(0.00397)	(0.00488)
miss_motherage	-251.5**	-255.1**	-235.2**	-235.2**	-81.01***	-81.85***	-70.11***	-70.11***	-530.9	-553.9	-438.5	-438.5	-249.4*	-251.1*	-169.5	-169.5	0.102	2.434	6.589	6.589	6.834	7.366	7.478	7.478	-3.252	-3.204	-3.649	-3.649	-228.6	-226.4	-192.3	-187.9	-24.06	-23.89	-10.68	-11.07	-124.6	-153.8	-34.20	-27.84	-50.42	-38.47	20.58	19.04	-61.33**	-60.35**	-58.11**	-58.06**	3.004	2.326	1.734	2.065	-4.547	-4.465	-5.006	-4.943
	(115.0)	(109.1)	(103.6)	(103.6)	(27.86)	(27.65)	(26.78)	(26.78)	(353.1)	(343.1)	(344.8)	(344.8)	(145.9)	(146.2)	(136.7)	(136.7)	(20.65)	(21.09)	(21.17)	(21.17)	(17.24)	(17.36)	(17.50)	(17.50)	(2.987)	(3.012)	(3.095)	(3.095)	(153.8)	(142.9)	(138.3)	(137.7)	(41.45)	(40.99)	(39.79)	(39.80)	(447.5)	(439.0)	(443.7)	(443.8)	(225.1)	(224.6)	(220.7)	(221.0)	(25.83)	(25.97)	(26.15)	(26.19)	(21.85)	(22.25)	(22.34)	(22.22)	(4.267)	(4.206)	(4.209)	(4.176)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-5.823***	-5.823***			-1.710***	-1.710***			-22.76***	-22.76***			-15.62***	-15.62***			0.401	0.401			0.131	0.131			0.0272	0.0272			-5.237***	-4.867***			-1.287**	-1.322**			-6.459	-5.909			-12.53***	-12.67***			0.711*	0.716*			0.238	0.273			-0.00367	0.00300
			(1.607)	(1.607)			(0.525)	(0.525)			(5.134)	(5.134)			(3.080)	(3.080)			(0.359)	(0.359)			(0.311)	(0.311)			(0.0497)	(0.0497)			(1.718)	(1.682)			(0.540)	(0.544)			(6.780)	(6.784)			(3.339)	(3.351)			(0.389)	(0.389)			(0.328)	(0.327)			(0.0504)	(0.0507)
_mother_edu2			-6.102***	-6.102***			-1.747***	-1.747***			-19.93***	-19.93***			-13.73***	-13.73***			0.640*	0.640*			0.465	0.465			0.0971	0.0971			-3.785**	-3.434**			-1.105*	-1.135*			-7.026	-6.559			-8.875**	-9.004**			0.486	0.491			0.322	0.354			0.0738	0.0800
			(1.474)	(1.474)			(0.512)	(0.512)			(5.014)	(5.014)			(3.174)	(3.174)			(0.364)	(0.364)			(0.301)	(0.301)			(0.0610)	(0.0610)			(1.747)	(1.712)			(0.588)	(0.591)			(6.764)	(6.780)			(3.546)	(3.562)			(0.399)	(0.399)			(0.330)	(0.329)			(0.0616)	(0.0618)
_mother_edu3			-3.307***	-3.307***			-0.789*	-0.789*			-11.57***	-11.57***			-7.169***	-7.169***			0.394	0.394			0.140	0.140			5.65e-06	5.65e-06			-2.080	-1.797			-0.141	-0.160			-0.327	-0.00956			-4.911	-4.990			0.366	0.369			0.0741	0.0935			0.0173	0.0210
			(1.112)	(1.112)			(0.409)	(0.409)			(3.715)	(3.715)			(2.459)	(2.459)			(0.291)	(0.291)			(0.240)	(0.240)			(0.0407)	(0.0407)			(1.461)	(1.432)			(0.469)	(0.473)			(5.974)	(5.997)			(3.106)	(3.116)			(0.344)	(0.344)			(0.284)	(0.283)			(0.0462)	(0.0465)
_mother_edu4			-1.876	-1.876			-1.039**	-1.039**			-11.53***	-11.53***			-8.465***	-8.465***			0.471	0.471			0.206	0.206			0.0373	0.0373			-0.934	-0.791			-0.582	-0.581			-2.592	-2.602			-6.864**	-6.858**			0.695**	0.694**			0.0383	0.0364			0.0658	0.0655
			(1.149)	(1.149)			(0.412)	(0.412)			(3.798)	(3.798)			(2.531)	(2.531)			(0.294)	(0.294)			(0.244)	(0.244)			(0.0436)	(0.0436)			(1.484)	(1.455)			(0.474)	(0.475)			(5.811)	(5.841)			(3.212)	(3.222)			(0.344)	(0.344)			(0.287)	(0.286)			(0.0499)	(0.0498)
_mother_edu5			-1.439	-1.439			-0.335	-0.335			-4.851	-4.851			-5.583**	-5.583**			0.632**	0.632**			0.0972	0.0972			0.0402	0.0402			0.947	1.067			-0.0754	-0.0711			6.179	6.116			-2.661	-2.639			0.647**	0.646**			0.0363	0.0299			0.0268	0.0256
			(0.969)	(0.969)			(0.381)	(0.381)			(3.364)	(3.364)			(2.284)	(2.284)			(0.267)	(0.267)			(0.217)	(0.217)			(0.0372)	(0.0372)			(1.333)	(1.294)			(0.433)	(0.435)			(5.433)	(5.459)			(2.881)	(2.891)			(0.311)	(0.312)			(0.256)	(0.256)			(0.0402)	(0.0403)
_mother_edu7			-4.732**	-4.732**			-0.934	-0.934			-21.32***	-21.32***			-12.35***	-12.35***			0.781*	0.781*			0.388	0.388			0.147*	0.147*			-4.871**	-4.439**			-0.600	-0.630			-9.276	-8.784			-11.08***	-11.21***			1.387***	1.391***			0.769*	0.798*			-0.0577	-0.0521
			(2.186)	(2.186)			(0.623)	(0.623)			(7.581)	(7.581)			(3.832)	(3.832)			(0.471)	(0.471)			(0.411)	(0.411)			(0.0870)	(0.0870)			(2.084)	(2.090)			(0.653)	(0.655)			(7.465)	(7.492)			(4.196)	(4.201)			(0.446)	(0.446)			(0.421)	(0.419)			(0.0545)	(0.0551)
_inc1			2.134	2.134			0.110	0.110			-11.76	-11.76			1.059	1.059			0.122	0.122			0.426	0.426			0.0506	0.0506			1.099	1.303			-0.545	-0.558			-14.61*	-14.39			0.930	0.879			0.0876	0.0898			-0.118	-0.102			-0.0933	-0.0904
			(3.306)	(3.306)			(1.324)	(1.324)			(9.439)	(9.439)			(9.948)	(9.948)			(0.798)	(0.798)			(0.779)	(0.779)			(0.158)	(0.158)			(4.200)	(4.210)			(1.230)	(1.238)			(8.790)	(9.025)			(7.925)	(7.986)			(0.720)	(0.723)			(0.667)	(0.666)			(0.0609)	(0.0632)
_inc2			-0.499	-0.499			-0.514*	-0.514*			-5.335	-5.335			-4.376**	-4.376**			-0.304	-0.304			-0.262	-0.262			0.0161	0.0161			-3.557***	-3.623***			-0.739**	-0.728**			-10.67***	-10.84***			-2.292	-2.244			0.139	0.137			0.266	0.254			-0.0354	-0.0377
			(1.105)	(1.105)			(0.303)	(0.303)			(3.540)	(3.540)			(1.719)	(1.719)			(0.223)	(0.223)			(0.191)	(0.191)			(0.0368)	(0.0368)			(1.104)	(1.106)			(0.349)	(0.347)			(3.854)	(3.859)			(2.169)	(2.161)			(0.251)	(0.251)			(0.203)	(0.203)			(0.0416)	(0.0418)
_inc3			-1.394	-1.394			-0.201	-0.201			-5.071	-5.071			-2.143	-2.143			-0.372*	-0.372*			-0.254	-0.254			-0.0230	-0.0230			-4.195***	-4.262***			-0.599*	-0.592*			-10.74***	-10.86***			-2.391	-2.362			0.131	0.130			0.0812	0.0742			-0.0528	-0.0541
			(0.940)	(0.940)			(0.272)	(0.272)			(3.109)	(3.109)			(1.706)	(1.706)			(0.213)	(0.213)			(0.179)	(0.179)			(0.0313)	(0.0313)			(1.011)	(1.010)			(0.337)	(0.336)			(3.548)	(3.545)			(2.045)	(2.045)			(0.240)	(0.240)			(0.190)	(0.189)			(0.0346)	(0.0348)
_inc4			-0.629	-0.629			-0.0848	-0.0848			0.306	0.306			-0.650	-0.650			0.0326	0.0326			-0.237	-0.237			-0.0114	-0.0114			-2.839***	-2.876***			-0.346	-0.340			-4.149	-4.245			-0.958	-0.930			0.295	0.295			-0.0875	-0.0938			-0.00806	-0.00928
			(0.819)	(0.819)			(0.213)	(0.213)			(2.445)	(2.445)			(1.393)	(1.393)			(0.179)	(0.179)			(0.145)	(0.145)			(0.0267)	(0.0267)			(0.934)	(0.932)			(0.294)	(0.293)			(3.190)	(3.196)			(1.864)	(1.859)			(0.227)	(0.226)			(0.179)	(0.177)			(0.0365)	(0.0365)
_inc6			0.895	0.895			0.558***	0.558***			2.189	2.189			0.230	0.230			-0.357**	-0.357**			-0.319**	-0.319**			0.00585	0.00585			0.166	-0.0217			0.600**	0.621**			6.315**	5.998*			0.563	0.648			-0.231	-0.234			-0.000507	-0.0224			-0.00345	-0.00763
			(0.694)	(0.694)			(0.211)	(0.211)			(2.279)	(2.279)			(1.361)	(1.361)			(0.168)	(0.168)			(0.136)	(0.136)			(0.0265)	(0.0265)			(0.944)	(0.933)			(0.275)	(0.275)			(3.157)	(3.177)			(1.929)	(1.925)			(0.225)	(0.226)			(0.184)	(0.185)			(0.0362)	(0.0359)
height		10.63**	8.199**	8.199**		1.298	0.446	0.446		37.60***	28.07**	28.07**		21.10***	15.84**	15.84**		-1.502*	-1.370	-1.370		-0.660	-0.551	-0.551		0.0318	0.0393	0.0393		12.37**	7.860*	8.334*		0.590	-0.538	-0.605		36.35**	23.42	24.48		12.40	6.029	5.751		0.595	0.745	0.755		0.166	0.379	0.447		-0.101	-0.117	-0.104
		(4.281)	(4.111)	(4.111)		(1.122)	(1.095)	(1.095)		(13.45)	(13.14)	(13.14)		(7.015)	(6.785)	(6.785)		(0.830)	(0.833)	(0.833)		(0.709)	(0.711)	(0.711)		(0.125)	(0.127)	(0.127)		(5.037)	(4.724)	(4.701)		(1.429)	(1.412)	(1.418)		(15.33)	(15.34)	(15.33)		(8.391)	(8.245)	(8.232)		(0.993)	(0.983)	(0.987)		(0.856)	(0.830)	(0.838)		(0.138)	(0.141)	(0.140)
daily_cig_before_preg		-0.0172	0.0271	0.0271		-0.00366	0.0114	0.0114		0.0382	0.199	0.199		0.0299	0.115*	0.115*		-0.0180**	-0.0174*	-0.0174*		-0.00583	-0.00748	-0.00748		0.000614	0.000515	0.000515		-0.0437	0.0496	0.0506		-0.00111	0.0178	0.0180		-0.196	0.0636	0.0615		-0.00646	0.0899	0.0906		0.000631	0.000278	0.000244		0.00636	0.00218	0.00194		0.00155	0.00197	0.00192
		(0.0407)	(0.0426)	(0.0426)		(0.0117)	(0.0114)	(0.0114)		(0.139)	(0.137)	(0.137)		(0.0680)	(0.0685)	(0.0685)		(0.00883)	(0.00914)	(0.00914)		(0.00808)	(0.00839)	(0.00839)		(0.00139)	(0.00145)	(0.00145)		(0.0483)	(0.0509)	(0.0509)		(0.0156)	(0.0155)	(0.0155)		(0.159)	(0.166)	(0.166)		(0.0833)	(0.0849)	(0.0851)		(0.0102)	(0.0105)	(0.0105)		(0.00858)	(0.00874)	(0.00880)		(0.00164)	(0.00176)	(0.00176)
weekly_alcohol_b_preg		-0.0495	-0.0430	-0.0430		0.00217	0.00335	0.00335		-0.0313	-0.000774	-0.000774		-0.133	-0.115	-0.115		-0.0117	-0.00990	-0.00990		-0.00356	-0.00257	-0.00257		-0.00154	-0.00130	-0.00130		0.0301	0.0452	0.0460		0.0151	0.0162	0.0159		0.0235	0.0159	0.0204		0.0223	0.0309	0.0295		-0.0113	-0.0110	-0.0110		-0.00450	-0.00524	-0.00490		-0.000448	-0.000239	-0.000174
		(0.0429)	(0.0412)	(0.0412)		(0.00998)	(0.0104)	(0.0104)		(0.114)	(0.115)	(0.115)		(0.0978)	(0.0935)	(0.0935)		(0.00924)	(0.00927)	(0.00927)		(0.00783)	(0.00782)	(0.00782)		(0.000974)	(0.000952)	(0.000952)		(0.0373)	(0.0350)	(0.0357)		(0.0103)	(0.0102)	(0.0102)		(0.115)	(0.116)	(0.115)		(0.0994)	(0.0911)	(0.0910)		(0.00690)	(0.00696)	(0.00697)		(0.00620)	(0.00617)	(0.00625)		(0.00165)	(0.00165)	(0.00167)
complications_during_preg		-0.872	-0.928*	-0.928*		-0.123	-0.118	-0.118		0.314	0.0315	0.0315		-0.381	-0.551	-0.551		0.283**	0.259**	0.259**		0.322***	0.314***	0.314***		0.0331*	0.0342*	0.0342*		-0.793	-0.894	-0.911		-0.180	-0.191	-0.189		-0.229	-0.436	-0.464		-1.796	-1.977*	-1.971*		0.0663	0.0354	0.0351		0.230**	0.235**	0.233**		0.0231	0.0211	0.0207
		(0.573)	(0.561)	(0.561)		(0.154)	(0.151)	(0.151)		(1.752)	(1.727)	(1.727)		(0.930)	(0.905)	(0.905)		(0.118)	(0.119)	(0.119)		(0.100)	(0.101)	(0.101)		(0.0184)	(0.0185)	(0.0185)		(0.699)	(0.673)	(0.671)		(0.188)	(0.188)	(0.188)		(2.086)	(2.059)	(2.055)		(1.148)	(1.139)	(1.139)		(0.137)	(0.138)	(0.138)		(0.115)	(0.115)	(0.114)		(0.0202)	(0.0201)	(0.0202)
miss_height		14.41**	10.86	10.86		2.461	1.144	1.144		70.42***	56.66**	56.66**		32.93***	25.03**	25.03**		-2.639*	-2.412*	-2.412*		-0.950	-0.784	-0.784		0.0109	0.0295	0.0295		14.70*	8.656	9.765		0.0208	-1.435	-1.589		55.73**	38.66	41.05		16.16	8.250	7.606		1.279	1.408	1.431		0.480	0.785	0.945		-0.269	-0.269	-0.238
		(7.175)	(6.991)	(6.991)		(1.975)	(1.936)	(1.936)		(23.11)	(22.75)	(22.75)		(12.46)	(11.95)	(11.95)		(1.419)	(1.420)	(1.420)		(1.221)	(1.228)	(1.228)		(0.212)	(0.214)	(0.214)		(8.588)	(8.155)	(8.110)		(2.432)	(2.395)	(2.404)		(26.09)	(25.78)	(25.78)		(14.30)	(13.95)	(13.94)		(1.681)	(1.672)	(1.680)		(1.450)	(1.427)	(1.439)		(0.226)	(0.230)	(0.229)
miss_daily_cig_before_preg		-9.062***	-10.23***	-10.23***		-0.274	-0.490	-0.490		-11.06	-15.18	-15.18		-1.539	-3.652	-3.652		0.614	0.788	0.788		-0.0292	0.171	0.171		0.143*	0.189**	0.189**		-0.357	0.276	0.162		2.902**	2.434*	2.454*		4.982	0.355	0.0472		9.007	7.988	8.074		-0.617	-0.731	-0.734		-0.0721	-0.150	-0.170		0.227***	0.236**	0.233**
		(1.958)	(1.872)	(1.872)		(1.457)	(1.395)	(1.395)		(13.31)	(10.80)	(10.80)		(8.842)	(8.181)	(8.181)		(0.834)	(0.872)	(0.872)		(0.700)	(0.769)	(0.769)		(0.0824)	(0.0836)	(0.0836)		(2.817)	(2.893)	(2.797)		(1.222)	(1.367)	(1.382)		(12.87)	(11.92)	(11.91)		(8.936)	(9.031)	(9.127)		(1.334)	(1.381)	(1.381)		(0.977)	(0.984)	(0.984)		(0.0881)	(0.0960)	(0.0939)
miss_weekly_alcohol_b_preg		3.032	4.009	4.009		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(4.454)	(4.073)	(4.073)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	317.9***	307.9***	298.1***	298.1***	88.33***	87.24***	81.19***	81.19***	670.0*	646.0*	565.0	565.0	363.0***	333.5**	289.8**	289.8**	2.536	1.800	-1.071	-1.071	-3.380	-3.718	-2.976	-2.976	2.322	2.126	2.593	2.593	287.8*	266.5*	240.7	237.0	22.98	22.14	12.92	12.89	209.1	174.4	84.43	79.43	179.5	143.7	108.1	108.0	65.61**	64.24**	60.78**	60.80**	-1.062	-0.338	-0.338	-0.206	4.640	4.655	5.255	5.280
	(106.8)	(99.64)	(95.11)	(95.11)	(25.73)	(25.59)	(24.72)	(24.72)	(400.3)	(387.5)	(392.3)	(392.3)	(137.6)	(138.5)	(130.1)	(130.1)	(19.37)	(19.74)	(19.83)	(19.83)	(16.04)	(16.12)	(16.21)	(16.21)	(2.802)	(2.818)	(2.873)	(2.873)	(164.5)	(150.6)	(147.1)	(146.3)	(41.62)	(41.28)	(40.03)	(40.05)	(482.4)	(472.4)	(480.5)	(480.7)	(244.6)	(244.2)	(240.0)	(240.3)	(26.02)	(26.13)	(26.28)	(26.30)	(21.99)	(22.32)	(22.37)	(22.25)	(4.271)	(4.245)	(4.254)	(4.216)
																																																								
Observations	1,868	1,868	1,868	1,868	1,708	1,708	1,708	1,708	1,688	1,688	1,688	1,688	1,704	1,704	1,704	1,704	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,428	1,428	1,428	1,428	1,293	1,293	1,293	1,293	1,273	1,273	1,273	1,273	1,287	1,287	1,287	1,287	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324	1,324
R-squared	0.140	0.150	0.177	0.177	0.141	0.143	0.183	0.183	0.131	0.139	0.177	0.177	0.126	0.135	0.179	0.179	0.046	0.058	0.072	0.072	0.065	0.075	0.083	0.083	0.048	0.053	0.064	0.064	0.128	0.142	0.200	0.208	0.139	0.148	0.186	0.187	0.161	0.168	0.216	0.218	0.121	0.128	0.162	0.163	0.057	0.061	0.078	0.078	0.060	0.066	0.078	0.081	0.065	0.073	0.085	0.089
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
