	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(2.135)	(2.135)			(0.520)	(0.520)			(7.606)	(7.606)			(3.116)	(3.116)			(0.413)	(0.413)			(0.364)	(0.364)			(0.0720)	(0.0720)			(1.648)	(1.663)			(0.551)	(0.552)			(5.714)	(5.704)			(3.797)	(3.823)			(0.346)	(0.347)			(0.364)	(0.362)			(0.0391)	(0.0392)
_mother_edu5			2.579	2.579			0.993	0.993			15.41*	15.41*			10.27***	10.27***			-0.887*	-0.887*			-0.482	-0.482			-0.0282	-0.0282			4.720**	4.668**			0.765	0.774			14.21*	14.31*			11.93***	12.05***			-0.642	-0.652			-0.614	-0.629			0.101	0.0988
			(2.329)	(2.329)			(0.649)	(0.649)			(8.394)	(8.394)			(3.709)	(3.709)			(0.491)	(0.491)			(0.415)	(0.415)			(0.0799)	(0.0799)			(1.972)	(1.983)			(0.715)	(0.715)			(7.383)	(7.333)			(4.543)	(4.585)			(0.453)	(0.455)			(0.426)	(0.421)			(0.0660)	(0.0669)
_inc1			-3.998***	-3.998***			-0.933**	-0.933**			-15.09***	-15.09***			-3.695	-3.695			-0.224	-0.224			-0.0629	-0.0629			0.0206	0.0206			-3.443***	-3.478***			-1.282***	-1.263***			-19.03***	-18.91***			-0.173	0.0228			0.197	0.175			0.0383	0.00631			-0.0146	-0.0190
			(1.264)	(1.264)			(0.374)	(0.374)			(4.305)	(4.305)			(2.309)	(2.309)			(0.252)	(0.252)			(0.218)	(0.218)			(0.0486)	(0.0486)			(1.259)	(1.258)			(0.349)	(0.350)			(4.358)	(4.356)			(2.333)	(2.334)			(0.272)	(0.274)			(0.234)	(0.236)			(0.0428)	(0.0426)
_inc2			-3.895***	-3.895***			-1.007***	-1.007***			-10.08***	-10.08***			-5.740**	-5.740**			0.381	0.381			0.264	0.264			-0.0186	-0.0186			-3.797***	-3.833***			-1.172***	-1.156***			-15.44***	-15.34***			-1.427	-1.265			0.381	0.361			-0.0440	-0.0724			-0.0425	-0.0464
			(1.140)	(1.140)			(0.338)	(0.338)			(3.687)	(3.687)			(2.285)	(2.285)			(0.243)	(0.243)			(0.209)	(0.209)			(0.0413)	(0.0413)			(1.119)	(1.118)			(0.327)	(0.328)			(3.877)	(3.880)			(2.143)	(2.138)			(0.257)	(0.258)			(0.213)	(0.212)			(0.0357)	(0.0354)
_inc3			-1.912*	-1.912*			-0.587**	-0.587**			-1.905	-1.905			-2.631	-2.631			0.504**	0.504**			0.141	0.141			-0.0113	-0.0113			-2.790***	-2.800***			-1.239***	-1.241***			-10.11***	-10.12***			-1.877	-1.885			0.480**	0.482**			-0.106	-0.104			-0.00476	-0.00449
			(0.990)	(0.990)			(0.293)	(0.293)			(3.103)	(3.103)			(1.858)	(1.858)			(0.214)	(0.214)			(0.180)	(0.180)			(0.0350)	(0.0350)			(1.026)	(1.024)			(0.297)	(0.298)			(3.535)	(3.533)			(1.984)	(1.985)			(0.240)	(0.240)			(0.206)	(0.205)			(0.0365)	(0.0362)
_inc4			-1.741**	-1.741**			-0.542*	-0.542*			-6.601**	-6.601**			-2.361	-2.361			0.398*	0.398*			0.255	0.255			0.00624	0.00624			-1.162	-1.154			-0.776***	-0.781***			-8.606**	-8.635**			-0.954	-0.996			0.236	0.241			-0.0598	-0.0522			0.0258	0.0269
