	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
		(0.0325)	(0.0320)	(0.0320)		(0.0107)	(0.0103)	(0.0103)		(0.109)	(0.104)	(0.104)		(0.0723)	(0.0709)	(0.0709)		(0.0251)	(0.0245)	(0.0245)		(0.00785)	(0.00771)	(0.00770)		(0.0947)	(0.0927)	(0.0925)		(0.0549)	(0.0552)	(0.0554)
complications_during_preg		-0.417	-0.384	-0.384		-0.203	-0.196	-0.196		-1.583	-1.387	-1.387		-1.125	-1.134	-1.134		0.0404	-0.0927	-0.105		-0.0129	-0.0145	-0.0128		-2.691*	-2.693*	-2.745*		-1.207	-1.357	-1.311
		(0.437)	(0.427)	(0.427)		(0.134)	(0.133)	(0.133)		(1.388)	(1.361)	(1.361)		(0.831)	(0.822)	(0.822)		(0.456)	(0.446)	(0.446)		(0.139)	(0.137)	(0.137)		(1.431)	(1.413)	(1.416)		(0.839)	(0.830)	(0.829)
Constant	123.9	109.1	98.79	98.79	46.42	44.15	41.03	41.03	640.7*	625.5*	575.9*	575.9*	-25.16	-46.02	-55.03	-55.03	168.2	166.9	155.1	153.9	48.55	48.93	45.46	45.62	840.5***	827.5***	839.3***	835.1***	-8.151	-40.01	-58.53	-53.19
	(89.02)	(90.45)	(88.30)	(88.30)	(39.48)	(39.61)	(38.69)	(38.69)	(345.8)	(343.5)	(344.7)	(344.7)	(148.7)	(151.9)	(154.8)	(154.8)	(110.9)	(112.2)	(108.5)	(108.7)	(39.93)	(40.16)	(38.74)	(38.74)	(307.8)	(303.6)	(295.7)	(294.4)	(206.4)	(208.1)	(202.5)	(202.7)
																																
Observations	2,393	2,393	2,393	2,393	2,246	2,246	2,246	2,246	2,214	2,214	2,214	2,214	2,233	2,233	2,233	2,233	2,372	2,372	2,372	2,372	2,213	2,213	2,213	2,213	2,180	2,180	2,180	2,180	2,200	2,200	2,200	2,200
R-squared	0.119	0.125	0.160	0.160	0.080	0.084	0.118	0.118	0.147	0.153	0.189	0.189	0.073	0.075	0.100	0.100	0.107	0.113	0.148	0.148	0.112	0.114	0.151	0.151	0.179	0.191	0.229	0.229	0.092	0.100	0.120	0.121
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
