	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(0.909)	(0.909)			(0.301)	(0.301)			(3.140)	(3.140)			(1.752)	(1.752)			(0.225)	(0.225)			(0.191)	(0.191)			(0.0353)	(0.0353)			(1.080)	(1.080)			(0.364)	(0.365)			(3.873)	(3.881)			(2.138)	(2.137)			(0.269)	(0.268)			(0.219)	(0.217)			(0.0416)	(0.0417)
_mother_edu3			-3.210***	-3.210***			-0.912***	-0.912***			-8.335***	-8.335***			-5.973***	-5.973***			0.265	0.265			-0.0310	-0.0310			-0.0439	-0.0439			-3.027***	-2.982***			-0.496	-0.502			-4.984	-4.933			-3.775**	-3.872**			-0.0245	-0.00672			-0.0650	-0.0442			-0.0171	-0.0167
			(0.722)	(0.722)			(0.249)	(0.249)			(2.569)	(2.569)			(1.483)	(1.483)			(0.189)	(0.189)			(0.159)	(0.159)			(0.0292)	(0.0292)			(0.910)	(0.908)			(0.310)	(0.311)			(3.412)	(3.415)			(1.815)	(1.816)			(0.239)	(0.239)			(0.190)	(0.189)			(0.0357)	(0.0358)
_mother_edu4			-2.185***	-2.185***			-0.990***	-0.990***			-8.098***	-8.098***			-5.246***	-5.246***			0.267	0.267			0.0566	0.0566			-0.00787	-0.00787			-1.695*	-1.655*			-0.620*	-0.627**			-6.073*	-6.016*			-4.173**	-4.278**			0.399	0.418*			0.0763	0.0985			0.0264	0.0268
			(0.759)	(0.759)			(0.255)	(0.255)			(2.631)	(2.631)			(1.527)	(1.527)			(0.195)	(0.195)			(0.164)	(0.164)			(0.0310)	(0.0310)			(0.948)	(0.946)			(0.317)	(0.318)			(3.446)	(3.452)			(1.907)	(1.909)			(0.246)	(0.245)			(0.197)	(0.195)			(0.0385)	(0.0386)
_mother_edu5			-1.457**	-1.457**			-0.481**	-0.481**			-2.928	-2.928			-3.535***	-3.535***			0.415**	0.415**			-0.00402	-0.00402			-4.59e-05	-4.59e-05			-0.844	-0.819			-0.126	-0.128			0.182	0.202			-1.608	-1.645			0.231	0.237			0.0837	0.0901			0.0119	0.0120
			(0.652)	(0.652)			(0.231)	(0.231)			(2.383)	(2.383)			(1.360)	(1.360)			(0.177)	(0.177)			(0.147)	(0.147)			(0.0277)	(0.0277)			(0.834)	(0.831)			(0.285)	(0.285)			(3.123)	(3.127)			(1.681)	(1.680)			(0.224)	(0.223)			(0.176)	(0.174)			(0.0337)	(0.0337)
_mother_edu7			-4.905***	-4.905***			-0.746**	-0.746**			-13.57***	-13.57***			-9.722***	-9.722***			0.191	0.191			0.00264	0.00264			0.0309	0.0309			-5.279***	-5.170***			-0.799*	-0.810*			-12.57***	-12.49***			-8.773***	-8.937***			0.340	0.373			0.226	0.264			-0.0132	-0.0124
			(1.408)	(1.408)			(0.363)	(0.363)			(4.542)	(4.542)			(2.306)	(2.306)			(0.302)	(0.302)			(0.261)	(0.261)			(0.0563)	(0.0563)			(1.345)	(1.352)			(0.420)	(0.421)			(4.579)	(4.581)			(2.472)	(2.473)			(0.307)	(0.307)			(0.272)	(0.269)			(0.0492)	(0.0493)
_inc1			2.222	2.222			-0.364	-0.364			-4.684	-4.684			1.894	1.894			-0.539	-0.539			-0.412	-0.412			0.0891	0.0891			0.556	0.584			0.169	0.159			1.231	1.301			2.845	2.716			-0.585	-0.557			-0.523	-0.491			-0.0334	-0.0327
			(2.621)	(2.621)			(0.801)	(0.801)			(7.001)	(7.001)			(5.310)	(5.310)			(0.509)	(0.509)			(0.504)	(0.504)			(0.107)	(0.107)			(2.526)	(2.524)			(0.872)	(0.872)			(9.234)	(9.238)			(5.172)	(5.198)			(0.487)	(0.497)			(0.396)	(0.401)			(0.0814)	(0.0814)
_inc2			-2.371***	-2.371***			-0.540***	-0.540***			-9.379***	-9.379***			-3.959***	-3.959***			-0.194	-0.194			0.0624	0.0624			-0.000173	-0.000173			-2.708***	-2.731***			-0.655***	-0.651***			-10.17***	-10.20***			-2.170	-2.110			-0.109	-0.122			0.284**	0.269**			-0.0272	-0.0275
			(0.653)	(0.653)			(0.184)	(0.184)			(1.964)	(1.964)			(1.137)	(1.137)			(0.135)	(0.135)			(0.121)	(0.121)			(0.0204)	(0.0204)			(0.736)	(0.737)			(0.222)	(0.222)			(2.309)	(2.308)			(1.327)	(1.327)			(0.159)	(0.158)			(0.131)	(0.131)			(0.0241)	(0.0241)
_inc3			-1.789***	-1.789***			-0.460***	-0.460***			-7.387***	-7.387***			-3.981***	-3.981***			-0.159	-0.159			-0.0214	-0.0214			-0.0171	-0.0171			-2.722***	-2.764***			-0.578***	-0.571***			-8.182***	-8.231***			-3.075**	-2.979**			0.0175	-0.00348			0.182	0.157			-0.0461**	-0.0466**
			(0.596)	(0.596)			(0.170)	(0.170)			(1.765)	(1.765)			(1.074)	(1.074)			(0.129)	(0.129)			(0.111)	(0.111)			(0.0184)	(0.0184)			(0.684)	(0.686)			(0.202)	(0.203)			(2.128)	(2.127)			(1.227)	(1.229)			(0.149)	(0.149)			(0.120)	(0.120)			(0.0214)	(0.0214)
_inc4			-0.356	-0.356			-0.234*	-0.234*			-2.086	-2.086			-0.812	-0.812			0.0977	0.0977			-0.0124	-0.0124			-0.00640	-0.00640			-2.118***	-2.164***			-0.403**	-0.397**			-3.451*	-3.493*			-1.044	-0.962			0.191	0.174			0.148	0.128			-0.0313	-0.0317
			(0.528)	(0.528)			(0.141)	(0.141)			(1.484)	(1.484)			(0.868)	(0.868)			(0.117)	(0.117)			(0.0983)	(0.0983)			(0.0170)	(0.0170)			(0.651)	(0.651)			(0.188)	(0.189)			(1.991)	(1.993)			(1.112)	(1.113)			(0.144)	(0.143)			(0.117)	(0.115)			(0.0224)	(0.0223)
_inc6			1.405***	1.405***			0.328**	0.328**			2.142	2.142			0.575	0.575			-0.162	-0.162			-0.141	-0.141			0.0173	0.0173			0.641	0.627			0.655***	0.657***			5.928***	5.914***			1.772	1.798			-0.139	-0.145			0.00605	-0.000715			-0.00496	-0.00509
			(0.462)	(0.462)			(0.138)	(0.138)			(1.436)	(1.436)			(0.896)	(0.896)			(0.115)	(0.115)			(0.0955)	(0.0955)			(0.0172)	(0.0172)			(0.639)	(0.638)			(0.182)	(0.182)			(1.998)	(1.998)			(1.201)	(1.199)			(0.154)	(0.155)			(0.125)	(0.125)			(0.0248)	(0.0248)
height		4.852*	2.660	2.660		1.028	0.373	0.373		19.34***	11.85*	11.85*		6.268	2.239	2.239		-0.0991	-0.117	-0.117		0.222	0.306	0.306		0.0371	0.0240	0.0240		6.396**	3.250	3.436		1.349	0.582	0.555		21.13**	12.60	12.78		13.01**	9.189*	8.831*		0.747	0.712	0.792		0.607	0.680	0.774		-0.0360	-0.0557	-0.0539
		(2.531)	(2.432)	(2.432)		(0.712)	(0.685)	(0.685)		(7.378)	(7.148)	(7.148)		(4.302)	(4.195)	(4.195)		(0.530)	(0.529)	(0.529)		(0.458)	(0.458)	(0.458)		(0.0738)	(0.0736)	(0.0736)		(3.075)	(2.891)	(2.896)		(0.869)	(0.859)	(0.859)		(8.949)	(8.870)	(8.884)		(5.059)	(4.919)	(4.920)		(0.617)	(0.620)	(0.618)		(0.526)	(0.524)	(0.525)		(0.0852)	(0.0842)	(0.0845)
daily_cig_before_preg		-0.0469**	0.0144	0.0144		-0.0195***	-0.00206	-0.00206		-0.224***	-0.00963	-0.00963		-0.0703*	0.0346	0.0346		-0.00536	-0.00390	-0.00390		0.00286	0.000753	0.000753		0.000722	0.00104	0.00104		-0.0677**	0.000912	-0.00412		-0.0205**	-0.00188	-0.00116		-0.368***	-0.152*	-0.158*		-0.131***	-0.0330	-0.0230		0.00523	0.00658	0.00448		0.00633	0.00406	0.00161		0.000842	0.00136	0.00132
		(0.0232)	(0.0237)	(0.0237)		(0.00683)	(0.00681)	(0.00681)		(0.0737)	(0.0737)	(0.0737)		(0.0409)	(0.0418)	(0.0418)		(0.00513)	(0.00529)	(0.00529)		(0.00474)	(0.00493)	(0.00493)		(0.000792)	(0.000820)	(0.000820)		(0.0287)	(0.0283)	(0.0286)		(0.00867)	(0.00857)	(0.00863)		(0.0871)	(0.0878)	(0.0884)		(0.0484)	(0.0497)	(0.0501)		(0.00585)	(0.00602)	(0.00603)		(0.00515)	(0.00535)	(0.00537)		(0.000928)	(0.000962)	(0.000963)
weekly_alcohol_b_preg		-0.0447*	-0.0441*	-0.0441*		-0.00108	0.000789	0.000789		-0.0387	-0.0211	-0.0211		-0.0578	-0.0451	-0.0451		-0.00764	-0.00727	-0.00727		-0.00211	-0.00222	-0.00222		-0.00135*	-0.00137**	-0.00137**		0.0110	0.0116	0.0122		-0.000213	-0.00211	-0.00224		-0.0655	-0.0868	-0.0859		0.00622	-0.000397	-0.00205		-0.00505	-0.00404	-0.00365		-0.00286	-0.00260	-0.00214		-0.000386	-0.000363	-0.000354
		(0.0261)	(0.0255)	(0.0255)		(0.00670)	(0.00671)	(0.00671)		(0.0750)	(0.0732)	(0.0732)		(0.0531)	(0.0518)	(0.0518)		(0.00508)	(0.00508)	(0.00508)		(0.00462)	(0.00466)	(0.00466)		(0.000692)	(0.000692)	(0.000692)		(0.0229)	(0.0222)	(0.0224)		(0.00669)	(0.00666)	(0.00667)		(0.0793)	(0.0798)	(0.0798)		(0.0525)	(0.0506)	(0.0506)		(0.00477)	(0.00481)	(0.00480)		(0.00464)	(0.00469)	(0.00465)		(0.000860)	(0.000851)	(0.000850)
complications_during_preg		-0.468	-0.480	-0.480		-0.101	-0.117	-0.117		-0.163	-0.376	-0.376		-0.373	-0.524	-0.524		0.0244	0.0129	0.0129		0.166**	0.166**	0.166**		0.0115	0.0125	0.0125		0.0692	-0.0634	-0.0648		-0.0574	-0.0685	-0.0682		-1.811	-1.894	-1.895		-0.621	-0.842	-0.838		0.0606	0.0530	0.0520		0.150**	0.148*	0.147*		0.00677	0.00624	0.00622
		(0.364)	(0.355)	(0.355)		(0.101)	(0.0987)	(0.0987)		(1.066)	(1.045)	(1.045)		(0.613)	(0.600)	(0.600)		(0.0752)	(0.0752)	(0.0752)		(0.0661)	(0.0661)	(0.0661)		(0.0112)	(0.0112)	(0.0112)		(0.430)	(0.418)	(0.418)		(0.123)	(0.120)	(0.120)		(1.294)	(1.279)	(1.279)		(0.739)	(0.723)	(0.722)		(0.0871)	(0.0876)	(0.0874)		(0.0758)	(0.0761)	(0.0758)		(0.0132)	(0.0131)	(0.0131)
miss_height		3.415	0.480	0.480		0.961	0.214	0.214		23.41*	14.34	14.34		5.496	0.861	0.861		-0.530	-0.561	-0.561		0.362	0.491	0.491		0.00978	-0.0133	-0.0133		5.731	1.676	2.084		1.700	0.646	0.590		26.37*	14.34	14.74		19.88**	14.96*	14.20*		1.005	1.004	1.171		1.045	1.211	1.406		-0.0725	-0.0936	-0.0898
		(4.477)	(4.329)	(4.329)		(1.247)	(1.198)	(1.198)		(13.08)	(12.77)	(12.77)		(7.689)	(7.446)	(7.446)		(0.922)	(0.918)	(0.918)		(0.805)	(0.803)	(0.803)		(0.125)	(0.124)	(0.124)		(5.331)	(5.045)	(5.056)		(1.480)	(1.451)	(1.450)		(15.28)	(15.10)	(15.13)		(8.555)	(8.294)	(8.301)		(1.044)	(1.048)	(1.048)		(0.901)	(0.900)	(0.902)		(0.148)	(0.147)	(0.148)
miss_daily_cig_before_preg		-8.334***	-8.554***	-8.554***		-0.957***	-1.469***	-1.469***		13.76***	8.732***	8.732***		-3.208	-5.272	-5.272		-0.203	-0.104	-0.104		0.263	0.403	0.403		-0.114***	-0.113**	-0.113**		0.462	0.929	0.850		1.633	1.657	1.674		1.302	2.884	2.768		-1.901	-1.671	-1.443		0.181	0.0962	0.0487		0.163	0.0265	-0.0291		0.131***	0.136***	0.135***
