	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
			(0.900)	(0.900)			(0.263)	(0.263)			(3.198)	(3.198)			(1.599)	(1.599)			(1.015)	(1.023)			(0.326)	(0.326)			(3.646)	(3.644)			(1.978)	(1.968)
_inc3			-1.454*	-1.454*			-0.415*	-0.415*			-6.450**	-6.450**			-3.791**	-3.791**			-3.177***	-3.301***			-0.418	-0.392			-9.104***	-9.062***			-2.198	-1.987
			(0.840)	(0.840)			(0.246)	(0.246)			(2.904)	(2.904)			(1.568)	(1.568)			(0.953)	(0.960)			(0.314)	(0.314)			(3.387)	(3.392)			(1.934)	(1.921)
_inc4			-0.0632	-0.0632			-0.0410	-0.0410			1.277	1.277			-0.632	-0.632			-2.073**	-2.118**			-0.326	-0.325			-2.686	-2.684			-0.586	-0.563
			(0.743)	(0.743)			(0.209)	(0.209)			(2.308)	(2.308)			(1.291)	(1.291)			(0.895)	(0.898)			(0.293)	(0.293)			(3.041)	(3.041)			(1.706)	(1.699)
_inc6			1.936***	1.936***			0.593***	0.593***			4.210*	4.210*			1.281	1.281			1.302	1.248			0.790***	0.798***			7.460**	7.474**			1.383	1.446
			(0.675)	(0.675)			(0.204)	(0.204)			(2.259)	(2.259)			(1.304)	(1.304)			(0.926)	(0.923)			(0.270)	(0.270)			(3.161)	(3.161)			(1.835)	(1.833)
height		7.029*	4.617	4.617		0.697	-0.241	-0.241		36.55***	26.70**	26.70**		11.30	5.756	5.756		12.51***	7.330*	7.635*		1.332	0.0506	-0.0268		46.31***	33.48**	33.35**		9.782	2.232	1.623
		(3.801)	(3.650)	(3.650)		(1.051)	(1.016)	(1.016)		(13.91)	(13.16)	(13.16)		(6.983)	(6.673)	(6.673)		(4.826)	(4.307)	(4.296)		(1.348)	(1.306)	(1.300)		(15.69)	(15.23)	(15.26)		(8.311)	(7.842)	(7.840)
bmi		-0.127**	-0.117*	-0.117*		-0.0611***	-0.0591***	-0.0591***		-0.429**	-0.397**	-0.397**		-0.258**	-0.260**	-0.260**		-0.0663	-0.0650	-0.0611		-0.0336	-0.0340	-0.0340		-0.257	-0.226	-0.226		-0.282**	-0.289**	-0.289**
