	(0.00377)	(0.00377)	(0.00371)	(0.00371)	(0.00104)	(0.00104)	(0.00103)	(0.00103)	(0.00988)	(0.00987)	(0.0101)	(0.0101)	(0.00596)	(0.00594)	(0.00587)	(0.00587)	(0.000834)	(0.000835)	(0.000836)	(0.000836)	(0.000733)	(0.000729)	(0.000731)	(0.000731)	(0.000104)	(0.000104)	(0.000102)	(0.000102)	(0.00490)	(0.00487)	(0.00495)	(0.00495)	(0.00159)	(0.00159)	(0.00157)	(0.00158)	(0.0163)	(0.0162)	(0.0165)	(0.0165)	(0.00849)	(0.00847)	(0.00835)	(0.00833)	(0.00118)	(0.00118)	(0.00115)	(0.00115)	(0.000899)	(0.000903)	(0.000907)	(0.000899)	(0.000168)	(0.000170)	(0.000168)	(0.000168)
agefirstbirth	-0.113	-0.118	-0.158	-0.158	0.0628**	0.0603**	0.0503*	0.0503*	0.317	0.286	0.126	0.126	0.452**	0.436*	0.377*	0.377*	0.0267	0.0241	0.0195	0.0195	0.00412	0.00455	0.00524	0.00524	-0.00299	-0.00318	-0.00404	-0.00404	0.315***	0.268***	0.0843	-0.0299	0.108***	0.103***	0.0599**	0.0697***	1.436***	1.282***	0.752***	0.272	0.383***	0.307**	0.139	0.281*	0.0297	0.0277	0.0243	0.00146	0.0256	0.0264	0.0272	-0.00717	0.00126	0.00174	7.12e-05	-0.00216
	(0.170)	(0.168)	(0.155)	(0.155)	(0.0305)	(0.0302)	(0.0284)	(0.0284)	(0.401)	(0.399)	(0.385)	(0.385)	(0.227)	(0.224)	(0.228)	(0.228)	(0.0320)	(0.0321)	(0.0318)	(0.0318)	(0.0258)	(0.0255)	(0.0255)	(0.0255)	(0.00521)	(0.00522)	(0.00520)	(0.00520)	(0.0860)	(0.0868)	(0.0882)	(0.104)	(0.0232)	(0.0237)	(0.0234)	(0.0265)	(0.254)	(0.258)	(0.272)	(0.308)	(0.136)	(0.134)	(0.134)	(0.154)	(0.0188)	(0.0190)	(0.0195)	(0.0230)	(0.0159)	(0.0162)	(0.0168)	(0.0201)	(0.00302)	(0.00301)	(0.00302)	(0.00368)
_mother_edu1			-0.490	-0.490			-0.719*	-0.719*			-0.972	-0.972			0.468	0.468			0.373	0.373			0.320	0.320			-0.0910	-0.0910			1.073	1.095			-0.400	-0.403			2.526	2.667			2.197	2.148			-0.265	-0.259			-0.407	-0.397			0.0265	0.0272
			(1.651)	(1.651)			(0.424)	(0.424)			(5.288)	(5.288)			(2.427)	(2.427)			(0.344)	(0.344)			(0.305)	(0.305)			(0.0697)	(0.0697)			(1.519)	(1.534)			(0.461)	(0.462)			(4.380)	(4.372)			(2.502)	(2.486)			(0.317)	(0.315)			(0.290)	(0.289)			(0.0513)	(0.0513)
_mother_edu2			0.984	0.984			0.0176	0.0176			4.167	4.167			3.830*	3.830*			0.237	0.237			0.0429	0.0429			-0.115*	-0.115*			2.329*	2.306			0.120	0.123			4.884	4.763			4.797**	4.834**			-0.315	-0.321			-0.593**	-0.601**			0.00216	0.00161
			(1.547)	(1.547)			(0.375)	(0.375)			(4.963)	(4.963)			(2.232)	(2.232)			(0.313)	(0.313)			(0.283)	(0.283)			(0.0660)	(0.0660)			(1.408)	(1.428)			(0.408)	(0.409)			(3.928)	(3.923)			(2.285)	(2.269)			(0.289)	(0.287)			(0.264)	(0.262)			(0.0430)	(0.0430)
_mother_edu3			2.460	2.460			0.0627	0.0627			6.441	6.441			4.823**	4.823**			0.130	0.130			0.0320	0.0320			-0.0973	-0.0973			3.665**	3.603**			-0.0220	-0.0159			4.018	3.708			4.756**	4.847**			-0.0785	-0.0928			-0.582**	-0.603**			0.0465	0.0451
			(1.570)	(1.570)			(0.379)	(0.379)			(4.947)	(4.947)			(2.301)	(2.301)			(0.315)	(0.315)			(0.285)	(0.285)			(0.0661)	(0.0661)			(1.449)	(1.469)			(0.407)	(0.408)			(3.969)	(3.962)			(2.377)	(2.367)			(0.297)	(0.295)			(0.273)	(0.271)			(0.0449)	(0.0449)
_mother_edu4			2.750*	2.750*			0.471	0.471			11.21**	11.21**			6.924***	6.924***			0.320	0.320			0.0134	0.0134			-0.0778	-0.0778			4.934***	4.839***			0.518	0.528			10.60***	10.13**			7.052***	7.189***			-0.219	-0.241			-0.494*	-0.527**			0.0286	0.0264
			(1.549)	(1.549)			(0.372)	(0.372)			(4.883)	(4.883)			(2.308)	(2.308)			(0.313)	(0.313)			(0.283)	(0.283)			(0.0661)	(0.0661)			(1.423)	(1.449)			(0.400)	(0.401)			(3.941)	(3.946)			(2.314)	(2.303)			(0.293)	(0.292)			(0.269)	(0.267)			(0.0441)	(0.0441)
_mother_edu5			4.584***	4.584***			0.977**	0.977**			16.20***	16.20***			11.29***	11.29***			-0.240	-0.240			-0.125	-0.125			-0.0705	-0.0705			6.330***	6.190***			0.851*	0.863*			11.02**	10.43**			9.408***	9.579***			-0.564	-0.591*			-0.643**	-0.684**			0.00124	-0.00141
			(1.646)	(1.646)			(0.432)	(0.432)			(5.191)	(5.191)			(2.643)	(2.643)			(0.353)	(0.353)			(0.313)	(0.313)			(0.0707)	(0.0707)			(1.617)	(1.639)			(0.460)	(0.462)			(4.816)	(4.843)			(2.779)	(2.773)			(0.359)	(0.357)			(0.316)	(0.313)			(0.0541)	(0.0542)
_inc1			-3.557***	-3.557***			-0.646***	-0.646***			-7.923***	-7.923***			-2.945**	-2.945**			-0.0435	-0.0435			0.108	0.108			-0.0241	-0.0241			-3.041***	-2.942***			-1.194***	-1.202***			-15.40***	-14.97***			-3.149*	-3.274**			-0.226	-0.208			0.0991	0.127			-0.0326	-0.0308
			(0.818)	(0.818)			(0.232)	(0.232)			(2.429)	(2.429)			(1.410)	(1.410)			(0.176)	(0.176)			(0.160)	(0.160)			(0.0269)	(0.0269)			(0.896)	(0.897)			(0.265)	(0.266)			(2.830)	(2.843)			(1.632)	(1.630)			(0.208)	(0.209)			(0.178)	(0.179)			(0.0326)	(0.0326)
_inc2			-2.909***	-2.909***			-0.411**	-0.411**			-5.990***	-5.990***			-2.169	-2.169			0.00204	0.00204			0.201	0.201			-0.0458**	-0.0458**			-2.794***	-2.724***			-1.029***	-1.036***			-13.42***	-13.06***			-3.022**	-3.131**			0.0719	0.0883			0.00185	0.0265			-0.0676**	-0.0660**
			(0.708)	(0.708)			(0.204)	(0.204)			(2.183)	(2.183)			(1.395)	(1.395)			(0.163)	(0.163)			(0.141)	(0.141)			(0.0230)	(0.0230)			(0.762)	(0.763)			(0.232)	(0.232)			(2.542)	(2.550)			(1.481)	(1.479)			(0.192)	(0.193)			(0.157)	(0.157)			(0.0265)	(0.0265)
_inc3			-1.714***	-1.714***			-0.365**	-0.365**			-1.998	-1.998			-0.421	-0.421			0.225	0.225			0.0324	0.0324			-0.0211	-0.0211			-2.103***	-2.073***			-0.930***	-0.933***			-8.325***	-8.160***			-2.590*	-2.637**			0.179	0.187			-0.0553	-0.0437			-0.0269	-0.0262
			(0.583)	(0.583)			(0.156)	(0.156)			(1.724)	(1.724)			(1.073)	(1.073)			(0.139)	(0.139)			(0.117)	(0.117)			(0.0215)	(0.0215)			(0.690)	(0.689)			(0.202)	(0.202)			(2.273)	(2.275)			(1.336)	(1.335)			(0.173)	(0.173)			(0.145)	(0.145)			(0.0274)	(0.0274)
_inc4			-0.973**	-0.973**			-0.268*	-0.268*			-0.188	-0.188			0.412	0.412			0.214*	0.214*			0.219**	0.219**			-0.00778	-0.00778			-0.257	-0.224			-0.580***	-0.584***			-4.692**	-4.511**			-1.528	-1.580			0.152	0.160			-0.0388	-0.0264			0.00128	0.00209
			(0.482)	(0.482)			(0.143)	(0.143)			(1.494)	(1.494)			(0.973)	(0.973)			(0.124)	(0.124)			(0.103)	(0.103)			(0.0187)	(0.0187)			(0.671)	(0.668)			(0.191)	(0.191)			(2.077)	(2.083)			(1.269)	(1.267)			(0.165)	(0.166)			(0.134)	(0.134)			(0.0265)	(0.0265)
height		4.282	2.935	2.935		0.899	0.530	0.530		15.61*	11.52	11.52		5.601	3.564	3.564		0.0738	0.153	0.153		0.236	0.327	0.327		0.0136	-0.00198	-0.00198		3.460	1.211	1.163		-0.569	-1.045	-1.044		9.893	4.139	4.137		5.453	3.605	3.624		0.949	0.841	0.839		0.532	0.538	0.535		-0.0958	-0.104	-0.104
		(2.664)	(2.609)	(2.609)		(0.810)	(0.794)	(0.794)		(8.062)	(7.939)	(7.939)		(4.740)	(4.691)	(4.691)		(0.636)	(0.633)	(0.633)		(0.541)	(0.540)	(0.540)		(0.0917)	(0.0916)	(0.0916)		(3.294)	(3.257)	(3.257)		(1.063)	(1.060)	(1.061)		(10.50)	(10.62)	(10.58)		(5.801)	(5.751)	(5.741)		(0.756)	(0.754)	(0.753)		(0.620)	(0.613)	(0.613)		(0.115)	(0.115)	(0.115)
daily_cig_before_preg		-0.0171	0.0287	0.0287		-0.00892	0.00353	0.00353		-0.0889	0.0668	0.0668		-0.0497	0.0244	0.0244		-0.00918	-0.00939	-0.00939		0.00402	0.00102	0.00102		-0.000324	0.000198	0.000198		-0.0883**	-0.0343	-0.0385		-0.0149	-0.00121	-0.000798		-0.318***	-0.139	-0.159		-0.157**	-0.100	-0.0939		-0.00234	0.000908	3.20e-07		0.00243	0.00132	-4.65e-05		0.000558	0.00122	0.00113
		(0.0305)	(0.0311)	(0.0311)		(0.00876)	(0.00882)	(0.00882)		(0.0904)	(0.0910)	(0.0910)		(0.0528)	(0.0541)	(0.0541)		(0.00705)	(0.00722)	(0.00722)		(0.00633)	(0.00654)	(0.00654)		(0.000927)	(0.000956)	(0.000956)		(0.0367)	(0.0379)	(0.0380)		(0.0115)	(0.0116)	(0.0116)		(0.113)	(0.114)	(0.114)		(0.0613)	(0.0623)	(0.0626)		(0.00803)	(0.00828)	(0.00828)		(0.00681)	(0.00712)	(0.00712)		(0.00124)	(0.00128)	(0.00128)
weekly_alcohol_b_preg		-0.0367	-0.0362	-0.0362		-0.00506	-0.00448	-0.00448		0.0398	0.0572	0.0572		-0.0570	-0.0491	-0.0491		-0.00547	-0.00503	-0.00503		0.000840	0.000565	0.000565		-0.00165**	-0.00147*	-0.00147*		0.0445	0.0386	0.0400		-0.00255	-0.00447	-0.00468		-0.109	-0.129	-0.119		0.0565	0.0475	0.0445		-0.00426	-0.00302	-0.00253		-0.000160	-0.000114	0.000632		9.07e-05	0.000124	0.000172
		(0.0307)	(0.0312)	(0.0312)		(0.00824)	(0.00805)	(0.00805)		(0.0878)	(0.0885)	(0.0885)		(0.0566)	(0.0560)	(0.0560)		(0.00639)	(0.00640)	(0.00640)		(0.00558)	(0.00564)	(0.00564)		(0.000780)	(0.000780)	(0.000780)		(0.0309)	(0.0308)	(0.0311)		(0.00875)	(0.00864)	(0.00863)		(0.106)	(0.105)	(0.104)		(0.0488)	(0.0481)	(0.0481)		(0.00649)	(0.00649)	(0.00649)		(0.00592)	(0.00604)	(0.00597)		(0.00136)	(0.00134)	(0.00134)
complications_during_preg		-0.0316	-0.00909	-0.00909		-0.136	-0.122	-0.122		0.332	0.396	0.396		-0.575	-0.546	-0.546		0.0544	0.0385	0.0385		0.202***	0.196**	0.196**		0.0220	0.0232*	0.0232*		-0.178	-0.285	-0.298		-0.0933	-0.0702	-0.0689		-2.183	-2.065	-2.122		-0.828	-0.814	-0.799		0.121	0.106	0.104		0.172*	0.183**	0.178**		0.0172	0.0163	0.0160
		(0.394)	(0.387)	(0.387)		(0.111)	(0.110)	(0.110)		(1.194)	(1.171)	(1.171)		(0.685)	(0.675)	(0.675)		(0.0890)	(0.0888)	(0.0888)		(0.0763)	(0.0763)	(0.0763)		(0.0134)	(0.0134)	(0.0134)		(0.468)	(0.458)	(0.458)		(0.138)	(0.137)	(0.137)		(1.456)	(1.428)	(1.425)		(0.815)	(0.813)	(0.813)		(0.105)	(0.106)	(0.106)		(0.0893)	(0.0895)	(0.0893)		(0.0163)	(0.0163)	(0.0163)
Constant	179.7***	173.0**	162.8**	162.8**	54.59*	53.53*	50.01*	50.01*	305.5	290.5	251.4	251.4	211.6	203.1	184.8	184.8	2.230	1.737	1.570	1.570	12.90	12.17	12.53	12.53	0.302	0.151	-0.0382	-0.0382	137.1	133.9	118.8	128.6	62.08*	64.96*	54.64	54.21	719.2**	726.7**	655.0*	681.0**	264.9*	268.8*	247.4	238.6	24.82	22.90	22.44	23.54	-17.12	-18.42	-19.58	-17.93	1.198	1.394	2.043	2.150
	(68.02)	(68.16)	(67.39)	(67.39)	(28.48)	(28.55)	(28.11)	(28.11)	(265.6)	(265.2)	(271.2)	(271.2)	(152.1)	(152.6)	(151.0)	(151.0)	(14.70)	(14.74)	(14.71)	(14.71)	(12.98)	(13.05)	(13.09)	(13.09)	(1.793)	(1.800)	(1.757)	(1.757)	(88.15)	(89.14)	(89.32)	(88.81)	(35.28)	(35.55)	(35.01)	(35.09)	(342.0)	(342.8)	(347.3)	(345.7)	(153.1)	(154.3)	(152.0)	(152.2)	(24.75)	(25.00)	(24.49)	(24.58)	(19.18)	(19.40)	(19.47)	(19.42)	(3.532)	(3.601)	(3.566)	(3.571)
																																																								
Observations	3,184	3,184	3,184	3,184	2,990	2,990	2,990	2,990	2,949	2,949	2,949	2,949	2,980	2,980	2,980	2,980	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	2,279	2,279	2,279	2,279	2,122	2,122	2,122	2,122	2,087	2,087	2,087	2,087	2,111	2,111	2,111	2,111	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152
R-squared	0.106	0.108	0.136	0.136	0.083	0.085	0.108	0.108	0.101	0.103	0.134	0.134	0.083	0.085	0.109	0.109	0.027	0.029	0.036	0.036	0.045	0.048	0.053	0.053	0.030	0.033	0.040	0.040	0.102	0.107	0.145	0.147	0.118	0.120	0.149	0.150	0.160	0.167	0.204	0.208	0.116	0.122	0.138	0.140	0.049	0.051	0.059	0.061	0.064	0.067	0.072	0.077	0.035	0.036	0.044	0.045
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
