	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
_mother_edu5			-1.944***	-1.944***			-0.561**	-0.561**			-4.969**	-4.969**			-4.352***	-4.352***			-1.257	-1.215			-0.398	-0.400			-0.384	-0.304			-2.342	-2.373
			(0.676)	(0.676)			(0.235)	(0.235)			(2.128)	(2.128)			(1.379)	(1.379)			(0.860)	(0.853)			(0.263)	(0.264)			(3.178)	(3.188)			(1.711)	(1.708)
_mother_edu7			-4.633***	-4.633***			-0.995**	-0.995**			-17.26***	-17.26***			-11.80***	-11.80***			-5.653***	-5.467***			-0.944**	-0.959**			-12.53***	-11.99**			-10.10***	-10.31***
			(1.511)	(1.511)			(0.389)	(0.389)			(4.717)	(4.717)			(2.528)	(2.528)			(1.450)	(1.470)			(0.428)	(0.430)			(4.676)	(4.693)			(2.556)	(2.553)
_inc1			3.251	3.251			-0.0546	-0.0546			-3.931	-3.931			3.620	3.620			-0.128	-0.0765			-0.728	-0.734			-7.362	-7.164			1.502	1.427
			(2.711)	(2.711)			(0.773)	(0.773)			(6.655)	(6.655)			(6.006)	(6.006)			(3.204)	(3.190)			(1.028)	(1.030)			(8.886)	(9.016)			(5.865)	(5.912)
_inc2			-2.305***	-2.305***			-0.388*	-0.388*			-6.239**	-6.239**			-3.986***	-3.986***			-2.797***	-2.757***			-0.635**	-0.638***			-10.22***	-10.10***			-1.800	-1.847
			(0.809)	(0.809)			(0.215)	(0.215)			(2.509)	(2.509)			(1.393)	(1.393)			(0.811)	(0.812)			(0.247)	(0.247)			(2.580)	(2.579)			(1.559)	(1.557)
_inc3			-1.879***	-1.879***			-0.0628	-0.0628			-6.659***	-6.659***			-3.219***	-3.219***			-3.182***	-3.159***			-0.607***	-0.610***			-11.55***	-11.46***			-2.834**	-2.876**
			(0.685)	(0.685)			(0.189)	(0.189)			(2.100)	(2.100)			(1.218)	(1.218)			(0.735)	(0.735)			(0.220)	(0.220)			(2.398)	(2.392)			(1.332)	(1.332)
_inc4			-0.698	-0.698			-0.134	-0.134			-1.353	-1.353			-0.470	-0.470			-2.115***	-2.123***			-0.369*	-0.368*			-4.560**	-4.592**			-1.123	-1.109
			(0.582)	(0.582)			(0.151)	(0.151)			(1.624)	(1.624)			(0.975)	(0.975)			(0.683)	(0.682)			(0.201)	(0.201)			(2.211)	(2.198)			(1.231)	(1.232)
_inc6			0.969**	0.969**			0.255*	0.255*			0.543	0.543			-0.495	-0.495			0.169	0.136			0.530***	0.534***			4.772**	4.641**			1.295	1.346
			(0.483)	(0.483)			(0.142)	(0.142)			(1.496)	(1.496)			(0.959)	(0.959)			(0.668)	(0.665)			(0.191)	(0.191)			(2.114)	(2.115)			(1.286)	(1.284)
height		5.863**	4.187	4.187		1.019	0.493	0.493		24.45**	18.04**	18.04**		10.61**	7.012	7.012		6.510**	3.662	3.721		0.792	0.0569	0.0444		27.21**	18.68*	19.13*		13.54**	9.716*	9.549*
		(2.902)	(2.807)	(2.807)		(0.806)	(0.785)	(0.785)		(9.606)	(9.100)	(9.100)		(4.934)	(4.716)	(4.716)		(3.297)	(3.185)	(3.185)		(0.977)	(0.976)	(0.977)		(11.24)	(11.04)	(11.02)		(5.607)	(5.442)	(5.413)
daily_cig_before_preg		-0.0219	0.0278	0.0278		-0.00258	0.0115	0.0115		-0.0737	0.0993	0.0993		-0.0321	0.0613	0.0613		-0.0609*	0.00417	0.000816		-0.00958	0.00671	0.00704		-0.248**	-0.0476	-0.0587		-0.103*	-0.0218	-0.0172
		(0.0281)	(0.0288)	(0.0288)		(0.00879)	(0.00875)	(0.00875)		(0.0911)	(0.0906)	(0.0906)		(0.0518)	(0.0528)	(0.0528)		(0.0326)	(0.0336)	(0.0338)		(0.0115)	(0.0116)	(0.0116)		(0.105)	(0.108)	(0.108)		(0.0584)	(0.0590)	(0.0592)
weekly_alcohol_b_preg		-0.0717**	-0.0620**	-0.0620**		-0.00359	0.000390	0.000390		-0.0808	-0.0184	-0.0184		-0.114*	-0.0767	-0.0767		0.00346	0.0110	0.0119		-0.000275	3.74e-05	-0.000113		-0.113	-0.109	-0.103		-0.00326	0.00283	0.000816
		(0.0307)	(0.0302)	(0.0302)		(0.00741)	(0.00752)	(0.00752)		(0.0914)	(0.0849)	(0.0849)		(0.0631)	(0.0609)	(0.0609)		(0.0284)	(0.0276)	(0.0278)		(0.00822)	(0.00824)	(0.00823)		(0.0965)	(0.0965)	(0.0962)		(0.0631)	(0.0601)	(0.0600)
complications_during_preg		-0.303	-0.315	-0.315		-0.124	-0.134	-0.134		-0.673	-0.878	-0.878		-0.648	-0.809	-0.809		-0.240	-0.364	-0.366		-0.0790	-0.0830	-0.0824		-1.938	-2.073	-2.090		-1.079	-1.233	-1.227
		(0.413)	(0.406)	(0.406)		(0.111)	(0.109)	(0.109)		(1.299)	(1.271)	(1.271)		(0.686)	(0.667)	(0.667)		(0.473)	(0.461)	(0.461)		(0.139)	(0.137)	(0.137)		(1.500)	(1.483)	(1.482)		(0.815)	(0.796)	(0.795)
miss_height		4.566	2.299	2.299		1.286	0.664	0.664		33.36**	25.54	25.54		12.89	8.428	8.428		5.812	2.056	2.263		0.987	-0.00798	-0.0414		38.38**	26.21	27.39		20.84**	15.65*	15.20*
		(5.009)	(4.908)	(4.908)		(1.393)	(1.359)	(1.359)		(16.80)	(16.13)	(16.13)		(8.760)	(8.379)	(8.379)		(5.680)	(5.514)	(5.515)		(1.662)	(1.638)	(1.640)		(18.93)	(18.54)	(18.52)		(9.493)	(9.191)	(9.139)
miss_daily_cig_before_preg		-8.653***	-8.713***	-8.713***		-1.592***	-1.954***	-1.954***		13.56***	8.765**	8.765**		-10.88***	-12.41***	-12.41***		1.201	1.186	1.085		1.926*	1.741	1.755		2.936	2.008	1.538		-1.088	-1.665	-1.478
		(1.392)	(1.342)	(1.342)		(0.590)	(0.554)	(0.554)		(4.435)	(4.392)	(4.392)		(2.585)	(2.471)	(2.471)		(2.199)	(2.164)	(2.052)		(1.125)	(1.077)	(1.084)		(7.713)	(6.913)	(6.770)		(8.876)	(8.407)	(8.432)
