	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(1.286)	(1.286)			(0.467)	(0.467)			(5.143)	(5.143)			(2.889)	(2.889)			(0.320)	(0.320)			(0.265)	(0.265)			(0.0515)	(0.0515)			(1.566)	(1.554)			(0.572)	(0.573)			(6.427)	(6.418)			(3.313)	(3.339)			(0.375)	(0.376)			(0.296)	(0.295)			(0.0630)	(0.0633)
_mother_edu3			-2.416**	-2.416**			-0.749*	-0.749*			-8.976**	-8.976**			-5.736**	-5.736**			0.250	0.250			0.0310	0.0310			0.00209	0.00209			-1.223	-1.206			0.240	0.245			0.605	0.607			-4.388	-4.367			0.0442	0.0385			0.0567	0.0468			-0.0187	-0.0197
			(1.027)	(1.027)			(0.387)	(0.387)			(4.113)	(4.113)			(2.348)	(2.348)			(0.267)	(0.267)			(0.223)	(0.223)			(0.0366)	(0.0366)			(1.315)	(1.299)			(0.490)	(0.492)			(5.711)	(5.704)			(2.907)	(2.938)			(0.335)	(0.337)			(0.263)	(0.263)			(0.0537)	(0.0541)
_mother_edu4			-1.072	-1.072			-1.096***	-1.096***			-8.970**	-8.970**			-6.032**	-6.032**			0.393	0.393			0.136	0.136			0.0621	0.0621			0.0452	0.0712			-0.109	-0.115			-0.823	-0.852			-5.204*	-5.275*			0.557	0.559			0.164	0.168			0.0276	0.0280
			(1.067)	(1.067)			(0.396)	(0.396)			(4.182)	(4.182)			(2.414)	(2.414)			(0.273)	(0.273)			(0.230)	(0.230)			(0.0408)	(0.0408)			(1.337)	(1.322)			(0.504)	(0.506)			(5.667)	(5.655)			(3.031)	(3.063)			(0.343)	(0.345)			(0.273)	(0.272)			(0.0567)	(0.0571)
_mother_edu5			-0.742	-0.742			-0.284	-0.284			-2.069	-2.069			-4.056*	-4.056*			0.561**	0.561**			0.0303	0.0303			0.0412	0.0412			1.425	1.409			0.428	0.442			7.364	7.396			-1.416	-1.302			0.456	0.442			0.119	0.0943			-0.0150	-0.0176
			(0.909)	(0.909)			(0.360)	(0.360)			(3.841)	(3.841)			(2.191)	(2.191)			(0.250)	(0.250)			(0.206)	(0.206)			(0.0343)	(0.0343)			(1.223)	(1.205)			(0.457)	(0.459)			(5.258)	(5.256)			(2.708)	(2.742)			(0.308)	(0.309)			(0.238)	(0.237)			(0.0492)	(0.0496)
_mother_edu7			-3.611*	-3.611*			-0.920*	-0.920*			-18.60***	-18.60***			-10.49***	-10.49***			0.705*	0.705*			0.299	0.299			0.0793	0.0793			-4.449**	-4.226**			-0.437	-0.457			-11.88*	-11.95*			-10.01**	-10.20**			0.788*	0.803*			0.496	0.522			-0.0755	-0.0728
			(1.941)	(1.941)			(0.537)	(0.537)			(6.814)	(6.814)			(3.420)	(3.420)			(0.397)	(0.397)			(0.347)	(0.347)			(0.0718)	(0.0718)			(1.903)	(1.916)			(0.633)	(0.634)			(7.053)	(7.033)			(4.003)	(4.031)			(0.416)	(0.419)			(0.376)	(0.374)			(0.0628)	(0.0635)
_inc1			1.125	1.125			0.171	0.171			-9.668	-9.668			1.536	1.536			0.298	0.298			0.406	0.406			0.0404	0.0404			0.802	0.973			0.472	0.430			-0.286	-0.410			0.430	0.0713			-0.119	-0.0864			-0.262	-0.204			-0.117**	-0.111**
