	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
			(0.538)	(0.538)			(0.146)	(0.146)			(1.538)	(1.538)			(0.897)	(0.897)			(0.661)	(0.662)			(0.197)	(0.198)			(2.081)	(2.084)			(1.175)	(1.177)
_inc6			0	0			0	0			0	0			0	0			0	0			0	0			0	0			0	0
			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)
height		1.536	1.192	1.192		-0.0801	-0.167	-0.167		22.95**	19.88**	19.88**		6.764	4.885	4.885		4.222	2.786	2.926		0.929	0.665	0.628		15.15	10.89	11.22		13.67**	11.36*	11.02*
		(3.356)	(3.203)	(3.203)		(0.936)	(0.892)	(0.892)		(10.93)	(10.01)	(10.01)		(6.041)	(5.739)	(5.739)		(3.706)	(3.518)	(3.519)		(1.092)	(1.073)	(1.071)		(11.86)	(11.40)	(11.42)		(6.742)	(6.474)	(6.463)
bmi		-0.155***	-0.145***	-0.145***		-0.0313**	-0.0280**	-0.0280**		-0.325**	-0.284*	-0.284*		-0.322***	-0.296***	-0.296***		-0.167**	-0.159**	-0.158**		-0.0264	-0.0230	-0.0230		-0.420**	-0.392**	-0.392**		-0.286**	-0.280**	-0.280***
		(0.0543)	(0.0534)	(0.0534)		(0.0146)	(0.0142)	(0.0142)		(0.157)	(0.153)	(0.153)		(0.0873)	(0.0855)	(0.0855)		(0.0667)	(0.0652)	(0.0653)		(0.0180)	(0.0179)	(0.0179)		(0.198)	(0.196)	(0.196)		(0.112)	(0.109)	(0.108)
daily_cig_before_preg		0.00227	0.0520*	0.0520*		-0.00672	0.00790	0.00790		-0.0318	0.144	0.144		0.000612	0.0841	0.0841		-0.0459	0.00991	0.00439		-0.0239**	-0.00957	-0.00823		-0.243**	-0.0802	-0.0929		-0.124*	-0.0379	-0.0231
		(0.0283)	(0.0295)	(0.0295)		(0.00892)	(0.00886)	(0.00886)		(0.0899)	(0.0896)	(0.0896)		(0.0514)	(0.0520)	(0.0520)		(0.0367)	(0.0380)	(0.0382)		(0.0120)	(0.0119)	(0.0120)		(0.111)	(0.112)	(0.113)		(0.0652)	(0.0664)	(0.0671)
weekly_alcohol_b_preg		-0.0510	-0.0464	-0.0464		-0.00535	-0.00329	-0.00329		-0.142	-0.105	-0.105		-0.0961	-0.0801	-0.0801		0.000298	0.00467	0.00589		0.00400	0.00463	0.00426		-0.0439	-0.0353	-0.0319		0.00394	0.0174	0.0132
		(0.0372)	(0.0363)	(0.0363)		(0.0101)	(0.00971)	(0.00971)		(0.127)	(0.120)	(0.120)		(0.0603)	(0.0584)	(0.0584)		(0.0351)	(0.0336)	(0.0337)		(0.00877)	(0.00809)	(0.00808)		(0.112)	(0.110)	(0.110)		(0.0495)	(0.0469)	(0.0470)
complications_during_preg		-0.518	-0.571	-0.571		-0.00678	-0.0242	-0.0242		-1.466	-1.697	-1.697		-0.413	-0.455	-0.455		-0.122	-0.316	-0.324		-0.000457	-0.0393	-0.0369		-4.071**	-4.574***	-4.590***		-0.959	-1.220	-1.197
		(0.461)	(0.451)	(0.451)		(0.132)	(0.130)	(0.130)		(1.477)	(1.420)	(1.420)		(0.831)	(0.808)	(0.808)		(0.533)	(0.520)	(0.520)		(0.160)	(0.158)	(0.158)		(1.708)	(1.683)	(1.684)		(0.991)	(0.964)	(0.962)
miss_height		-3.271	-3.381	-3.381		-0.957	-0.837	-0.837		38.96*	37.85**	37.85**		18.32	17.04	17.04		-0.644	-1.532	-1.276		0.639	0.473	0.421		4.239	0.0285	0.491		25.58**	23.86**	23.38**
		(6.025)	(5.855)	(5.855)		(1.655)	(1.605)	(1.605)		(20.43)	(19.02)	(19.02)		(11.17)	(10.53)	(10.53)		(6.668)	(6.466)	(6.458)		(1.915)	(1.873)	(1.872)		(21.09)	(20.48)	(20.52)		(12.04)	(11.52)	(11.51)
miss_bmi		-4.173**	-3.552**	-3.552**		-0.971*	-0.811	-0.811		-16.65***	-14.45***	-14.45***		-15.46***	-14.19***	-14.19***		-4.165*	-3.491*	-3.429		-1.134*	-0.922	-0.935		-7.555	-5.583	-5.457		-11.56**	-10.46**	-10.60**
		(1.729)	(1.651)	(1.651)		(0.539)	(0.520)	(0.520)		(5.786)	(5.527)	(5.527)		(4.135)	(3.902)	(3.902)		(2.136)	(2.104)	(2.113)		(0.649)	(0.642)	(0.642)		(7.284)	(7.315)	(7.359)		(4.840)	(4.734)	(4.708)
miss_daily_cig_before_preg		-5.095	-5.694*	-5.694*		-1.793*	-2.197**	-2.197**		-2.930	-4.276	-4.276		-3.751	-4.004	-4.004		0.175	-0.485	-0.764		2.243	1.980	2.058		11.33	10.18	9.453		-2.218	-2.103	-1.233
		(3.567)	(3.096)	(3.096)		(0.964)	(0.939)	(0.939)		(15.98)	(15.04)	(15.04)		(3.711)	(3.557)	(3.557)		(2.668)	(2.898)	(2.925)		(1.373)	(1.298)	(1.325)		(7.274)	(7.098)	(7.155)		(10.76)	(10.08)	(10.18)
miss_weekly_alcohol_b_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	221.7*	212.5*	188.2*	188.2*	30.02	30.92	24.69	24.69	937.8*	887.9*	724.0*	724.0*	142.2	122.1	30.66	30.66	283.3	284.2*	271.4*	264.6*	28.55	28.90	19.83	21.20	1,098*	1,066*	986.5*	975.0*	105.8	71.20	-14.73	-2.208
	(117.8)	(113.0)	(106.2)	(106.2)	(25.46)	(25.75)	(24.53)	(24.53)	(508.4)	(470.1)	(413.5)	(413.5)	(232.8)	(221.2)	(201.5)	(201.5)	(173.2)	(167.0)	(152.9)	(153.2)	(38.05)	(37.89)	(35.86)	(35.82)	(603.7)	(566.7)	(506.5)	(505.6)	(275.7)	(271.7)	(248.7)	(247.5)
																																
Observations	2,669	2,669	2,669	2,669	2,509	2,509	2,509	2,509	2,464	2,464	2,464	2,464	2,499	2,499	2,499	2,499	2,043	2,043	2,043	2,043	1,891	1,891	1,891	1,891	1,862	1,862	1,862	1,862	1,880	1,880	1,880	1,880
R-squared	0.084	0.095	0.121	0.121	0.098	0.103	0.139	0.139	0.123	0.133	0.177	0.177	0.105	0.119	0.153	0.153	0.100	0.116	0.147	0.148	0.096	0.107	0.134	0.135	0.163	0.181	0.209	0.209	0.119	0.132	0.162	0.164
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
