	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(1.370)	(1.370)			(0.397)	(0.397)			(3.951)	(3.951)			(2.236)	(2.236)			(0.357)	(0.357)			(0.303)	(0.303)			(0.0498)	(0.0498)			(1.534)	(1.550)			(0.469)	(0.472)			(4.815)	(4.844)			(2.788)	(2.798)			(0.401)	(0.398)			(0.345)	(0.343)			(0.0539)	(0.0539)
_mother_edu3			-4.482***	-4.482***			-1.156***	-1.156***			-9.368***	-9.368***			-7.288***	-7.288***			0.374	0.374			-0.0494	-0.0494			-0.0801*	-0.0801*			-4.457***	-4.499***			-1.327***	-1.324***			-9.301**	-8.550**			-2.900	-3.059			0.0339	0.0883			-0.156	-0.0833			-0.0184	-0.0183
			(1.095)	(1.095)			(0.300)	(0.300)			(2.970)	(2.970)			(1.865)	(1.865)			(0.293)	(0.293)			(0.246)	(0.246)			(0.0455)	(0.0455)			(1.324)	(1.341)			(0.355)	(0.358)			(3.910)	(3.939)			(2.415)	(2.420)			(0.344)	(0.342)			(0.273)	(0.269)			(0.0494)	(0.0495)
_mother_edu4			-3.326***	-3.326***			-0.716**	-0.716**			-5.759*	-5.759*			-4.432**	-4.432**			0.320	0.320			-0.0270	-0.0270			-0.0844*	-0.0844*			-3.349**	-3.387**			-1.162***	-1.159***			-8.430**	-7.681*			-1.880	-2.034			0.410	0.464			0.0360	0.107			0.0118	0.0120
			(1.135)	(1.135)			(0.313)	(0.313)			(3.025)	(3.025)			(1.890)	(1.890)			(0.305)	(0.305)			(0.254)	(0.254)			(0.0461)	(0.0461)			(1.382)	(1.396)			(0.356)	(0.359)			(4.117)	(4.145)			(2.520)	(2.536)			(0.358)	(0.357)			(0.288)	(0.283)			(0.0546)	(0.0545)
_mother_edu5			-2.618***	-2.618***			-0.633**	-0.633**			-3.426	-3.426			-2.939*	-2.939*			0.436	0.436			-0.0315	-0.0315			-0.0216	-0.0216			-3.017**	-3.030**			-0.576*	-0.575*			-4.441	-4.112			-1.825	-1.895			0.00672	0.0293			0.107	0.137			0.0288	0.0289
			(0.981)	(0.981)			(0.273)	(0.273)			(2.606)	(2.606)			(1.586)	(1.586)			(0.273)	(0.273)			(0.224)	(0.224)			(0.0438)	(0.0438)			(1.210)	(1.216)			(0.312)	(0.314)			(3.509)	(3.540)			(2.193)	(2.191)			(0.320)	(0.316)			(0.255)	(0.251)			(0.0467)	(0.0468)
_mother_edu7			-5.665**	-5.665**			-0.976*	-0.976*			-8.685	-8.685			-9.886***	-9.886***			-0.533	-0.533			-0.393	-0.393			0.0214	0.0214			-6.820***	-6.879***			-1.311**	-1.306**			-12.76**	-11.60**			-7.754***	-7.999***			-0.360	-0.278			-0.0661	0.0438			0.0575	0.0577
			(2.267)	(2.267)			(0.514)	(0.514)			(5.444)	(5.444)			(2.958)	(2.958)			(0.420)	(0.420)			(0.415)	(0.415)			(0.0884)	(0.0884)			(2.067)	(2.084)			(0.511)	(0.517)			(5.779)	(5.789)			(2.921)	(2.933)			(0.435)	(0.434)			(0.369)	(0.366)			(0.0844)	(0.0846)
_inc1			4.389	4.389			-0.560	-0.560			1.055	1.055			5.513	5.513			-1.548***	-1.548***			-1.575***	-1.575***			0.164	0.164			-1.960	-1.939			-0.157	-0.158			2.620	2.288			9.727	9.794			-1.333**	-1.361**			-1.552***	-1.589***			0.171	0.171
