	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
			(2.236)	(2.236)			(0.660)	(0.660)			(5.076)	(5.076)			(3.209)	(3.209)			(0.476)	(0.476)			(0.404)	(0.404)			(0.0867)	(0.0867)			(1.742)	(1.746)			(0.538)	(0.534)			(5.632)	(5.470)			(2.406)	(2.411)			(0.352)	(0.350)			(0.364)	(0.365)			(0.0728)	(0.0733)
_mother_edu5			9.995***	9.995***			0.547	0.547			2.479	2.479			11.72***	11.72***			0.841	0.841			0.275	0.275			-0.110	-0.110			5.930***	5.917***			0.341	0.315			5.786	4.942			8.632***	8.602***			0.849*	0.805*			0.238	0.190			-0.0683	-0.0601
			(2.461)	(2.461)			(0.708)	(0.708)			(5.610)	(5.610)			(3.516)	(3.516)			(0.551)	(0.551)			(0.461)	(0.461)			(0.0975)	(0.0975)			(2.078)	(2.086)			(0.603)	(0.603)			(6.467)	(6.346)			(3.048)	(3.071)			(0.464)	(0.460)			(0.434)	(0.432)			(0.0868)	(0.0877)
_inc1			-3.398***	-3.398***			-0.296	-0.296			-10.65***	-10.65***			-1.183	-1.183			0.327	0.327			0.471	0.471			-0.0644*	-0.0644*			-2.425*	-2.421*			-1.355***	-1.348***			-18.95***	-18.69***			-6.319***	-6.310***			-0.537*	-0.525*			0.0695	0.0827			-0.0161	-0.0184
			(1.247)	(1.247)			(0.413)	(0.413)			(3.709)	(3.709)			(2.554)	(2.554)			(0.314)	(0.314)			(0.296)	(0.296)			(0.0340)	(0.0340)			(1.248)	(1.248)			(0.360)	(0.359)			(3.489)	(3.488)			(2.133)	(2.130)			(0.297)	(0.296)			(0.259)	(0.257)			(0.0446)	(0.0443)
_inc2			-2.519**	-2.519**			-0.220	-0.220			-6.412*	-6.412*			-1.597	-1.597			0.112	0.112			0.423*	0.423*			-0.0286	-0.0286			-1.096	-1.100			-0.880***	-0.890***			-12.10***	-12.42***			-4.626**	-4.636**			-0.0803	-0.0980			0.290	0.272			-0.0486	-0.0453
			(1.114)	(1.114)			(0.352)	(0.352)			(3.437)	(3.437)			(2.632)	(2.632)			(0.272)	(0.272)			(0.248)	(0.248)			(0.0308)	(0.0308)			(1.033)	(1.033)			(0.301)	(0.301)			(3.020)	(3.031)			(2.122)	(2.139)			(0.259)	(0.259)			(0.222)	(0.221)			(0.0398)	(0.0398)
_inc3			-0.129	-0.129			-0.197	-0.197			-3.189	-3.189			1.404	1.404			0.157	0.157			0.316	0.316			-0.0244	-0.0244			-0.275	-0.283			-0.652**	-0.672**			-6.817**	-7.496***			-1.684	-1.708			0.0423	0.00769			0.384*	0.347*			-0.0538	-0.0474
			(0.882)	(0.882)			(0.291)	(0.291)			(2.811)	(2.811)			(1.917)	(1.917)			(0.246)	(0.246)			(0.218)	(0.218)			(0.0305)	(0.0305)			(0.957)	(0.955)			(0.268)	(0.270)			(2.830)	(2.830)			(1.789)	(1.822)			(0.240)	(0.240)			(0.209)	(0.208)			(0.0371)	(0.0370)
_inc4			-0.476	-0.476			0.0988	0.0988			2.546	2.546			2.695	2.695			0.189	0.189			0.164	0.164			-0.00327	-0.00327			0.0284	0.0278			-0.693***	-0.695***			-5.946**	-5.992**			-1.365	-1.367			0.187	0.184			0.0531	0.0502			-0.00431	-0.00381
